# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
   2.63886658843413E-05      5.18596688975449E+19     -1.30461752554847E+19      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   2.91659976530238E-05      5.14168665264369E+19     -1.25434722208698E+19      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   3.47206611903888E-05      5.04088730924728E+19     -1.14861526507007E+19      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   4.25588087802790E-05      4.86094617267566E+19     -9.80824992619044E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   5.00000000000000E-05      4.65184247928870E+19     -7.96715274894120E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   5.92708386453408E-05      4.45917678061462E+19     -6.26502301746016E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   6.92231810597891E-05      4.24250701550882E+19     -4.63667619006368E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   7.60000000000000E-05      4.06526248810165E+19     -3.21569567564022E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   8.51649401280948E-05      3.91585654156129E+19     -1.85548892484707E+18      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   9.42722590718802E-05      3.80188730878304E+19     -7.90401424125187E+17      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   1.01000000000000E-04      3.74243603338986E+19     -1.37064036803128E+17      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00      0.00000000000000E+00
   1.07343690126082E-04      0.00000000000000E+00      0.00000000000000E+00      2.34398126503808E+19      2.24045691034430E+13      9.17699221550297E+14      8.16224628002853E+14      1.15953161822869E+14      9.93144724606700E+13      1.26404522163192E-03      0.00000000000000E+00
   1.07343690128250E-04      6.11927550324657E+23     -4.85323697060005E+21      2.34398329728403E+19      6.19402714626422E+23      4.38309708382169E+10      4.41457966194000E+07      1.29039300606138E+16      2.60799752369412E+13      6.51623152717249E+04      0.00000000000000E+00
   1.07343690130740E-04      5.59208809655239E+23     -4.86167599293477E+21      2.34398545440391E+19      5.66219731003063E+23      4.38930515039382E+10      2.44790657160401E+07      1.29221322219427E+16      1.77309502948208E+13      6.52883380680456E+04      0.00000000000000E+00
   1.07343690133615E-04      5.10277773187681E+23     -4.82225892207796E+21      2.34398772459954E+19      5.16805159518375E+23      4.38934127051810E+10      1.68478721655941E+07      1.29221610834641E+16      1.45703015114880E+13      6.53017734498050E+04      0.00000000000000E+00
   1.07343690136961E-04      4.61063802399344E+23     -4.70798848887281E+21      2.34399009473357E+19      4.67081989544827E+23      4.38937216216238E+10      1.40753937467103E+07      1.29221549240367E+16      1.35107706211490E+13      6.53067173343200E+04      0.00000000000000E+00
