# time[s]                    Y( ac225 )                  Y( fr221 )
 2.3257098374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257100374225476E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257104374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257112374225476E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257128374225476E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257160374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257224374225475E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257352374225476E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3257608374225476E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3258120374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3259144374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3261192374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3265288374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3273480374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3289864374225479E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3322632374225479E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3388168374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3519240374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.3781384374225477E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.4305672374225478E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.5000000000000001E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.6388655251549047E-05      0.0000000000000000E+00      0.0000000000000000E+00
 2.9165965754647137E-05      0.0000000000000000E+00      0.0000000000000000E+00
 3.4720586760843316E-05      0.0000000000000000E+00      0.0000000000000000E+00
 4.2558731493620703E-05      0.0000000000000000E+00      0.0000000000000000E+00
 5.0000000000000002E-05      0.0000000000000000E+00      0.0000000000000000E+00
 5.9270838693164871E-05      0.0000000000000000E+00      0.0000000000000000E+00
 6.9223181108494491E-05      0.0000000000000000E+00      0.0000000000000000E+00
 7.6000000000000004E-05      0.0000000000000000E+00      0.0000000000000000E+00
 8.5164940128074727E-05      0.0000000000000000E+00      0.0000000000000000E+00
 9.4272259071859134E-05      0.0000000000000000E+00      0.0000000000000000E+00
 1.0100000000000000E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369012608159E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369012825037E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369013073991E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369013361533E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369013696099E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369014088862E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369014555012E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369015115846E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369015802389E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369016662012E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369017771516E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369019265557E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369021406671E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369024790151E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369031115557E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369043766371E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369069067998E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369119671251E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369220877759E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369423290774E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369554252034E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734369782383555E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734370238646594E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734371151172675E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734372976224836E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734376626329158E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734383926537801E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734398526955087E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734427727789661E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734486129458809E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734602932797105E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0734836539473696E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0735303752826877E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0736238179533240E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0738107032945967E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0741844739771419E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0749320153422324E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0758339139030075E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0768261379619936E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0779177472466299E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0791187152025915E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0804400201368318E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0818937473171466E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0834932016159350E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0852530318212224E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0871893678525088E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0893199722494844E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0916644074491206E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0942442205107780E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.0970831470990507E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1002073366923229E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1036456011016183E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1074296885031447E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1115945851730042E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1161788470432182E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1212249628866120E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1267797502481229E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1328947842006178E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1396268568481175E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1470384625914107E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1551982987776555E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1641817640034204E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1740197701690546E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1844061589053006E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.1953375771404291E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2068134470648489E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2188293533424507E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2313766233456981E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2444421179922557E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2580081241505981E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2600000000000000E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2639837516988038E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2719512550964115E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.2862349905104581E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3011383309779318E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3152237761214383E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3295589892541458E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3441829708873133E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3590986262205709E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3743107754188533E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.3891919041733174E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.4043222199706259E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.4197361486823233E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.4354526364774260E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.4514922637382679E-04      0.0000000000000000E+00      0.0000000000000000E+00
 1.4678781300273754E-04      0.0000000000000000E+00      0.0000000000000000E+00
