,Label,Author,Title,Publisher,Year,URL
44,li12,"Longland, R.",Reaction rates for the s-process neutron source 22Ne + &alpha;,"Phys. Rev. C 85, 065809",2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=li12
45,ma10,Matic et al.,"High-precision ( p,t) reaction to determine 25Al( p,&gamma;)26Si reaction rates","PRC 82, 025807",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ma10
46,il01,Iliadis C,Proton-induced thermonuclear reaction rates for A=20-40 nuclei,"ApJS 134, 151-171",2001,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=il01
47,st08,E. Strandberg et al.,"Mg24(a,g)Si28 resonance parameters at low alpha-particle energies","PRC 77, 055801",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=st08
48,mb07,"Ma, Z.","Astrophysically important 31S states studied with the 32S( p, d)31S reaction","PRC 76, 015803",2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mb07
49,mm11,M. Matos et al.,"Unbound states of 32Cl and the 31S(p,&gamma;)32Cl reaction rate","PRC 84, 055806",2011,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mm11
50,SM93,"Scott, A.F.","The <sup>34</sup>S(&alpha;,&gamma;)<sup>38</sup>Ar, <sup>34</sup>S(&alpha;,n)<sup>37</sup>Ar,<sup>34</sup>S(&alpha;,p)<sup>37</sup>Cl cross sections","NPA 552, 363-377",1993,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM93
51,laur,L Van Wormer,Reaction Rates and Reaction Sequences in the rp-process,"ApJ 432, 326-350",1994,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=laur
52,SM86,"Sevior, M.E.","Cross Sections for Proton Induced Reactions on <sup>41</sup>K and for the Reaction <sup>62</sup>Ni(&alpha;,p)<sup>65</sup>Cu","NPA 454, 128-142",1986,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=SM86
53,chw0,"Cyburt, R. H.","Re-evaluation of Buchmann 1996 C12(a,g) and Hoffman Ca40(a,g) and Ti44(a,p) rates",REACLIB,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=chw0
54,hg95,"Herndl, H.",Proton capture reaction rates in the rp process,"PRC 52, 1078",1995,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=hg95
55,nfis,Fisker J.L.,Shell-model calculation with nuclear masses from newmass tables,"private comm. &amp; ADNDT 79, 241",2001,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nfis
56,thra,T. Rauscher,NON-SMOKER Hauser-Feshbach w/ ETSFIQ Mass Input,"ADNDT 75, 1, p1-351",2000,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=thra
57,wien,Forstner,"Thermonuclear reaction rate of Ni56(p,&gamma;)Cu57 and Cu57(p,&gamma;)Zn58",Physics Review C 64 045801,2001,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wien
