,Label,Author,Title,Publisher,Year,URL
0,wc12,J. K. Tuli,Weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2012,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc12
1,ec,-,electron capture rates,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ec
2,wc17,-,Weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc17
3,wc07,J. K. Tuli,weak rates from the Nuclear Wallet Cards,National Nuclear Data Center,2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wc07
4,mo97,-,-,-,2017,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=mo97
5,bex+,-,-,-,-,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bex+
6,nk06,"Nagai, Y.","Measurement of the 2 H(n, &gamma; ) 3 H reaction cross section between 10 and 550 keV","PRC 74, 025804",2006,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nk06
7,de04,"Descouvemont, P",Compilation and R-matrix analysis of Big Bang nuclear reaction rates,"ADNDT 88, 203",2004,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=de04
8,ka02,I. Dillman,KADoNiS v0.2,"AIP Conf. Proc. 819, 123",2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ka02
9,cf88,G R Caughlan,Thermonuclear Reaction Rates V,"ADNDT 40, 283",1988,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cf88
10,nacr,Angulo C.,A compilation of charged-particle induced thermonuclear reaction rates,"Nuclear Physics, A656, 3-183",1999,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nacr
11,tu19,"E.M. Tursunov, et al,",Comparative study of the direct ?+d ? 6Li + ? astrophysical capture reaction in few-body models,"Nucl. Phys. A, 1000 (2020) 121884",2020,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=tu19
12,jz10,Su Jun,"Neutron Spectroscopic Factors of 7Li and Astrophysical 6Li(n,&gamma;)7Li Reaction Rates","Chinese Physics Letters 27, 05",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=jz10
13,ks03,-,KADONIS V0.3 refit 2017,KADoNiS v0.3,2009,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ks03
14,wies,michael wiescher,various,-,2000,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wies
15,cd08,"Cyburt, R.H.","Evaluation of modern He3(a,g)Be7 data","PRC 78, 064614",2008,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=cd08
16,wa19,A. Wallner et al.,Stellar and thermal neutron capture cross section of 9Be,PRC99 (2019) 015804,2019,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wa19
17,wag,R V Wagoner,Synthesis of the Elements Within Objects Exploding from Very High Temperatures,"ApJSup, 162, 18, 247",1969,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=wag
18,bb92,T Rauscher,Production of heavy elements in inhomogeneous cosmologies,"ApJ 429, 499",1994,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=bb92
19,De99,"Descouvemont, P",Microscopic study of proton-capture reactions on unstable nuclei,"Nuclear Physics A, 646, 261-27",1999,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=De99
20,nw00,"Nelson, S.O.","Evaluations of thermonuclear proton capture reaction rates for 2H, 7Li, 9Be, and 11B","NPA 679, 199",2000,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=nw00
21,gl07,B. Guo,"Determination of the astrophysical <sup>11</sup>C(p,&gamma;)<sup>12</sup>N reaction rate from the as",J. Phys. G: Nucl. Part. Phys.,2007,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=gl07
22,ls09,He)<sup>13</sup>N reaction</sup6<>,Science in China G: Physics an,2010,,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=ls09
23,il10,"Iliadis, C.",Charged-particle thermonuclear reaction rates,"NPA 841, 1; 31; 251; 323",2010,https://reaclib.jinaweb.org/labels.php?action=viewLabel&label=il10
