time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
1.1574074074074073e-05,7.624220982652595e-07,82563009421876.83,82563009421876.83
1.1576109151910821e-05,7.6840918179635e-07,82441364069071.86,82441364069071.86
1.157814458757678e-05,7.743972575257984e-07,82319700404958.6,82319700404958.6
1.158018038113487e-05,7.803863256072482e-07,82198018425346.33,82198018425346.33
1.1582216532648015e-05,7.863763861943383e-07,82076318126043.31,82076318126043.31
1.1584253042179158e-05,7.923674394407557e-07,81954599502856.78,81954599502856.78
1.1586289909791249e-05,7.983594855001967e-07,81832862551593.12,81832862551593.12
1.1588327135547246e-05,8.046234896119721e-07,81711135246447.17,81711135246447.17
1.1590364719510128e-05,8.110588303239093e-07,81589407189471.6,81589407189471.6
1.1592402661742875e-05,8.174952374410488e-07,81467660794301.95,81467660794301.95
1.1594440962308483e-05,8.239327111284954e-07,81345896056752.34,81345896056752.34
1.1596479621269957e-05,8.303712515513566e-07,81224112972636.58,81224112972636.58
1.1598518638690315e-05,8.368108588747844e-07,81102311537766.94,81102311537766.94
1.1600558014632583e-05,8.432515332639321e-07,80980491747955.5,80980491747955.5
1.1602597749159803e-05,8.496932748839886e-07,80858653599012.69,80858653599012.69
1.1604637842335022e-05,8.565710804027759e-07,80736842531521.92,80736842531521.92
1.1606678294221306e-05,8.634869109191281e-07,80615016952390.61,80615016952390.61
1.1608719104881723e-05,8.704038873646854e-07,80493173004397.08,80493173004397.08
1.1610760274379357e-05,8.773220099168161e-07,80371310683360.67,80371310683360.67
1.1612801802777306e-05,8.842412787529278e-07,80249429985099.08,80249429985099.08
1.1614843690138673e-05,8.9116169405043e-07,80127530905430.17,80127530905430.17
1.1616885936526574e-05,8.980832559867696e-07,80005613440170.28,80005613440170.28
1.1618928542004138e-05,9.051968372157975e-07,79883697776496.19,79883697776496.19
1.1620971506634507e-05,9.126365447440197e-07,79761798092724.31,79761798092724.31
1.1623014830480826e-05,9.200774849135977e-07,79639880014118.42,79639880014118.42
1.162505851360626e-05,9.275196579152963e-07,79517943536503.86,79517943536503.86
1.1627102556073979e-05,9.349630639399023e-07,79395988655705.28,79395988655705.28
1.1629146957947168e-05,9.424077031782328e-07,79274015367546.2,79274015367546.2
1.163119171928902e-05,9.498535758211091e-07,79152023667849.95,79152023667849.95
1.1633236840162742e-05,9.573006820594107e-07,79030013552437.98,79030013552437.98
1.1635282320631548e-05,9.651238009598074e-07,78908024451853.11,78908024451853.11
1.163732816075867e-05,9.73134851722925e-07,78786036566732.0,78786036566732.0
1.1639374360607345e-05,9.81147229675702e-07,78664030257089.66,78664030257089.66
1.1641420920240822e-05,9.891609350234879e-07,78542005518757.83,78542005518757.83
1.1643467839722364e-05,9.971759679716666e-07,78419962347567.2,78419962347567.2
1.1645515119115243e-05,1.0051923287256455e-06,78297900739347.23,78297900739347.23
1.1647562758482743e-05,1.0132100174908646e-06,78175820689926.64,78175820689926.64
1.1649610757888157e-05,1.0212989470838507e-06,78053729539770.27,78053729539770.27
1.1651659117394789e-05,1.0299203204614266e-06,77931675732583.4,77931675732583.4
1.1653707837065959e-05,1.0385431220332717e-06,77809603475769.77,77809603475769.77
1.1655756916964996e-05,1.047167352020323e-06,77687512765168.52,77687512765168.52
1.1657806357155237e-05,1.0557930106435424e-06,77565403596617.73,77565403596617.73
1.1659856157700035e-05,1.0644200981239484e-06,77443275965954.12,77443275965954.12
1.1661906318662747e-05,1.0730486146825543e-06,77321129869014.36,77321129869014.36
1.1663956840106745e-05,1.0816785605404169e-06,77198965301633.56,77198965301633.56
1.1666007722095419e-05,1.09076749279631e-06,77076830060047.42,77076830060047.42
1.1668058964692159e-05,1.1000436524183636e-06,76954695744033.5,76954695744033.5
1.1670110567960373e-05,1.1093213485722007e-06,76832542949559.45,76832542949559.45
1.1672162531963473e-05,1.1186005814954737e-06,76710371672470.9,76710371672470.9
1.1674214856764896e-05,1.1278813514258842e-06,76588181908612.81,76588181908612.81
1.1676267542428077e-05,1.1371636586011505e-06,76465973653828.95,76465973653828.95
1.1678320589016465e-05,1.1464475032590053e-06,76343746903962.86,76343746903962.86
1.1680373996593523e-05,1.1560411229678282e-06,76221533562131.94,76221533562131.94
1.1682427765222725e-05,1.1660164950287637e-06,76099341069861.0,76099341069861.0
