time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
1.1574074074074073e-05,9.524279942021212e-76,572577022403849.4,572577022403849.4
1.1576109151910821e-05,9.524279941924863e-76,572393738159602.0,572393738159602.0
1.157814458757678e-05,9.524279941828497e-76,572210421688355.5,572210421688355.5
1.158018038113487e-05,9.524279941732114e-76,572027072984444.1,572027072984444.1
1.1582216532648015e-05,9.524279941635715e-76,571843692042200.0,571843692042200.0
1.1584253042179158e-05,9.5242799415393e-76,571660288068729.6,571660288068729.6
1.1586289909791249e-05,9.524279941442867e-76,571476871939108.5,571476871939108.5
1.1588327135547246e-05,9.524279941346417e-76,571293423559301.0,571293423559301.0
1.1590364719510128e-05,9.52427994124995e-76,571109942923634.1,571109942923634.1
1.1592402661742875e-05,9.524279941153465e-76,570926430026437.0,570926430026437.0
1.1594440962308483e-05,9.524279941056964e-76,570742884862037.4,570742884862037.4
1.1596479621269957e-05,9.524279940960445e-76,570559307424761.9,570559307424761.9
1.1598518638690315e-05,9.52427994086391e-76,570375697708935.4,570375697708935.4
1.1600558014632583e-05,9.524279940767359e-76,570192055708882.9,570192055708882.9
1.1602597749159803e-05,9.52427994067079e-76,570008412040956.5,570008412040956.5
1.1604637842335022e-05,9.524279940574204e-76,569824754691435.4,569824754691435.4
1.1606678294221306e-05,9.524279940477602e-76,569641065049311.6,569641065049311.6
1.1608719104881723e-05,9.524279940380982e-76,569457343108907.6,569457343108907.6
1.1610760274379357e-05,9.524279940284344e-76,569273588864545.9,569273588864545.9
1.1612801802777306e-05,9.52427994018769e-76,569089802310544.5,569089802310544.5
1.1614843690138673e-05,9.52427994009102e-76,568905983441224.2,568905983441224.2
1.1616885936526574e-05,9.524279939994332e-76,568722132250901.2,568722132250901.2
1.1618928542004138e-05,9.524279939897627e-76,568538253503224.0,568538253503224.0
1.1620971506634507e-05,9.524279939800905e-76,568354406612890.0,568354406612890.0
1.1623014830480826e-05,9.524279939704168e-76,568170527396626.4,568170527396626.4
1.162505851360626e-05,9.524279939607411e-76,567986615848750.1,567986615848750.1
1.1627102556073979e-05,9.524279939510638e-76,567802671963576.5,567802671963576.5
1.1629146957947168e-05,9.524279939413848e-76,567618695735419.6,567618695735419.6
1.163119171928902e-05,9.52427993931704e-76,567434687158591.4,567434687158591.4
1.1633236840162742e-05,9.524279939220217e-76,567250646227406.6,567250646227406.6
1.1635282320631548e-05,9.524279939123376e-76,567066572936173.5,567066572936173.5
1.163732816075867e-05,9.524279939026517e-76,566882525003250.6,566882525003250.6
1.1639374360607345e-05,9.524279938929644e-76,566698475467802.0,566698475467802.0
1.1641420920240822e-05,9.524279938832751e-76,566514393570793.9,566514393570793.9
1.1643467839722364e-05,9.524279938735842e-76,566330279306536.0,566330279306536.0
1.1645515119115243e-05,9.524279938638916e-76,566146132669335.4,566146132669335.4
1.1647562758482743e-05,9.524279938541973e-76,565961953653502.1,565961953653502.1
1.1649610757888157e-05,9.524279938445012e-76,565777742253341.5,565777742253341.5
1.1651659117394789e-05,9.524279938348036e-76,565593498463161.2,565593498463161.2
