time_days,epsilon_dot_alpha,epsilon_dot_beta_minus,epsilon_dot
1.1574074074074073e-05,7.846406542746336e-07,1035608563543445.5,1035608563543445.5
1.1576109151910821e-05,7.908062084266511e-07,1036039868385170.0,1036039868385170.0
1.157814458757678e-05,7.969728466723998e-07,1036471249063530.9,1036471249063530.9
1.158018038113487e-05,8.031405692025051e-07,1036902705591861.0,1036902705591861.0
1.1582216532648015e-05,8.093093762076018e-07,1037334237983497.8,1037334237983497.8
1.1584253042179158e-05,8.154792678783854e-07,1037765846251780.4,1037765846251780.4
1.1586289909791249e-05,8.216502444055749e-07,1038197530410050.9,1038197530410050.9
1.1588327135547246e-05,8.281011738774182e-07,1038644175884247.6,1038644175884247.6
1.1590364719510128e-05,8.347285097010694e-07,1039100255566771.4,1039100255566771.4
1.1592402661742875e-05,8.413570108138457e-07,1039556415442107.9,1039556415442107.9
1.1594440962308483e-05,8.479866774206489e-07,1040012655524360.4,1040012655524360.4
1.1596479621269957e-05,8.546175097263978e-07,1040468975827625.2,1040468975827625.2
1.1598518638690315e-05,8.612495079360697e-07,1040925376366015.6,1040925376366015.6
1.1600558014632583e-05,8.678826722546588e-07,1041381857153633.1,1041381857153633.1
1.1602597749159803e-05,8.74517002887209e-07,1041838418204592.4,1041838418204592.4
1.1604637842335022e-05,8.81600203463589e-07,1042318543268960.4,1042318543268960.4
1.1606678294221306e-05,8.887226165951117e-07,1042800744272459.6,1042800744272459.6
1.1608719104881723e-05,8.958462820655542e-07,1043283030061702.2,1043283030061702.2
1.1610760274379357e-05,9.029712000951117e-07,1043765400651597.5,1043765400651597.5
1.1612801802777306e-05,9.100973709040328e-07,1044247856057053.2,1044247856057053.2
1.1614843690138673e-05,9.172247947125853e-07,1044730396292987.2,1044730396292987.2
1.1616885936526574e-05,9.243534717410895e-07,1045213021374309.2,1045213021374309.2
1.1618928542004138e-05,9.316798549104519e-07,1045705865581564.0,1045705865581564.0
1.1620971506634507e-05,9.393419866340153e-07,1046216050014019.0,1046216050014019.0
1.1623014830480826e-05,9.470054655955978e-07,1046726324152563.1,1046726324152563.1
1.162505851360626e-05,9.546702920320873e-07,1047236688012969.1,1047236688012969.1
1.1627102556073979e-05,9.623364661804117e-07,1047747141611014.9,1047747141611014.9
1.1629146957947168e-05,9.700039882775457e-07,1048257684962478.5,1048257684962478.5
1.163119171928902e-05,9.776728585604836e-07,1048768318083139.9,1048768318083139.9
1.1633236840162742e-05,9.853430772662978e-07,1049279040988784.8,1049279040988784.8
1.1635282320631548e-05,9.93400399567803e-07,1049809337195064.0,1049809337195064.0
1.163732816075867e-05,1.0016512479027272e-06,1050349429595876.2,1050349429595876.2
1.1639374360607345e-05,1.009903546990129e-06,1050889616961518.6,1050889616961518.6
1.1641420920240822e-05,1.0181572970850913e-06,1051429899308685.1,1051429899308685.1
1.1643467839722364e-05,1.0264124984427503e-06,1051970276654081.4,1051970276654081.4
1.1645515119115243e-05,1.0346691513182826e-06,1052510749014407.8,1052510749014407.8
1.1647562758482743e-05,1.042927255966917e-06,1053051316406371.2,1053051316406371.2
1.1649610757888157e-05,1.0512587714900258e-06,1053595554763594.1,1053595554763594.1
1.1651659117394789e-05,1.0601384431431124e-06,1054167056041333.2,1054167056041333.2
1.1653707837065959e-05,1.0690196761151337e-06,1054738657806547.6,1054738657806547.6
1.1655756916964996e-05,1.0779024706806108e-06,1055310360076903.5,1055310360076903.5
1.1657806357155237e-05,1.0867868271141088e-06,1055882162870075.8,1055882162870075.8
1.1659856157700035e-05,1.0956727456902712e-06,1056454066203738.5,1056454066203738.5
1.1661906318662747e-05,1.1045602266837529e-06,1057026070095566.4,1057026070095566.4
1.1663956840106745e-05,1.1134492703692742e-06,1057598174563244.1,1057598174563244.1
1.1666007722095419e-05,1.1228108705989394e-06,1058193370030293.5,1058193370030293.5
1.1668058964692159e-05,1.1323653005749614e-06,1058798002317757.8,1058798002317757.8
1.1670110567960373e-05,1.141921410513134e-06,1059402740918145.1,1059402740918145.1
1.1672162531963473e-05,1.1514792007088434e-06,1060007585850149.9,1060007585850149.9
1.1674214856764896e-05,1.1610386714575458e-06,1060612537132463.8,1060612537132463.8
1.1676267542428077e-05,1.1705998230547342e-06,1061217594783792.1,1061217594783792.1
1.1678320589016465e-05,1.1801626557959381e-06,1061822758822834.8,1061822758822834.8
1.1680373996593523e-05,1.1900444684659198e-06,1062443237772828.1,1062443237772828.1
1.1682427765222725e-05,1.2003193712356948e-06,1063082583829420.0,1063082583829420.0
1.1684481894967554e-05,1.2105960806488561e-06,1063722042302680.0,1063722042302680.0
1.1686536385891505e-05,1.2208745970230705e-06,1064361613212376.4,1064361613212376.4
1.1688591238058084e-05,1.2311549206760698e-06,1065001296578278.6,1065001296578278.6
1.1690646451530811e-05,1.2414370519256246e-06,1065641092420158.5,1065641092420158.5
1.1692702026373212e-05,1.2517209910895564e-06,1066281000757795.8,1066281000757795.8
1.169475796264883e-05,1.262250355513821e-06,1066932486347585.6,1066932486347585.6
1.1696814260421214e-05,1.2732962283102991e-06,1067608306498323.8,1067608306498323.8
1.1698870919753925e-05,1.2843440433103642e-06,1068284245478996.5,1068284245478996.5
1.170092794071054e-05,1.2953938008555413e-06,1068960303310499.1,1068960303310499.1
1.1702985323354636e-05,1.3064455012873556e-06,1069636480013726.1,1069636480013726.1
1.1705043067749818e-05,1.317499144947456e-06,1070312775609585.1,1070312775609585.1
1.170710117395969e-05,1.3285547321775057e-06,1070989190118975.1,1070989190118975.1
1.1709159642047868e-05,1.3398780749150111e-06,1071678004545272.1,1071678004545272.1
1.1711218472077982e-05,1.3517488601029519e-06,1072392140942511.6,1072392140942511.6
1.1713277664113672e-05,1.3636217325394037e-06,1073106402906857.1,1073106402906857.1
1.1715337218218593e-05,1.3754966925913892e-06,1073820790460390.5,1073820790460390.5
1.1717397134456403e-05,1.3873737406259612e-06,1074535303625192.6,1074535303625192.6
1.1719457412890783e-05,1.3992528770102768e-06,1075249942423349.9,1075249942423349.9
1.172151805358541e-05,1.4111341021114932e-06,1075964706876952.4,1075964706876952.4
1.1723579056603986e-05,1.4234191296825195e-06,1076697816753158.9,1076697816753158.9
1.1725640422010216e-05,1.436172454721352e-06,1077452197233575.9,1077452197233575.9
1.1727702149867825e-05,1.448928022186337e-06,1078206710357246.4,1078206710357246.4
1.1729764240240532e-05,1.4616858324717124e-06,1078961356147492.8,1078961356147492.8
1.1731826693192089e-05,1.474445885971876e-06,1079716134627644.6,1079716134627644.6
1.173388950878624e-05,1.487208183081225e-06,1080471045821027.9,1080471045821027.9
1.1735952687086755e-05,1.499972724194268e-06,1081226089750981.4,1081226089750981.4
1.1738016228157407e-05,1.513410838586666e-06,1082011153864714.4,1082011153864714.4
1.174008013206198e-05,1.527108273656009e-06,1082807795727246.4,1082807795727246.4
1.1742144398864272e-05,1.5408081171550016e-06,1083604577663878.2,1083604577663878.2
1.1744209028628096e-05,1.5545103695071425e-06,1084401499699244.5,1084401499699244.5
1.1746274021417267e-05,1.568215031135966e-06,1085198561857973.8,1085198561857973.8
1.1748339377295616e-05,1.5819221024650888e-06,1085995764164707.6,1085995764164707.6
1.1750405096326988e-05,1.5957357948148553e-06,1086797660186957.9,1086797660186957.9
1.1752471178575235e-05,1.6104405440286286e-06,1087638526214409.4,1087638526214409.4
1.1754537624104223e-05,1.6251478787888206e-06,1088479540091928.0,1088479540091928.0
1.1756604432977824e-05,1.6398577995500343e-06,1089320701845514.1,1089320701845514.1
1.1758671605259932e-05,1.6545703067670007e-06,1090162011501166.6,1090162011501166.6
1.1760739141014437e-05,1.6692854008944522e-06,1091003469084889.5,1091003469084889.5
