    time    temp    dens
   1.78043709833806E-02   1.90629112061494E-01   7.00059642258304E+07
     nin     zin       y       x
  1    0     8.71285544041023E-01   8.71285544041023E-01
  0    1     4.60648522632008E-16   4.60648522632008E-16
  1    1     4.89091661834152E-14   9.78183323668304E-14
  2    1     3.64910721306360E-09   1.09473216391908E-08
  1    2     1.00000000000000E-99   1.00000000000000E-99
  2    2     5.35308129102307E-07   2.14123251640923E-06
  4    2     2.66671261289758E-07   1.60002756773855E-06
  3    3     2.24274704763506E-23   1.34564822858104E-22
  4    3     7.60298670829960E-19   5.32209069580972E-18
  5    3     1.50207999962375E-18   1.20166399969900E-17
  6    3     2.10823394972656E-09   1.89741055475390E-08
  3    4     1.00000000000000E-99   1.00000000000000E-99
  5    4     2.64950525161801E-15   2.38455472645621E-14
  6    4     7.88204731212672E-15   7.88204731212672E-14
  7    4     9.47788709291584E-15   1.04256758022074E-13
  8    4     2.97591200659563E-06   3.57109440791476E-05
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.00000000000000E-99   1.00000000000000E-99
  6    5     1.77505749690949E-18   1.95256324660044E-17
  7    5     8.50625719818465E-16   1.02075086378216E-14
  8    5     1.66693611973600E-13   2.16701695565680E-12
  9    5     6.73672439613601E-07   9.43141415459041E-06
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     3.23832405236083E-25   3.88598886283300E-24
  7    6     8.43625390694317E-23   1.09671300790261E-21
  8    6     8.51312634828545E-16   1.19183768875996E-14
  9    6     6.09322875212532E-15   9.13984312818798E-14
 10    6     8.77806993585933E-15   1.40449118973749E-13
 11    6     2.37630488283210E-07   4.03971830081456E-06
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.00000000000000E-99   1.00000000000000E-99
  7    7     1.00000000000000E-99   1.00000000000000E-99
  8    7     3.40363196611719E-25   5.10544794917578E-24
  9    7     1.86851669687929E-17   2.98962671500686E-16
 10    7     2.52228895306980E-16   4.28789122021866E-15
 11    7     2.27240041032245E-16   4.09032073858040E-15
 12    7     4.76611638429634E-17   9.05562113016304E-16
 13    7     3.86102360652275E-09   7.72204721304549E-08
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.00000000000000E-99   1.00000000000000E-99
  8    8     1.00000000000000E-99   1.00000000000000E-99
  9    8     1.00000000000000E-99   1.00000000000000E-99
 10    8     1.00000000000000E-99   1.00000000000000E-99
 11    8     3.58660845965736E-21   6.81455607334898E-20
 12    8     1.38721300908955E-18   2.77442601817911E-17
 13    8     9.72645796670564E-17   2.04255617300818E-15
 14    8     7.09152941936257E-11   1.56013647225976E-09
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
