Epsilon_beta,Time [Days]
462862296876055.44,1.1574074074074073e-05
462596160094620.8,1.1576109151910821e-05
462329976518162.44,1.157814458757678e-05
462063746138453.0,1.158018038113487e-05
461797468947262.9,1.1582216532648015e-05
461531113924995.6,1.1584253042179158e-05
461264644437446.3,1.1586289909791249e-05
460998128096374.06,1.1588327135547246e-05
460731564893540.2,1.1590364719510128e-05
460464954820705.1,1.1592402661742875e-05
460198297869627.1,1.1594440962308483e-05
459931594032065.06,1.1596479621269957e-05
459664843299773.2,1.1598518638690315e-05
459398045664507.44,1.1600558014632583e-05
459131153873895.75,1.1602597749159803e-05
458864186445881.4,1.1604637842335022e-05
458597172076789.5,1.1606678294221306e-05
458330110758368.06,1.1608719104881723e-05
458063002482361.44,1.1610760274379357e-05
457795847240512.56,1.1612801802777306e-05
457528645024564.06,1.1614843690138673e-05
457261395826256.6,1.1616885936526574e-05
456994095942789.25,1.1618928542004138e-05
456726699336191.25,1.1620971506634507e-05
456459255713053.5,1.1623014830480826e-05
456191765065110.3,1.162505851360626e-05
455924227384091.8,1.1627102556073979e-05
455656642661729.4,1.1629146957947168e-05
455389010889750.8,1.163119171928902e-05
455121332059883.8,1.1633236840162742e-05
454853606163854.6,1.1635282320631548e-05
454585812946087.2,1.163732816075867e-05
454317961853096.6,1.1639374360607345e-05
454050063663654.7,1.1641420920240822e-05
453782118369478.75,1.1643467839722364e-05
453514125962289.0,1.1645515119115243e-05
453246086433798.6,1.1647562758482743e-05
452977999775723.75,1.1649610757888157e-05
452709865979777.8,1.1651659117394789e-05
452441681792245.2,1.1653707837065959e-05
452173444886011.5,1.1655756916964996e-05
451905160815486.75,1.1657806357155237e-05
451636829572379.25,1.1659856157700035e-05
451368451148395.56,1.1661906318662747e-05
451100025535239.0,1.1663956840106745e-05
450831552724612.4,1.1666007722095419e-05
450563032708216.3,1.1668058964692159e-05
450294468317079.44,1.1670110567960373e-05
450025867124782.56,1.1672162531963473e-05
449757218704143.06,1.1674214856764896e-05
449488523046857.0,1.1676267542428077e-05
449219780144618.3,1.1678320589016465e-05
448950989989120.7,1.1680373996593523e-05
448682152572055.0,1.1682427765222725e-05
448413267885111.0,1.1684481894967554e-05
448144342476990.1,1.1686536385891505e-05
447875398392382.8,1.1688591238058084e-05
447606407019142.1,1.1690646451530811e-05
447337368348954.6,1.1692702026373212e-05
447068282373500.9,1.169475796264883e-05
446799149084465.1,1.1696814260421214e-05
446529968473528.5,1.1698870919753925e-05
446260740532370.3,1.170092794071054e-05
445991481326817.5,1.1702985323354636e-05
445722215604808.94,1.1705043067749818e-05
445452902537613.5,1.170710117395969e-05
445183542116906.2,1.1709159642047868e-05
444914134334360.8,1.1711218472077982e-05
444644679181650.0,1.1713277664113672e-05
444375176650444.44,1.1715337218218593e-05
444105626732412.94,1.1717397134456403e-05
443836068601979.44,1.1719457412890783e-05
443566502351484.8,1.172151805358541e-05
443296888702960.44,1.1723579056603986e-05
443027227648073.1,1.1725640422010216e-05
442757519178486.56,1.1727702149867825e-05
442487763285864.0,1.1729764240240532e-05
442217959961868.3,1.1731826693192089e-05
441948109198157.44,1.173388950878624e-05
441678294292374.75,1.1735952687086755e-05
441408448467823.7,1.1738016228157407e-05
441138555196087.8,1.174008013206198e-05
440868614468821.3,1.1742144398864272e-05
440598626277680.5,1.1744209028628096e-05
