time_days,Nuclei:Th231 top 11
1.1574074074074073e-05,1.327754751872989e-88
1.1576109151910821e-05,1.327754751859557e-88
1.157814458757678e-05,1.3277547518461228e-88
1.158018038113487e-05,1.3277547518326866e-88
1.1582216532648015e-05,1.3277547518192475e-88
1.1584253042179158e-05,1.3277547518058068e-88
1.1586289909791249e-05,1.3277547517923633e-88
1.1588327135547246e-05,1.3277547517789173e-88
1.1590364719510128e-05,1.327754751765469e-88
1.1592402661742875e-05,1.3277547517520186e-88
1.1594440962308483e-05,1.3277547517385656e-88
1.1596479621269957e-05,1.3277547517251101e-88
1.1598518638690315e-05,1.3277547517116524e-88
1.1600558014632583e-05,1.3277547516981925e-88
1.1602597749159803e-05,1.32775475168473e-88
1.1604637842335022e-05,1.3277547516712653e-88
1.1606678294221306e-05,1.3277547516577983e-88
1.1608719104881723e-05,1.3277547516443286e-88
1.1610760274379357e-05,1.3277547516308567e-88
1.1612801802777306e-05,1.3277547516173825e-88
1.1614843690138673e-05,1.3277547516039058e-88
1.1616885936526574e-05,1.3277547515904268e-88
1.1618928542004138e-05,1.3277547515769454e-88
1.1620971506634507e-05,1.3277547515634617e-88
1.1623014830480826e-05,1.3277547515499758e-88
1.162505851360626e-05,1.327754751536487e-88
1.1627102556073979e-05,1.3277547515229964e-88
1.1629146957947168e-05,1.327754751509503e-88
1.163119171928902e-05,1.3277547514960073e-88
1.1633236840162742e-05,1.3277547514825097e-88
1.1635282320631548e-05,1.3277547514690092e-88
1.163732816075867e-05,1.3277547514555063e-88
1.1639374360607345e-05,1.3277547514420014e-88
1.1641420920240822e-05,1.327754751428494e-88
1.1643467839722364e-05,1.327754751414984e-88
1.1645515119115243e-05,1.327754751401472e-88
1.1647562758482743e-05,1.3277547513879573e-88
1.1649610757888157e-05,1.3277547513744404e-88
1.1651659117394789e-05,1.327754751360921e-88
1.1653707837065959e-05,1.327754751347399e-88
1.1655756916964996e-05,1.327754751333875e-88
1.1657806357155237e-05,1.3277547513203486e-88
1.1659856157700035e-05,1.3277547513068197e-88
1.1661906318662747e-05,1.3277547512932886e-88
1.1663956840106745e-05,1.3277547512797547e-88
1.1666007722095419e-05,1.327754751266219e-88
1.1668058964692159e-05,1.3277547512526805e-88
1.1670110567960373e-05,1.3277547512391396e-88
1.1672162531963473e-05,1.3277547512255967e-88
1.1674214856764896e-05,1.3277547512120514e-88
1.1676267542428077e-05,1.3277547511985033e-88
1.1678320589016465e-05,1.3277547511849532e-88
1.1680373996593523e-05,1.3277547511714003e-88
1.1682427765222725e-05,1.3277547511578452e-88
1.1684481894967554e-05,1.3277547511442878e-88
1.1686536385891505e-05,1.327754751130728e-88
1.1688591238058084e-05,1.327754751117166e-88
1.1690646451530811e-05,1.3277547511036013e-88
1.1692702026373212e-05,1.3277547510900344e-88
1.169475796264883e-05,1.327754751076465e-88
1.1696814260421214e-05,1.3277547510628932e-88
1.1698870919753925e-05,1.327754751049319e-88
1.170092794071054e-05,1.3277547510357425e-88
1.1702985323354636e-05,1.3277547510221637e-88
1.1705043067749818e-05,1.3277547510085823e-88
1.170710117395969e-05,1.3277547509949988e-88
1.1709159642047868e-05,1.327754750981413e-88
1.1711218472077982e-05,1.3277547509678243e-88
1.1713277664113672e-05,1.3277547509542335e-88
1.1715337218218593e-05,1.3277547509406402e-88
1.1717397134456403e-05,1.3277547509270446e-88
1.1719457412890783e-05,1.3277547509134465e-88
1.172151805358541e-05,1.3277547508998462e-88
1.1723579056603986e-05,1.3277547508862436e-88
1.1725640422010216e-05,1.3277547508726383e-88
