time_days,Te132 top 9
1.1574074074074073e-05,5.963557361101084e-09
1.1576109151910821e-05,5.987514668429035e-09
1.157814458757678e-05,6.011476188166614e-09
1.158018038113487e-05,6.035441921054516e-09
1.1582216532648015e-05,6.059411867833473e-09
1.1584253042179158e-05,6.0837151005743366e-09
1.1586289909791249e-05,6.108740269691742e-09
1.1588327135547246e-05,6.133769838980691e-09
1.1590364719510128e-05,6.158803809214941e-09
1.1592402661742875e-05,6.183842181168249e-09
1.1594440962308483e-05,6.2088849556146035e-09
1.1596479621269957e-05,6.233932133328044e-09
1.1598518638690315e-05,6.258983715082836e-09
1.1600558014632583e-05,6.284039701653312e-09
1.1602597749159803e-05,6.3097764211813226e-09
1.1604637842335022e-05,6.335928661149825e-09
1.1606678294221306e-05,6.362085499462606e-09
1.1608719104881723e-05,6.388246936928144e-09
1.1610760274379357e-05,6.41441297435509e-09
1.1612801802777306e-05,6.440583612552288e-09
1.1614843690138673e-05,6.46675885232865e-09
1.1616885936526574e-05,6.492938694493286e-09
1.1618928542004138e-05,6.519201236887396e-09
1.1620971506634507e-05,6.5465194795732054e-09
1.1623014830480826e-05,6.573842525621289e-09
1.162505851360626e-05,6.601170375876224e-09
1.1627102556073979e-05,6.628503031182732e-09
1.1629146957947168e-05,6.6558404923857005e-09
1.163119171928902e-05,6.683182760330084e-09
1.1633236840162742e-05,6.71052983586112e-09
1.1635282320631548e-05,6.7378817198240385e-09
1.163732816075867e-05,6.7660032379264695e-09
1.1639374360607345e-05,6.794537244115271e-09
1.1641420920240822e-05,6.823076267433807e-09
1.1643467839722364e-05,6.851620308764247e-09
1.1645515119115243e-05,6.8801693689889025e-09
1.1647562758482743e-05,6.908723448990266e-09
1.1649610757888157e-05,6.937282549650903e-09
1.1651659117394789e-05,6.965846671853593e-09
1.1653707837065959e-05,6.994864160250631e-09
1.1655756916964996e-05,7.0246553528372686e-09
1.1657806357155237e-05,7.05445178360447e-09
1.1659856157700035e-05,7.084253453473327e-09
1.1661906318662747e-05,7.114060363364964e-09
