time_days,Eu156 top 13
1.1574074074074073e-05,8.0180263215656e-90
1.1576109151910821e-05,8.018026320819676e-90
1.157814458757678e-05,8.018026320073621e-90
1.158018038113487e-05,8.018026319327434e-90
1.1582216532648015e-05,8.018026318581115e-90
1.1584253042179158e-05,8.018026317834666e-90
1.1586289909791249e-05,8.018026317088084e-90
1.1588327135547246e-05,8.018026316341374e-90
1.1590364719510128e-05,8.01802631559453e-90
1.1592402661742875e-05,8.018026314847555e-90
1.1594440962308483e-05,8.01802631410045e-90
1.1596479621269957e-05,8.01802631335321e-90
1.1598518638690315e-05,8.018026312605844e-90
1.1600558014632583e-05,8.018026311858343e-90
1.1602597749159803e-05,8.018026311110712e-90
1.1604637842335022e-05,8.018026310362948e-90
1.1606678294221306e-05,8.018026309615054e-90
1.1608719104881723e-05,8.018026308867029e-90
1.1610760274379357e-05,8.01802630811887e-90
1.1612801802777306e-05,8.018026307370581e-90
1.1614843690138673e-05,8.018026306622161e-90
1.1616885936526574e-05,8.018026305873609e-90
1.1618928542004138e-05,8.018026305124926e-90
1.1620971506634507e-05,8.018026304376108e-90
1.1623014830480826e-05,8.018026303627163e-90
1.162505851360626e-05,8.018026302878084e-90
1.1627102556073979e-05,8.018026302128874e-90
1.1629146957947168e-05,8.018026301379532e-90
1.163119171928902e-05,8.018026300630057e-90
1.1633236840162742e-05,8.018026299880453e-90
1.1635282320631548e-05,8.018026299130714e-90
1.163732816075867e-05,8.018026298380845e-90
1.1639374360607345e-05,8.018026297630843e-90
1.1641420920240822e-05,8.01802629688071e-90
1.1643467839722364e-05,8.018026296130444e-90
1.1645515119115243e-05,8.018026295380048e-90
1.1647562758482743e-05,8.01802629462952e-90
1.1649610757888157e-05,8.018026293878858e-90
1.1651659117394789e-05,8.018026293128065e-90
1.1653707837065959e-05,8.01802629237714e-90
1.1655756916964996e-05,8.018026291626085e-90
1.1657806357155237e-05,8.018026290874894e-90
1.1659856157700035e-05,8.018026290123574e-90
1.1661906318662747e-05,8.018026289372121e-90
1.1663956840106745e-05,8.018026288620536e-90
1.1666007722095419e-05,8.018026287868818e-90
1.1668058964692159e-05,8.018026287116969e-90
1.1670110567960373e-05,8.018026286364986e-90
1.1672162531963473e-05,8.018026285612872e-90
1.1674214856764896e-05,8.018026284860626e-90
1.1676267542428077e-05,8.018026284108249e-90
1.1678320589016465e-05,8.018026283355737e-90
1.1680373996593523e-05,8.018026282603095e-90
1.1682427765222725e-05,8.018026281850318e-90
1.1684481894967554e-05,8.018026281097411e-90
1.1686536385891505e-05,8.018026280344371e-90
1.1688591238058084e-05,8.018026279591199e-90
1.1690646451530811e-05,8.018026278837894e-90
1.1692702026373212e-05,8.018026278084456e-90
1.169475796264883e-05,8.018026277330886e-90
1.1696814260421214e-05,8.018026276577183e-90
1.1698870919753925e-05,8.01802627582335e-90
1.170092794071054e-05,8.01802627506938e-90
1.1702985323354636e-05,8.01802627431528e-90
1.1705043067749818e-05,8.018026273561049e-90
1.170710117395969e-05,8.018026272806683e-90
1.1709159642047868e-05,8.018026272052185e-90
1.1711218472077982e-05,8.018026271297553e-90
1.1713277664113672e-05,8.01802627054279e-90
1.1715337218218593e-05,8.018026269787895e-90
1.1717397134456403e-05,8.018026269032866e-90
1.1719457412890783e-05,8.018026268277704e-90
1.172151805358541e-05,8.01802626752241e-90
1.1723579056603986e-05,8.018026266766983e-90
1.1725640422010216e-05,8.018026266011423e-90
1.1727702149867825e-05,8.01802626525573e-90
1.1729764240240532e-05,8.018026264499904e-90
1.1731826693192089e-05,8.018026263743946e-90
1.173388950878624e-05,8.018026262987854e-90
1.1735952687086755e-05,8.018026262231631e-90
1.1738016228157407e-05,8.018026261475272e-90
1.174008013206198e-05,8.018026260718783e-90
1.1742144398864272e-05,8.018026259962159e-90
1.1744209028628096e-05,8.018026259205402e-90
1.1746274021417267e-05,8.018026258448513e-90
1.1748339377295616e-05,8.01802625769149e-90
1.1750405096326988e-05,8.018026256934336e-90
1.1752471178575235e-05,8.018026256177045e-90
1.1754537624104223e-05,8.018026255419624e-90
1.1756604432977824e-05,8.018026254662069e-90
1.1758671605259932e-05,8.01802625390438e-90
1.1760739141014437e-05,8.018026253146557e-90
1.1762807040305254e-05,8.018026252388604e-90
1.1764875303196305e-05,8.018026251630515e-90
1.1766943929751517e-05,8.018026250872294e-90
1.1769012920034836e-05,8.01802625011394e-90
1.1771082274110218e-05,8.018026249355451e-90
1.1773151992041629e-05,8.01802624859683e-90
1.1775222073893044e-05,8.018026247838075e-90
1.1777292519728452e-05,8.018026247079188e-90
1.177936332961185e-05,8.018026246320166e-90
1.1781434503607254e-05,8.018026245561011e-90
1.1783506041778683e-05,8.018026244801722e-90
1.178557794419017e-05,8.0180262440423e-90
1.1787650210905758e-05,8.018026243282745e-90
1.178972284198951e-05,8.018026242523055e-90
1.1791795837505486e-05,8.018026241763232e-90
1.1793869197517767e-05,8.018026241003276e-90
1.179594292209044e-05,8.018026240243186e-90
1.1798017011287611e-05,8.018026239482962e-90
1.180009146517339e-05,8.018026238722604e-90
1.1802166283811898e-05,8.018026237962114e-90
1.180424146726727e-05,8.018026237201489e-90
1.1806317015603657e-05,8.018026236440732e-90
1.1808392928885212e-05,8.018026235679838e-90
1.1810469207176105e-05,8.018026234918812e-90
1.1812545850540515e-05,8.018026234157652e-90
1.1814622859042633e-05,8.01802623339636e-90
1.1816700232746663e-05,8.018026232634932e-90
1.1818777971716817e-05,8.01802623187337e-90
1.182085607601732e-05,8.018026231111675e-90
1.182293454571241e-05,8.018026230349845e-90
1.1825013380866334e-05,8.018026229587883e-90
1.182709258154335e-05,8.018026228825786e-90
1.1829172147807727e-05,8.018026228063555e-90
1.183125207972375e-05,8.01802622730119e-90
1.183333237735571e-05,8.01802622653869e-90
1.1835413040767908e-05,8.018026225776057e-90
1.1837494070024666e-05,8.018026225013289e-90
1.1839575465190307e-05,8.018026224250388e-90
1.1841657226329168e-05,8.018026223487351e-90
1.18437393535056e-05,8.018026222724182e-90
1.1845821846783964e-05,8.018026221960878e-90
1.184790470622863e-05,8.01802622119744e-90
1.1849987931903983e-05,8.018026220433866e-90
1.1852071523874415e-05,8.018026219670161e-90
1.1854155482204337e-05,8.01802621890632e-90
1.185623980695816e-05,8.018026218142345e-90
1.185832449820032e-05,8.018026217378234e-90
1.186040955599525e-05,8.01802621661399e-90
1.1862494980407405e-05,8.018026215849614e-90
1.1864580771501242e-05,8.0180262150851e-90
1.1866666929341244e-05,8.018026214320453e-90
1.1868753453991893e-05,8.01802621355567e-90
1.1870840345517681e-05,8.018026212790754e-90
1.187292760398312e-05,8.018026212025704e-90
1.187501522945273e-05,8.018026211260519e-90
1.1877103221991039e-05,8.018026210495199e-90
1.1879191581662589e-05,8.018026209729746e-90
1.1881280308531934e-05,8.018026208964156e-90
1.188336940266364e-05,8.018026208198433e-90
1.1885458864122283e-05,8.018026207432575e-90
1.1887548692972447e-05,8.018026206666582e-90
1.1889638889278737e-05,8.018026205900454e-90
1.1891729453105753e-05,8.018026205134193e-90
1.1893820384518129e-05,8.018026204367797e-90
1.1895911683580489e-05,8.018026203601263e-90
1.1898003350357477e-05,8.018026202834598e-90
1.1900095384913753e-05,8.018026202067796e-90
1.190218778731398e-05,8.018026201300861e-90
1.1904280557622842e-05,8.01802620053379e-90
1.1906373695905023e-05,8.018026199766585e-90
1.1908467202225226e-05,8.018026198999244e-90
1.1910561076648163e-05,8.018026198231769e-90
1.1912655319238558e-05,8.018026197464157e-90
1.1914749930061148e-05,8.018026196696411e-90
1.1916844909180674e-05,8.018026195928531e-90
1.1918940256661901e-05,8.018026195160515e-90
1.1921035972569594e-05,8.018026194392364e-90
1.1923132056968534e-05,8.018026193624078e-90
1.1925228509923516e-05,8.018026192855659e-90
1.1927325331499338e-05,8.018026192087102e-90
1.1929422521760818e-05,8.018026191318411e-90
1.1931520080772786e-05,8.018026190549587e-90
1.1933618008600073e-05,8.018026189780624e-90
1.193571630530753e-05,8.018026189011528e-90
1.1937814970960021e-05,8.018026188242297e-90
1.1939914005622416e-05,8.018026187472929e-90
1.1942013409359598e-05,8.018026186703427e-90
1.1944113182236459e-05,8.01802618593379e-90
1.1946213324317909e-05,8.018026185164016e-90
1.1948313835668861e-05,8.018026184394108e-90
1.1950414716354249e-05,8.018026183624065e-90
1.1952515966439013e-05,8.018026182853884e-90
1.1954617585988102e-05,8.018026182083573e-90
1.1956719575066477e-05,8.018026181313122e-90
1.195882193373912e-05,8.018026180542537e-90
1.1960924662071011e-05,8.018026179771816e-90
1.196302776012715e-05,8.018026179000959e-90
1.1965131227972544e-05,8.018026178229967e-90
1.1967235065672215e-05,8.01802617745884e-90
1.1969339273291195e-05,8.018026176687578e-90
1.1971443850894526e-05,8.018026175916178e-90
1.1973548798547261e-05,8.018026175144644e-90
1.197565411631447e-05,8.018026174372974e-90
1.197775980426123e-05,8.018026173601168e-90
1.1979865862452626e-05,8.018026172829228e-90
1.1981972290953762e-05,8.01802617205715e-90
1.1984079089829748e-05,8.018026171284937e-90
1.198618625914571e-05,8.018026170512589e-90
1.198829379896678e-05,8.018026169740105e-90
1.1990401709358103e-05,8.018026168967484e-90
1.199250999038484e-05,8.018026168194728e-90
1.1994618642112156e-05,8.018026167421835e-90
1.1996727664605237e-05,8.018026166648808e-90
1.1998837057929273e-05,8.018026165875644e-90
1.2000946822149464e-05,8.018026165102345e-90
1.2003056957331031e-05,8.018026164328908e-90
1.2005167463539195e-05,8.018026163555337e-90
1.2007278340839195e-05,8.01802616278163e-90
1.2009389589296282e-05,8.018026162007785e-90
1.2011501208975716e-05,8.018026161233806e-90
1.2013613199942771e-05,8.018026160459689e-90
1.2015725562262726e-05,8.018026159685438e-90
1.2017838296000882e-05,8.018026158911049e-90
1.2019951401222542e-05,8.018026158136526e-90
1.2022064877993026e-05,8.018026157361865e-90
1.2024178726377662e-05,8.018026156587068e-90
1.2026292946441793e-05,8.018026155812136e-90
1.202840753825077e-05,8.018026155037067e-90
1.2030522501869958e-05,8.018026154261862e-90
1.2032637837364735e-05,8.018026153486519e-90
1.2034753544800484e-05,8.01802615271104e-90
1.2036869624242604e-05,8.018026151935427e-90
1.203898607575651e-05,8.018026151159676e-90
1.204110289940762e-05,8.018026150383787e-90
1.2043220095261365e-05,8.018026149607764e-90
1.2045337663383193e-05,8.018026148831606e-90
1.204745560383856e-05,8.018026148055308e-90
1.2049573916692932e-05,8.018026147278875e-90
1.2051692602011791e-05,8.018026146502305e-90
1.2053811659860622e-05,8.018026145725599e-90
1.2055931090304936e-05,8.018026144948758e-90
1.205805089341024e-05,8.018026144171777e-90
1.206017106924206e-05,8.018026143394662e-90
1.2062291617865934e-05,8.018026142617408e-90
1.2064412539347413e-05,8.018026141840019e-90
1.2066533833752049e-05,8.018026141062494e-90
1.2068655501145422e-05,8.01802614028483e-90
1.2070777541593109e-05,8.018026139507031e-90
1.2072899955160708e-05,8.018026138729095e-90
1.2075022741913823e-05,8.018026137951022e-90
1.2077145901918073e-05,8.018026137172814e-90
1.2079269435239086e-05,8.018026136394466e-90
1.20813933419425e-05,8.018026135615984e-90
1.2083517622093972e-05,8.018026134837362e-90
1.2085642275759164e-05,8.018026134058604e-90
1.208776730300375e-05,8.01802613327971e-90
1.2089892703893416e-05,8.01802613250068e-90
1.2092018478493862e-05,8.018026131721513e-90
1.2094144626870797e-05,8.018026130942207e-90
1.2096271149089946e-05,8.018026130162764e-90
1.2098398045217035e-05,8.018026129383185e-90
1.2100525315317814e-05,8.01802612860347e-90
1.2102652959458035e-05,8.018026127823616e-90
1.210478097770347e-05,8.018026127043625e-90
1.2106909370119895e-05,8.018026126263497e-90
1.2109038136773103e-05,8.018026125483232e-90
1.2111167277728895e-05,8.018026124702831e-90
1.2113296793053085e-05,8.018026123922291e-90
1.2115426682811497e-05,8.018026123141616e-90
1.2117556947069973e-05,8.018026122360802e-90
1.2119687585894356e-05,8.01802612157985e-90
1.2121818599350509e-05,8.018026120798763e-90
1.2123949987504302e-05,8.018026120017537e-90
1.2126081750421618e-05,8.018026119236173e-90
1.2128213888168358e-05,8.018026118454674e-90
1.2130346400810421e-05,8.018026117673037e-90
1.213247928841373e-05,8.018026116891262e-90
1.2134612551044211e-05,8.018026116109349e-90
1.2136746188767809e-05,8.018026115327298e-90
1.2138880201650473e-05,8.01802611454511e-90
1.2141014589758171e-05,8.018026113762785e-90
1.2143149353156875e-05,8.018026112980323e-90
1.214528449191258e-05,8.018026112197721e-90
1.2147420006091276e-05,8.018026111414984e-90
1.2149555895758982e-05,8.018026110632108e-90
1.2151692160981716e-05,8.018026109849095e-90
1.215382880182551e-05,8.018026109065945e-90
1.2155965818356418e-05,8.018026108282657e-90
1.2158103210640488e-05,8.01802610749923e-90
1.2160240978743794e-05,8.018026106715665e-90
