time_days,Ba140 top 12
1.1574074074074073e-05,4.549927258947446e-90
1.1576109151910821e-05,4.549927258443311e-90
1.157814458757678e-05,4.549927257939087e-90
1.158018038113487e-05,4.549927257434776e-90
1.1582216532648015e-05,4.549927256930375e-90
1.1584253042179158e-05,4.549927256425886e-90
1.1586289909791249e-05,4.549927255921307e-90
1.1588327135547246e-05,4.549927255416641e-90
1.1590364719510128e-05,4.549927254911885e-90
1.1592402661742875e-05,4.549927254407041e-90
1.1594440962308483e-05,4.549927253902108e-90
1.1596479621269957e-05,4.549927253397086e-90
1.1598518638690315e-05,4.5499272528919755e-90
1.1600558014632583e-05,4.549927252386775e-90
1.1602597749159803e-05,4.549927251881487e-90
1.1604637842335022e-05,4.549927251376111e-90
1.1606678294221306e-05,4.5499272508706445e-90
1.1608719104881723e-05,4.54992725036509e-90
1.1610760274379357e-05,4.549927249859446e-90
1.1612801802777306e-05,4.549927249353713e-90
1.1614843690138673e-05,4.549927248847892e-90
1.1616885936526574e-05,4.549927248341981e-90
1.1618928542004138e-05,4.549927247835981e-90
1.1620971506634507e-05,4.549927247329893e-90
1.1623014830480826e-05,4.5499272468237155e-90
1.162505851360626e-05,4.54992724631745e-90
1.1627102556073979e-05,4.549927245811094e-90
1.1629146957947168e-05,4.5499272453046485e-90
1.163119171928902e-05,4.549927244798116e-90
1.1633236840162742e-05,4.549927244291493e-90
1.1635282320631548e-05,4.549927243784782e-90
1.163732816075867e-05,4.549927243277981e-90
1.1639374360607345e-05,4.54992724277109e-90
1.1641420920240822e-05,4.549927242264111e-90
1.1643467839722364e-05,4.549927241757043e-90
1.1645515119115243e-05,4.549927241249887e-90
1.1647562758482743e-05,4.54992724074264e-90
1.1649610757888157e-05,4.549927240235304e-90
1.1651659117394789e-05,4.5499272397278795e-90
1.1653707837065959e-05,4.549927239220365e-90
1.1655756916964996e-05,4.549927238712762e-90
1.1657806357155237e-05,4.549927238205069e-90
1.1659856157700035e-05,4.549927237697287e-90
1.1661906318662747e-05,4.549927237189416e-90
1.1663956840106745e-05,4.549927236681455e-90
1.1666007722095419e-05,4.549927236173406e-90
1.1668058964692159e-05,4.549927235665266e-90
1.1670110567960373e-05,4.549927235157038e-90
1.1672162531963473e-05,4.549927234648721e-90
1.1674214856764896e-05,4.549927234140313e-90
1.1676267542428077e-05,4.5499272336318165e-90
1.1678320589016465e-05,4.549927233123231e-90
1.1680373996593523e-05,4.549927232614556e-90
1.1682427765222725e-05,4.549927232105791e-90
1.1684481894967554e-05,4.549927231596936e-90
1.1686536385891505e-05,4.549927231087992e-90
1.1688591238058084e-05,4.549927230578959e-90
1.1690646451530811e-05,4.549927230069837e-90
1.1692702026373212e-05,4.549927229560623e-90
1.169475796264883e-05,4.549927229051323e-90
1.1696814260421214e-05,4.549927228541931e-90
1.1698870919753925e-05,4.54992722803245e-90
1.170092794071054e-05,4.549927227522879e-90
1.1702985323354636e-05,4.549927227013219e-90
1.1705043067749818e-05,4.5499272265034695e-90
1.170710117395969e-05,4.54992722599363e-90
1.1709159642047868e-05,4.549927225483701e-90
1.1711218472077982e-05,4.549927224973683e-90
1.1713277664113672e-05,4.549927224463575e-90
1.1715337218218593e-05,4.549927223953376e-90
1.1717397134456403e-05,4.549927223443088e-90
1.1719457412890783e-05,4.549927222932711e-90
1.172151805358541e-05,4.549927222422244e-90
1.1723579056603986e-05,4.5499272219116865e-90
1.1725640422010216e-05,4.5499272214010405e-90
1.1727702149867825e-05,4.549927220890303e-90
1.1729764240240532e-05,4.549927220379477e-90
1.1731826693192089e-05,4.549927219868561e-90
1.173388950878624e-05,4.549927219357555e-90
1.1735952687086755e-05,4.549927218846459e-90
1.1738016228157407e-05,4.549927218335273e-90
1.174008013206198e-05,4.549927217823998e-90
1.1742144398864272e-05,4.549927217312632e-90
1.1744209028628096e-05,4.549927216801177e-90
1.1746274021417267e-05,4.549927216289631e-90
1.1748339377295616e-05,4.549927215777996e-90
1.1750405096326988e-05,4.549927215266271e-90
1.1752471178575235e-05,4.549927214754456e-90
1.1754537624104223e-05,4.54992721424255e-90
1.1756604432977824e-05,4.549927213730555e-90
1.1758671605259932e-05,4.54992721321847e-90
1.1760739141014437e-05,4.549927212706294e-90
1.1762807040305254e-05,4.549927212194029e-90
1.1764875303196305e-05,4.549927211681675e-90
1.1766943929751517e-05,4.549927211169229e-90
1.1769012920034836e-05,4.549927210656693e-90
1.1771082274110218e-05,4.5499272101440675e-90
1.1773151992041629e-05,4.549927209631351e-90
1.1775222073893044e-05,4.549927209118545e-90
1.1777292519728452e-05,4.549927208605649e-90
1.177936332961185e-05,4.549927208092663e-90
1.1781434503607254e-05,4.549927207579586e-90
1.1783506041778683e-05,4.549927207066419e-90
1.178557794419017e-05,4.549927206553163e-90
1.1787650210905758e-05,4.549927206039816e-90
1.178972284198951e-05,4.549927205526378e-90
1.1791795837505486e-05,4.54992720501285e-90
1.1793869197517767e-05,4.549927204499231e-90
1.179594292209044e-05,4.5499272039855235e-90
1.1798017011287611e-05,4.549927203471725e-90
1.180009146517339e-05,4.549927202957835e-90
1.1802166283811898e-05,4.549927202443856e-90
1.180424146726727e-05,4.5499272019297865e-90
1.1806317015603657e-05,4.549927201415626e-90
1.1808392928885212e-05,4.549927200901376e-90
1.1810469207176105e-05,4.549927200387034e-90
1.1812545850540515e-05,4.549927199872604e-90
1.1814622859042633e-05,4.5499271993580815e-90
1.1816700232746663e-05,4.5499271988434685e-90
1.1818777971716817e-05,4.549927198328767e-90
1.182085607601732e-05,4.549927197813973e-90
1.182293454571241e-05,4.549927197299088e-90
1.1825013380866334e-05,4.549927196784114e-90
1.182709258154335e-05,4.54992719626905e-90
1.1829172147807727e-05,4.549927195753894e-90
1.183125207972375e-05,4.5499271952386475e-90
1.183333237735571e-05,4.549927194723312e-90
1.1835413040767908e-05,4.549927194207884e-90
1.1837494070024666e-05,4.549927193692366e-90
1.1839575465190307e-05,4.5499271931767575e-90
1.1841657226329168e-05,4.549927192661059e-90
1.18437393535056e-05,4.549927192145269e-90
1.1845821846783964e-05,4.549927191629388e-90
1.184790470622863e-05,4.549927191113417e-90
1.1849987931903983e-05,4.549927190597355e-90
1.1852071523874415e-05,4.549927190081202e-90
1.1854155482204337e-05,4.5499271895649585e-90
1.185623980695816e-05,4.549927189048624e-90
1.185832449820032e-05,4.549927188532198e-90
1.186040955599525e-05,4.549927188015683e-90
1.1862494980407405e-05,4.549927187499076e-90
1.1864580771501242e-05,4.549927186982378e-90
1.1866666929341244e-05,4.549927186465591e-90
1.1868753453991893e-05,4.549927185948711e-90
1.1870840345517681e-05,4.549927185431741e-90
1.187292760398312e-05,4.54992718491468e-90
1.187501522945273e-05,4.549927184397528e-90
1.1877103221991039e-05,4.5499271838802845e-90
1.1879191581662589e-05,4.549927183362951e-90
1.1881280308531934e-05,4.5499271828455265e-90
1.188336940266364e-05,4.549927182328011e-90
1.1885458864122283e-05,4.549927181810404e-90
1.1887548692972447e-05,4.549927181292706e-90
1.1889638889278737e-05,4.549927180774917e-90
1.1891729453105753e-05,4.5499271802570374e-90
1.1893820384518129e-05,4.549927179739067e-90
1.1895911683580489e-05,4.5499271792210046e-90
1.1898003350357477e-05,4.549927178702852e-90
1.1900095384913753e-05,4.549927178184607e-90
1.190218778731398e-05,4.549927177666272e-90
1.1904280557622842e-05,4.549927177147845e-90
1.1906373695905023e-05,4.549927176629328e-90
1.1908467202225226e-05,4.54992717611072e-90
1.1910561076648163e-05,4.549927175592019e-90
1.1912655319238558e-05,4.549927175073228e-90
1.1914749930061148e-05,4.5499271745543455e-90
1.1916844909180674e-05,4.5499271740353725e-90
1.1918940256661901e-05,4.549927173516307e-90
1.1921035972569594e-05,4.549927172997151e-90
1.1923132056968534e-05,4.549927172477904e-90
1.1925228509923516e-05,4.549927171958565e-90
1.1927325331499338e-05,4.549927171439135e-90
1.1929422521760818e-05,4.549927170919614e-90
1.1931520080772786e-05,4.549927170400001e-90
1.1933618008600073e-05,4.549927169880297e-90
1.193571630530753e-05,4.549927169360501e-90
1.1937814970960021e-05,4.549927168840614e-90
1.1939914005622416e-05,4.549927168320636e-90
1.1942013409359598e-05,4.549927167800566e-90
1.1944113182236459e-05,4.549927167280404e-90
1.1946213324317909e-05,4.549927166760152e-90
1.1948313835668861e-05,4.549927166239808e-90
1.1950414716354249e-05,4.549927165719373e-90
1.1952515966439013e-05,4.5499271651988465e-90
1.1954617585988102e-05,4.549927164678228e-90
1.1956719575066477e-05,4.549927164157518e-90
1.195882193373912e-05,4.549927163636716e-90
1.1960924662071011e-05,4.549927163115823e-90
1.196302776012715e-05,4.549927162594837e-90
1.1965131227972544e-05,4.549927162073761e-90
1.1967235065672215e-05,4.549927161552594e-90
1.1969339273291195e-05,4.549927161031333e-90
1.1971443850894526e-05,4.549927160509982e-90
1.1973548798547261e-05,4.549927159988539e-90
1.197565411631447e-05,4.549927159467004e-90
1.197775980426123e-05,4.549927158945378e-90
1.1979865862452626e-05,4.5499271584236595e-90
1.1981972290953762e-05,4.54992715790185e-90
1.1984079089829748e-05,4.5499271573799476e-90
1.198618625914571e-05,4.549927156857955e-90
1.198829379896678e-05,4.549927156335869e-90
1.1990401709358103e-05,4.549927155813692e-90
1.199250999038484e-05,4.549927155291424e-90
1.1994618642112156e-05,4.549927154769063e-90
1.1996727664605237e-05,4.549927154246611e-90
1.1998837057929273e-05,4.549927153724066e-90
1.2000946822149464e-05,4.54992715320143e-90
1.2003056957331031e-05,4.549927152678701e-90
1.2005167463539195e-05,4.549927152155882e-90
1.2007278340839195e-05,4.54992715163297e-90
1.2009389589296282e-05,4.549927151109966e-90
1.2011501208975716e-05,4.54992715058687e-90
1.2013613199942771e-05,4.549927150063682e-90
1.2015725562262726e-05,4.549927149540402e-90
1.2017838296000882e-05,4.54992714901703e-90
1.2019951401222542e-05,4.549927148493567e-90
1.2022064877993026e-05,4.549927147970011e-90
1.2024178726377662e-05,4.549927147446363e-90
1.2026292946441793e-05,4.549927146922623e-90
1.202840753825077e-05,4.549927146398791e-90
1.2030522501869958e-05,4.549927145874866e-90
1.2032637837364735e-05,4.549927145350849e-90
1.2034753544800484e-05,4.549927144826741e-90
1.2036869624242604e-05,4.549927144302541e-90
1.203898607575651e-05,4.5499271437782485e-90
1.204110289940762e-05,4.549927143253864e-90
1.2043220095261365e-05,4.549927142729385e-90
1.2045337663383193e-05,4.5499271422048165e-90
1.204745560383856e-05,4.549927141680154e-90
1.2049573916692932e-05,4.549927141155401e-90
1.2051692602011791e-05,4.549927140630554e-90
1.2053811659860622e-05,4.549927140105617e-90
1.2055931090304936e-05,4.549927139580586e-90
1.205805089341024e-05,4.549927139055462e-90
1.206017106924206e-05,4.549927138530247e-90
1.2062291617865934e-05,4.54992713800494e-90
1.2064412539347413e-05,4.54992713747954e-90
1.2066533833752049e-05,4.549927136954046e-90
1.2068655501145422e-05,4.549927136428462e-90
1.2070777541593109e-05,4.549927135902784e-90
1.2072899955160708e-05,4.549927135377015e-90
1.2075022741913823e-05,4.549927134851153e-90
1.2077145901918073e-05,4.549927134325199e-90
1.2079269435239086e-05,4.549927133799151e-90
1.20813933419425e-05,4.549927133273012e-90
1.2083517622093972e-05,4.549927132746779e-90
1.2085642275759164e-05,4.549927132220455e-90
1.208776730300375e-05,4.549927131694037e-90
1.2089892703893416e-05,4.549927131167527e-90
1.2092018478493862e-05,4.549927130640925e-90
1.2094144626870797e-05,4.54992713011423e-90
1.2096271149089946e-05,4.5499271295874424e-90
1.2098398045217035e-05,4.549927129060563e-90
1.2100525315317814e-05,4.54992712853359e-90
1.2102652959458035e-05,4.549927128006524e-90
1.210478097770347e-05,4.549927127479365e-90
1.2106909370119895e-05,4.549927126952115e-90
1.2109038136773103e-05,4.549927126424771e-90
1.2111167277728895e-05,4.549927125897335e-90
1.2113296793053085e-05,4.549927125369807e-90
1.2115426682811497e-05,4.549927124842185e-90
1.2117556947069973e-05,4.54992712431447e-90
1.2119687585894356e-05,4.549927123786662e-90
1.2121818599350509e-05,4.549927123258763e-90
1.2123949987504302e-05,4.54992712273077e-90
1.2126081750421618e-05,4.5499271222026846e-90
1.2128213888168358e-05,4.549927121674505e-90
