# 1:A 2:Z 3:N 4:Yi 5:Xi
    1      1      0     2.16826796110590E-09   2.16826796110590E-09
    2      1      1     3.88487659174213E-16   7.76975318348426E-16
    3      1      2     2.39239240052764E-08   7.17717720158292E-08
    3      2      1     1.91398443944071E-09   5.74195331832214E-09
    4      2      2     3.42748869128469E-04   1.37099547651388E-03
    6      3      3     1.64077753138054E-08   9.84466518828324E-08
    7      3      4     2.74852568273588E-09   1.92396797791511E-08
    9      4      5     1.14965352341807E-06   1.03468817107626E-05
   10      4      6     7.61595290513178E-07   7.61595290513178E-06
   10      5      5     5.28227007037799E-13   5.28227007037799E-12
   11      5      6     2.30430237155240E-08   2.53473260870764E-07
   12      6      6     4.77250287459866E-07   5.72700344951840E-06
   13      6      7     1.65673900364230E-08   2.15376070473499E-07
   14      6      8     1.17651317731504E-08   1.64711844824106E-07
   14      7      7     2.06551660029662E-11   2.89172324041527E-10
   15      7      8     7.34194844188690E-06   1.10129226628304E-04
   16      8      8     1.60839429403609E-07   2.57343087045775E-06
   17      8      9     2.88505068464380E-09   4.90458616389447E-08
   18      8     10     1.81507309673752E-08   3.26713157412753E-07
   19      9     10     5.71699232073794E-07   1.08622854094021E-05
   20     10     10     1.05850418688181E-06   2.11700837376362E-05
   21     10     11     2.39681931163830E-07   5.03332055444043E-06
   22     10     12     8.62057013777240E-06   1.89652543030993E-04
   23     11     12     3.30965926175574E-09   7.61221630203819E-08
   24     12     12     2.14916894181650E-08   5.15800546035959E-07
   25     12     13     6.53514734619302E-08   1.63378683654826E-06
   26     12     14     5.88384561857985E-09   1.52979986083076E-07
   27     13     14     2.23833242763594E-09   6.04349755461703E-08
   28     14     14     1.28785649788057E-09   3.60599819406560E-08
   29     14     15     7.83285870444964E-10   2.27152902429040E-08
   30     14     16     1.96810347846297E-09   5.90431043538892E-08
   31     15     16     2.47712639326619E-09   7.67909181912520E-08
   32     14     18     1.02412009605586E-08   3.27718430737874E-07
   32     15     17     2.60863960309843E-12   8.34764672991497E-11
   32     16     16     6.10816534814147E-11   1.95461291140527E-09
   33     15     18     1.99269586559761E-14   6.57589635647211E-13
   33     16     17     1.16454211955571E-08   3.84298899453386E-07
   34     16     18     2.03652231205365E-08   6.92417586098242E-07
   35     16     19     2.96314021816551E-10   1.03709907635793E-08
   35     17     18     1.48102732531504E-08   5.18359563860264E-07
   36     16     20     4.67754857078914E-09   1.68391748548409E-07
   36     17     19     7.01682218023920E-18   2.52605598488611E-16
   37     17     20     1.26695599295440E-08   4.68773717393128E-07
   38     18     20     7.96150391787575E-09   3.02537148879279E-07
   39     18     21     3.09867466137906E-09   1.20848311793784E-07
   39     19     20     1.09465432550892E-11   4.26915186948480E-10
   40     18     22     5.03291138791143E-09   2.01316455516457E-07
   41     19     22     8.39750385902391E-09   3.44297658219980E-07
   42     18     24     9.53358247237013E-08   4.00410463839545E-06
   42     19     23     4.07024676210656E-12   1.70950364008476E-10
   42     20     22     2.78059802275256E-09   1.16785116955607E-07
   43     20     23     2.50901653290547E-08   1.07887710914935E-06
   44     20     24     2.38256293021299E-08   1.04832768929372E-06
   45     20     25     6.06361919564419E-09   2.72862863803988E-07
   45     21     24     4.48909762913586E-08   2.02009393311114E-06
   46     20     26     3.51592763925916E-08   1.61732671405921E-06
   46     21     25     1.17024065297754E-19   5.38310700369666E-18
   46     22     24     6.93389964859971E-18   3.18959383835587E-16
   47     22     25     1.29636652401967E-08   6.09292266289246E-07
   48     20     28     1.28975664899339E-08   6.19083191516828E-07
   48     21     27     2.21968660000549E-12   1.06544956800264E-10
   48     22     26     4.28056330522240E-10   2.05467038650675E-08
   49     22     27     1.48319055881411E-09   7.26763373818915E-08
