time_days,Po210 top 2
1.1574074074074073e-05,1.4404492274996003e-90
1.1576109151910821e-05,1.440449227484916e-90
1.157814458757678e-05,1.440449227470229e-90
1.158018038113487e-05,1.4404492274555395e-90
1.1582216532648015e-05,1.4404492274408475e-90
1.1584253042179158e-05,1.4404492274261525e-90
1.1586289909791249e-05,1.4404492274114553e-90
1.1588327135547246e-05,1.4404492273967553e-90
1.1590364719510128e-05,1.4404492273820528e-90
1.1592402661742875e-05,1.4404492273673476e-90
1.1594440962308483e-05,1.44044922735264e-90
1.1596479621269957e-05,1.4404492273379296e-90
1.1598518638690315e-05,1.4404492273232167e-90
1.1600558014632583e-05,1.4404492273085015e-90
1.1602597749159803e-05,1.4404492272937833e-90
1.1604637842335022e-05,1.4404492272790628e-90
1.1606678294221306e-05,1.4404492272643397e-90
1.1608719104881723e-05,1.4404492272496137e-90
1.1610760274379357e-05,1.4404492272348853e-90
1.1612801802777306e-05,1.4404492272201545e-90
1.1614843690138673e-05,1.440449227205421e-90
1.1616885936526574e-05,1.440449227190685e-90
1.1618928542004138e-05,1.4404492271759459e-90
1.1620971506634507e-05,1.4404492271612047e-90
1.1623014830480826e-05,1.4404492271464606e-90
1.162505851360626e-05,1.4404492271317143e-90
1.1627102556073979e-05,1.4404492271169653e-90
1.1629146957947168e-05,1.4404492271022133e-90
1.163119171928902e-05,1.4404492270874592e-90
1.1633236840162742e-05,1.440449227072702e-90
1.1635282320631548e-05,1.4404492270579428e-90
1.163732816075867e-05,1.4404492270431806e-90
1.1639374360607345e-05,1.4404492270284158e-90
1.1641420920240822e-05,1.440449227013649e-90
1.1643467839722364e-05,1.4404492269988789e-90
1.1645515119115243e-05,1.4404492269841062e-90
1.1647562758482743e-05,1.4404492269693314e-90
1.1649610757888157e-05,1.4404492269545536e-90
1.1651659117394789e-05,1.4404492269397737e-90
1.1653707837065959e-05,1.4404492269249906e-90
1.1655756916964996e-05,1.4404492269102052e-90
1.1657806357155237e-05,1.4404492268954168e-90
1.1659856157700035e-05,1.4404492268806263e-90
1.1661906318662747e-05,1.4404492268658332e-90
1.1663956840106745e-05,1.4404492268510373e-90
1.1666007722095419e-05,1.440449226836239e-90
1.1668058964692159e-05,1.4404492268214377e-90
1.1670110567960373e-05,1.4404492268066341e-90
1.1672162531963473e-05,1.440449226791828e-90
1.1674214856764896e-05,1.4404492267770191e-90
1.1676267542428077e-05,1.4404492267622075e-90
1.1678320589016465e-05,1.4404492267473934e-90
1.1680373996593523e-05,1.4404492267325765e-90
1.1682427765222725e-05,1.4404492267177575e-90
1.1684481894967554e-05,1.4404492267029356e-90
1.1686536385891505e-05,1.4404492266881108e-90
1.1688591238058084e-05,1.440449226673284e-90
1.1690646451530811e-05,1.4404492266584542e-90
1.1692702026373212e-05,1.4404492266436218e-90
1.169475796264883e-05,1.4404492266287868e-90
1.1696814260421214e-05,1.4404492266139493e-90
