time_days,Ac225 top 8
1.1574074074074073e-05,2.0416963318877282e-89
1.1576109151910821e-05,2.041696331599713e-89
1.157814458757678e-05,2.0416963313116473e-89
1.158018038113487e-05,2.0416963310235306e-89
1.1582216532648015e-05,2.041696330735364e-89
1.1584253042179158e-05,2.0416963304471455e-89
1.1586289909791249e-05,2.041696330158877e-89
1.1588327135547246e-05,2.0416963298705578e-89
1.1590364719510128e-05,2.0416963295821882e-89
1.1592402661742875e-05,2.0416963292937677e-89
1.1594440962308483e-05,2.0416963290052967e-89
1.1596479621269957e-05,2.0416963287167743e-89
1.1598518638690315e-05,2.0416963284282017e-89
1.1600558014632583e-05,2.0416963281395782e-89
1.1602597749159803e-05,2.0416963278509038e-89
1.1604637842335022e-05,2.0416963275621785e-89
1.1606678294221306e-05,2.041696327273403e-89
1.1608719104881723e-05,2.0416963269845764e-89
1.1610760274379357e-05,2.041696326695699e-89
1.1612801802777306e-05,2.041696326406771e-89
1.1614843690138673e-05,2.041696326117792e-89
1.1616885936526574e-05,2.041696325828762e-89
1.1618928542004138e-05,2.0416963255396817e-89
1.1620971506634507e-05,2.04169632525055e-89
1.1623014830480826e-05,2.041696324961368e-89
1.162505851360626e-05,2.041696324672135e-89
1.1627102556073979e-05,2.041696324382851e-89
1.1629146957947168e-05,2.0416963240935162e-89
1.163119171928902e-05,2.0416963238041306e-89
1.1633236840162742e-05,2.0416963235146944e-89
1.1635282320631548e-05,2.041696323225207e-89
1.163732816075867e-05,2.0416963229356684e-89
1.1639374360607345e-05,2.041696322646079e-89
1.1641420920240822e-05,2.041696322356439e-89
1.1643467839722364e-05,2.041696322066748e-89
1.1645515119115243e-05,2.0416963217770058e-89
1.1647562758482743e-05,2.0416963214872127e-89
1.1649610757888157e-05,2.0416963211973687e-89
1.1651659117394789e-05,2.0416963209074734e-89
1.1653707837065959e-05,2.0416963206175283e-89
1.1655756916964996e-05,2.0416963203275315e-89
1.1657806357155237e-05,2.0416963200374834e-89
1.1659856157700035e-05,2.0416963197473845e-89
1.1661906318662747e-05,2.0416963194572346e-89
1.1663956840106745e-05,2.0416963191670337e-89
1.1666007722095419e-05,2.041696318876782e-89
1.1668058964692159e-05,2.041696318586479e-89
1.1670110567960373e-05,2.0416963182961246e-89
1.1672162531963473e-05,2.0416963180057198e-89
1.1674214856764896e-05,2.041696317715264e-89
1.1676267542428077e-05,2.0416963174247565e-89
1.1678320589016465e-05,2.0416963171341985e-89
1.1680373996593523e-05,2.041696316843589e-89
1.1682427765222725e-05,2.0416963165529283e-89
1.1684481894967554e-05,2.0416963162622168e-89
1.1686536385891505e-05,2.0416963159714544e-89
1.1688591238058084e-05,2.0416963156806404e-89
1.1690646451530811e-05,2.0416963153897757e-89
1.1692702026373212e-05,2.04169631509886e-89
1.169475796264883e-05,2.0416963148078923e-89
1.1696814260421214e-05,2.0416963145168742e-89
1.1698870919753925e-05,2.0416963142258045e-89
1.170092794071054e-05,2.0416963139346842e-89
1.1702985323354636e-05,2.041696313643512e-89
1.1705043067749818e-05,2.0416963133522887e-89
1.170710117395969e-05,2.0416963130610146e-89
1.1709159642047868e-05,2.041696312769689e-89
1.1711218472077982e-05,2.0416963124783122e-89
1.1713277664113672e-05,2.0416963121868842e-89
1.1715337218218593e-05,2.0416963118954054e-89
1.1717397134456403e-05,2.041696311603875e-89
1.1719457412890783e-05,2.0416963113122927e-89
1.172151805358541e-05,2.0416963110206597e-89
1.1723579056603986e-05,2.0416963107289757e-89
1.1725640422010216e-05,2.04169631043724e-89
1.1727702149867825e-05,2.0416963101454532e-89
1.1729764240240532e-05,2.0416963098536147e-89
1.1731826693192089e-05,2.0416963095617253e-89
1.173388950878624e-05,2.0416963092697846e-89
1.1735952687086755e-05,2.0416963089777926e-89
1.1738016228157407e-05,2.0416963086857494e-89
1.174008013206198e-05,2.041696308393654e-89
1.1742144398864272e-05,2.0416963081015083e-89
1.1744209028628096e-05,2.0416963078093102e-89
1.1746274021417267e-05,2.0416963075170615e-89
1.1748339377295616e-05,2.0416963072247612e-89
1.1750405096326988e-05,2.0416963069324096e-89
1.1752471178575235e-05,2.0416963066400063e-89
1.1754537624104223e-05,2.041696306347552e-89
1.1756604432977824e-05,2.0416963060550457e-89
1.1758671605259932e-05,2.0416963057624887e-89
1.1760739141014437e-05,2.0416963054698796e-89
1.1762807040305254e-05,2.0416963051772193e-89
1.1764875303196305e-05,2.0416963048845074e-89
1.1766943929751517e-05,2.0416963045917445e-89
1.1769012920034836e-05,2.04169630429893e-89
1.1771082274110218e-05,2.0416963040060636e-89
1.1773151992041629e-05,2.041696303713146e-89
1.1775222073893044e-05,2.0416963034201765e-89
1.1777292519728452e-05,2.041696303127156e-89
1.177936332961185e-05,2.041696302834084e-89
1.1781434503607254e-05,2.04169630254096e-89
1.1783506041778683e-05,2.041696302247785e-89
1.178557794419017e-05,2.0416963019545582e-89
1.1787650210905758e-05,2.0416963016612795e-89
1.178972284198951e-05,2.0416963013679498e-89
1.1791795837505486e-05,2.041696301074568e-89
1.1793869197517767e-05,2.0416963007811352e-89
1.179594292209044e-05,2.04169630048765e-89
1.1798017011287611e-05,2.0416963001941138e-89
1.180009146517339e-05,2.041696299900526e-89
1.1802166283811898e-05,2.0416962996068862e-89
1.180424146726727e-05,2.0416962993131952e-89
1.1806317015603657e-05,2.041696299019453e-89
1.1808392928885212e-05,2.0416962987256582e-89
1.1810469207176105e-05,2.041696298431812e-89
1.1812545850540515e-05,2.041696298137914e-89
1.1814622859042633e-05,2.0416962978439646e-89
1.1816700232746663e-05,2.0416962975499634e-89
1.1818777971716817e-05,2.041696297255911e-89
1.182085607601732e-05,2.041696296961806e-89
1.182293454571241e-05,2.04169629666765e-89
1.1825013380866334e-05,2.041696296373442e-89
1.182709258154335e-05,2.0416962960791824e-89
1.1829172147807727e-05,2.041696295784871e-89
1.183125207972375e-05,2.0416962954905076e-89
1.183333237735571e-05,2.0416962951960927e-89
1.1835413040767908e-05,2.0416962949016256e-89
1.1837494070024666e-05,2.0416962946071075e-89
1.1839575465190307e-05,2.041696294312537e-89
1.1841657226329168e-05,2.041696294017915e-89
1.18437393535056e-05,2.0416962937232415e-89
1.1845821846783964e-05,2.0416962934285155e-89
1.184790470622863e-05,2.0416962931337382e-89
1.1849987931903983e-05,2.041696292838909e-89
1.1852071523874415e-05,2.0416962925440275e-89
1.1854155482204337e-05,2.0416962922490943e-89
1.185623980695816e-05,2.0416962919541095e-89
1.185832449820032e-05,2.0416962916590728e-89
1.186040955599525e-05,2.041696291363984e-89
1.1862494980407405e-05,2.0416962910688437e-89
1.1864580771501242e-05,2.0416962907736514e-89
1.1866666929341244e-05,2.0416962904784067e-89
1.1868753453991893e-05,2.0416962901831104e-89
1.1870840345517681e-05,2.0416962898877625e-89
1.187292760398312e-05,2.0416962895923623e-89
1.187501522945273e-05,2.0416962892969108e-89
1.1877103221991039e-05,2.0416962890014063e-89
1.1879191581662589e-05,2.0416962887058505e-89
1.1881280308531934e-05,2.041696288410243e-89
1.188336940266364e-05,2.041696288114583e-89
1.1885458864122283e-05,2.0416962878188706e-89
1.1887548692972447e-05,2.041696287523107e-89
1.1889638889278737e-05,2.041696287227291e-89
1.1891729453105753e-05,2.0416962869314233e-89
1.1893820384518129e-05,2.041696286635503e-89
1.1895911683580489e-05,2.0416962863395314e-89
1.1898003350357477e-05,2.0416962860435075e-89
1.1900095384913753e-05,2.0416962857474316e-89
1.190218778731398e-05,2.041696285451303e-89
1.1904280557622842e-05,2.0416962851551233e-89
1.1906373695905023e-05,2.041696284858891e-89
1.1908467202225226e-05,2.0416962845626063e-89
1.1910561076648163e-05,2.04169628426627e-89
1.1912655319238558e-05,2.0416962839698815e-89
1.1914749930061148e-05,2.041696283673441e-89
1.1916844909180674e-05,2.041696283376948e-89
1.1918940256661901e-05,2.0416962830804034e-89
1.1921035972569594e-05,2.0416962827838064e-89
1.1923132056968534e-05,2.041696282487157e-89
1.1925228509923516e-05,2.0416962821904558e-89
1.1927325331499338e-05,2.0416962818937018e-89
1.1929422521760818e-05,2.0416962815968966e-89
1.1931520080772786e-05,2.0416962813000383e-89
1.1933618008600073e-05,2.0416962810031288e-89
1.193571630530753e-05,2.0416962807061662e-89
1.1937814970960021e-05,2.0416962804091517e-89
1.1939914005622416e-05,2.0416962801120852e-89
1.1942013409359598e-05,2.041696279814966e-89
1.1944113182236459e-05,2.041696279517795e-89
1.1946213324317909e-05,2.0416962792205714e-89
1.1948313835668861e-05,2.0416962789232957e-89
1.1950414716354249e-05,2.0416962786259676e-89
1.1952515966439013e-05,2.0416962783285875e-89
1.1954617585988102e-05,2.0416962780311554e-89
1.1956719575066477e-05,2.04169627773367e-89
1.195882193373912e-05,2.0416962774361333e-89
1.1960924662071011e-05,2.041696277138544e-89
1.196302776012715e-05,2.041696276840902e-89
1.1965131227972544e-05,2.0416962765432075e-89
1.1967235065672215e-05,2.0416962762454612e-89
