1                                                                         
                                                                          
                                                                          
         n    p                            wc12w     7.82300e-01          
-6.781610e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
         t  he3                            wc12w     1.86000e-02          
-2.014560e+01 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       he3    t                              ecw    -1.90000e-02          
-3.246200e+01-2.133800e-01-8.215810e-01 1.112410e+01                      
-5.773380e-01 2.904710e-02-2.627050e-01                                   
       he6  li6                            wc12w     3.50510e+00          
-1.446190e-01 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       he8  li8                            wc12w     1.06640e+01          
 1.587760e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       li8  be8                            wc17w     1.60040e+01          
-1.153210e+02 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       li9  be9                            wc12w     1.36060e+01          
 6.501820e-01 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
      li11 be11                            wc12w     2.05510e+01          
 2.322150e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       be7  li7                              ecw     8.63000e-01          
-2.383280e+01 0.000000e+00 0.000000e+00 3.020330e+00                      
-7.421320e-02-7.923860e-03-6.501130e-01                                   
      be10  b10                            wc12w     5.57000e-01          
-3.177720e+01 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
      be11  b11                            wc12w     1.15100e+01          
-3.022670e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
      be12  b12                            wc12w     1.17080e+01          
 3.463140e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
      be14  b14                            wc12w     1.62910e+01          
 3.104950e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
        b8  be8                            wc17w     1.79800e+01          
-1.152340e+02 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       b12  c12                            wc17w     1.33690e+01          
 3.535560e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
 0.000000e+00 0.000000e+00 0.000000e+00                                   
       b13  c13                            wc12w     1.34370e+01          
 3.690540e+00 0.000000e+00 0.000000e+00 0.000000e+00                      
