time_days,Nuclei:Sb129 top 8
1.1574074074074073e-05,5.487307152348353e-88
1.1576109151910821e-05,5.48730710975139e-88
1.157814458757678e-05,5.487307067146938e-88
1.158018038113487e-05,5.487307024534994e-88
1.1582216532648015e-05,5.48730698191556e-88
1.1584253042179158e-05,5.487306939288632e-88
1.1586289909791249e-05,5.487306896654208e-88
1.1588327135547246e-05,5.487306854012288e-88
1.1590364719510128e-05,5.487306811362871e-88
1.1592402661742875e-05,5.487306768705955e-88
1.1594440962308483e-05,5.487306726041538e-88
1.1596479621269957e-05,5.48730668336962e-88
1.1598518638690315e-05,5.487306640690201e-88
1.1600558014632583e-05,5.487306598003278e-88
1.1602597749159803e-05,5.487306555308847e-88
1.1604637842335022e-05,5.48730651260691e-88
1.1606678294221306e-05,5.487306469897467e-88
1.1608719104881723e-05,5.487306427180514e-88
1.1610760274379357e-05,5.48730638445605e-88
1.1612801802777306e-05,5.487306341724073e-88
1.1614843690138673e-05,5.487306298984585e-88
1.1616885936526574e-05,5.487306256237581e-88
1.1618928542004138e-05,5.487306213483061e-88
1.1620971506634507e-05,5.487306170721024e-88
1.1623014830480826e-05,5.48730612795147e-88
1.162505851360626e-05,5.487306085174393e-88
1.1627102556073979e-05,5.487306042389797e-88
1.1629146957947168e-05,5.487305999597679e-88
1.163119171928902e-05,5.487305956798035e-88
1.1633236840162742e-05,5.487305913990867e-88
1.1635282320631548e-05,5.487305871176173e-88
1.163732816075867e-05,5.487305828353951e-88
1.1639374360607345e-05,5.487305785524199e-88
1.1641420920240822e-05,5.487305742686917e-88
1.1643467839722364e-05,5.487305699842103e-88
1.1645515119115243e-05,5.487305656989757e-88
1.1647562758482743e-05,5.487305614129876e-88
1.1649610757888157e-05,5.487305571262459e-88
1.1651659117394789e-05,5.487305528387504e-88
1.1653707837065959e-05,5.487305485505011e-88
1.1655756916964996e-05,5.48730544261498e-88
1.1657806357155237e-05,5.487305399717406e-88
1.1659856157700035e-05,5.48730535681229e-88
1.1661906318662747e-05,5.487305313899631e-88
1.1663956840106745e-05,5.487305270979427e-88
1.1666007722095419e-05,5.487305228051677e-88
1.1668058964692159e-05,5.487305185116378e-88
1.1670110567960373e-05,5.487305142173531e-88
1.1672162531963473e-05,5.487305099223134e-88
1.1674214856764896e-05,5.487305056265185e-88
1.1676267542428077e-05,5.487305013299681e-88
1.1678320589016465e-05,5.487304970326625e-88
1.1680373996593523e-05,5.487304927346013e-88
1.1682427765222725e-05,5.487304884357843e-88
1.1684481894967554e-05,5.487304841362116e-88
