time_days,Nuclei:Eu156 top 18
1.1574074074074073e-05,5.602562747314893e-90
1.1576109151910821e-05,5.602562746746036e-90
1.157814458757678e-05,5.602562746177078e-90
1.158018038113487e-05,5.602562745608021e-90
1.1582216532648015e-05,5.602562745038864e-90
1.1584253042179158e-05,5.602562744469607e-90
1.1586289909791249e-05,5.602562743900247e-90
1.1588327135547246e-05,5.6025627433307895e-90
1.1590364719510128e-05,5.602562742761233e-90
1.1592402661742875e-05,5.602562742191573e-90
1.1594440962308483e-05,5.602562741621816e-90
1.1596479621269957e-05,5.6025627410519575e-90
1.1598518638690315e-05,5.602562740481999e-90
1.1600558014632583e-05,5.602562739911939e-90
1.1602597749159803e-05,5.602562739341781e-90
1.1604637842335022e-05,5.602562738771521e-90
1.1606678294221306e-05,5.602562738201162e-90
1.1608719104881723e-05,5.602562737630702e-90
1.1610760274379357e-05,5.602562737060141e-90
1.1612801802777306e-05,5.602562736489482e-90
1.1614843690138673e-05,5.6025627359187205e-90
1.1616885936526574e-05,5.602562735347858e-90
1.1618928542004138e-05,5.602562734776898e-90
1.1620971506634507e-05,5.602562734205835e-90
1.1623014830480826e-05,5.602562733634673e-90
1.162505851360626e-05,5.602562733063411e-90
1.1627102556073979e-05,5.602562732492047e-90
1.1629146957947168e-05,5.602562731920583e-90
1.163119171928902e-05,5.602562731349019e-90
1.1633236840162742e-05,5.602562730777355e-90
1.1635282320631548e-05,5.6025627302055895e-90
1.163732816075867e-05,5.602562729633724e-90
1.1639374360607345e-05,5.602562729061757e-90
1.1641420920240822e-05,5.60256272848969e-90
1.1643467839722364e-05,5.602562727917524e-90
1.1645515119115243e-05,5.602562727345256e-90
1.1647562758482743e-05,5.6025627267728855e-90
1.1649610757888157e-05,5.602562726200418e-90
1.1651659117394789e-05,5.602562725627846e-90
1.1653707837065959e-05,5.602562725055177e-90
1.1655756916964996e-05,5.602562724482407e-90
1.1657806357155237e-05,5.602562723909533e-90
1.1659856157700035e-05,5.60256272333656e-90
1.1661906318662747e-05,5.602562722763487e-90
1.1663956840106745e-05,5.602562722190314e-90
1.1666007722095419e-05,5.602562721617037e-90
1.1668058964692159e-05,5.602562721043662e-90
1.1670110567960373e-05,5.602562720470185e-90
1.1672162531963473e-05,5.602562719896608e-90
1.1674214856764896e-05,5.60256271932293e-90
1.1676267542428077e-05,5.602562718749151e-90
1.1678320589016465e-05,5.60256271817527e-90
1.1680373996593523e-05,5.602562717601289e-90
1.1682427765222725e-05,5.602562717027207e-90
1.1684481894967554e-05,5.602562716453024e-90
1.1686536385891505e-05,5.60256271587874e-90
1.1688591238058084e-05,5.602562715304355e-90
1.1690646451530811e-05,5.602562714729868e-90
1.1692702026373212e-05,5.602562714155284e-90
1.169475796264883e-05,5.602562713580594e-90
1.1696814260421214e-05,5.602562713005806e-90
1.1698870919753925e-05,5.602562712430915e-90
1.170092794071054e-05,5.602562711855923e-90
1.1702985323354636e-05,5.6025627112808325e-90
1.1705043067749818e-05,5.602562710705638e-90
1.170710117395969e-05,5.602562710130345e-90
1.1709159642047868e-05,5.60256270955495e-90
1.1711218472077982e-05,5.602562708979453e-90
1.1713277664113672e-05,5.602562708403854e-90
1.1715337218218593e-05,5.602562707828155e-90
1.1717397134456403e-05,5.602562707252355e-90
1.1719457412890783e-05,5.602562706676453e-90
1.172151805358541e-05,5.60256270610045e-90
1.1723579056603986e-05,5.602562705524346e-90
1.1725640422010216e-05,5.6025627049481415e-90
1.1727702149867825e-05,5.602562704371834e-90
1.1729764240240532e-05,5.602562703795426e-90
1.1731826693192089e-05,5.602562703218916e-90
1.173388950878624e-05,5.602562702642305e-90
1.1735952687086755e-05,5.602562702065593e-90
1.1738016228157407e-05,5.602562701488781e-90
1.174008013206198e-05,5.602562700911864e-90
1.1742144398864272e-05,5.602562700334849e-90
1.1744209028628096e-05,5.60256269975773e-90
1.1746274021417267e-05,5.60256269918051e-90
1.1748339377295616e-05,5.602562698603189e-90
1.1750405096326988e-05,5.602562698025767e-90
1.1752471178575235e-05,5.602562697448243e-90
1.1754537624104223e-05,5.6025626968706185e-90
1.1756604432977824e-05,5.602562696292891e-90
1.1758671605259932e-05,5.602562695715063e-90
1.1760739141014437e-05,5.6025626951371315e-90
1.1762807040305254e-05,5.6025626945591e-90
1.1764875303196305e-05,5.602562693980967e-90
1.1766943929751517e-05,5.602562693402732e-90
1.1769012920034836e-05,5.602562692824393e-90
1.1771082274110218e-05,5.602562692245956e-90
1.1773151992041629e-05,5.602562691667417e-90
1.1775222073893044e-05,5.602562691088775e-90
1.1777292519728452e-05,5.60256269051003e-90
1.177936332961185e-05,5.602562689931186e-90
1.1781434503607254e-05,5.602562689352238e-90
1.1783506041778683e-05,5.602562688773189e-90
1.178557794419017e-05,5.602562688194037e-90
1.1787650210905758e-05,5.602562687614786e-90
1.178972284198951e-05,5.602562687035432e-90
1.1791795837505486e-05,5.602562686455975e-90
1.1793869197517767e-05,5.602562685876417e-90
1.179594292209044e-05,5.602562685296757e-90
1.1798017011287611e-05,5.6025626847169935e-90
1.180009146517339e-05,5.602562684137131e-90
1.1802166283811898e-05,5.602562683557164e-90
1.180424146726727e-05,5.602562682977096e-90
1.1806317015603657e-05,5.602562682396927e-90
1.1808392928885212e-05,5.602562681816653e-90
1.1810469207176105e-05,5.602562681236281e-90
1.1812545850540515e-05,5.602562680655804e-90
1.1814622859042633e-05,5.602562680075226e-90
1.1816700232746663e-05,5.602562679494546e-90
1.1818777971716817e-05,5.602562678913765e-90
1.182085607601732e-05,5.602562678332879e-90
1.182293454571241e-05,5.602562677751892e-90
1.1825013380866334e-05,5.6025626771708045e-90
1.182709258154335e-05,5.602562676589613e-90
1.1829172147807727e-05,5.60256267600832e-90
1.183125207972375e-05,5.6025626754269256e-90
1.183333237735571e-05,5.602562674845427e-90
1.1835413040767908e-05,5.602562674263828e-90
1.1837494070024666e-05,5.602562673682125e-90
1.1839575465190307e-05,5.602562673100322e-90
1.1841657226329168e-05,5.602562672518415e-90
1.18437393535056e-05,5.602562671936404e-90
1.1845821846783964e-05,5.602562671354295e-90
1.184790470622863e-05,5.602562670772081e-90
1.1849987931903983e-05,5.602562670189764e-90
1.1852071523874415e-05,5.602562669607347e-90
1.1854155482204337e-05,5.602562669024825e-90
1.185623980695816e-05,5.602562668442203e-90
1.185832449820032e-05,5.602562667859477e-90
1.186040955599525e-05,5.602562667276649e-90
1.1862494980407405e-05,5.602562666693719e-90
1.1864580771501242e-05,5.602562666110685e-90
1.1866666929341244e-05,5.602562665527549e-90
1.1868753453991893e-05,5.602562664944311e-90
1.1870840345517681e-05,5.60256266436097e-90
1.187292760398312e-05,5.602562663777528e-90
1.187501522945273e-05,5.6025626631939825e-90
1.1877103221991039e-05,5.602562662610334e-90
1.1879191581662589e-05,5.602562662026583e-90
1.1881280308531934e-05,5.602562661442728e-90
1.188336940266364e-05,5.602562660858771e-90
1.1885458864122283e-05,5.602562660274713e-90
1.1887548692972447e-05,5.6025626596905516e-90
1.1889638889278737e-05,5.602562659106287e-90
1.1891729453105753e-05,5.60256265852192e-90
1.1893820384518129e-05,5.602562657937449e-90
1.1895911683580489e-05,5.602562657352877e-90
1.1898003350357477e-05,5.6025626567682005e-90
1.1900095384913753e-05,5.602562656183423e-90
1.190218778731398e-05,5.602562655598542e-90
1.1904280557622842e-05,5.60256265501356e-90
1.1906373695905023e-05,5.60256265442847e-90
1.1908467202225226e-05,5.602562653843281e-90
1.1910561076648163e-05,5.602562653257989e-90
1.1912655319238558e-05,5.602562652672594e-90
1.1914749930061148e-05,5.602562652087094e-90
1.1916844909180674e-05,5.602562651501494e-90
1.1918940256661901e-05,5.60256265091579e-90
1.1921035972569594e-05,5.602562650329983e-90
1.1923132056968534e-05,5.6025626497440725e-90
1.1925228509923516e-05,5.602562649158059e-90
1.1927325331499338e-05,5.602562648571943e-90
1.1929422521760818e-05,5.602562647985722e-90
1.1931520080772786e-05,5.6025626473994005e-90
1.1933618008600073e-05,5.602562646812974e-90
1.193571630530753e-05,5.602562646226447e-90
1.1937814970960021e-05,5.602562645639814e-90
1.1939914005622416e-05,5.602562645053079e-90
1.1942013409359598e-05,5.602562644466241e-90
1.1944113182236459e-05,5.6025626438793e-90
1.1946213324317909e-05,5.602562643292255e-90
1.1948313835668861e-05,5.602562642705107e-90
1.1950414716354249e-05,5.602562642117857e-90
1.1952515966439013e-05,5.602562641530503e-90
1.1954617585988102e-05,5.602562640943043e-90
1.1956719575066477e-05,5.6025626403554826e-90
1.195882193373912e-05,5.602562639767819e-90
1.1960924662071011e-05,5.602562639180052e-90
1.196302776012715e-05,5.602562638592181e-90
1.1965131227972544e-05,5.602562638004207e-90
1.1967235065672215e-05,5.602562637416129e-90
1.1969339273291195e-05,5.602562636827948e-90
1.1971443850894526e-05,5.602562636239664e-90
1.1973548798547261e-05,5.602562635651276e-90
1.197565411631447e-05,5.602562635062784e-90
1.197775980426123e-05,5.60256263447419e-90
1.1979865862452626e-05,5.602562633885492e-90
1.1981972290953762e-05,5.60256263329669e-90
1.1984079089829748e-05,5.602562632707785e-90
1.198618625914571e-05,5.602562632118776e-90
1.198829379896678e-05,5.602562631529663e-90
1.1990401709358103e-05,5.6025626309404474e-90
1.199250999038484e-05,5.602562630351128e-90
1.1994618642112156e-05,5.602562629761706e-90
1.1996727664605237e-05,5.602562629172179e-90
1.1998837057929273e-05,5.602562628582547e-90
1.2000946822149464e-05,5.602562627992814e-90
1.2003056957331031e-05,5.602562627402975e-90
1.2005167463539195e-05,5.602562626813034e-90
1.2007278340839195e-05,5.602562626222988e-90
1.2009389589296282e-05,5.60256262563284e-90
1.2011501208975716e-05,5.602562625042587e-90
1.2013613199942771e-05,5.60256262445223e-90
1.2015725562262726e-05,5.6025626238617695e-90
1.2017838296000882e-05,5.602562623271206e-90
1.2019951401222542e-05,5.6025626226805375e-90
1.2022064877993026e-05,5.602562622089766e-90
1.2024178726377662e-05,5.6025626214988895e-90
1.2026292946441793e-05,5.60256262090791e-90
1.202840753825077e-05,5.6025626203168265e-90
1.2030522501869958e-05,5.602562619725639e-90
1.2032637837364735e-05,5.602562619134347e-90
1.2034753544800484e-05,5.6025626185429505e-90
1.2036869624242604e-05,5.6025626179514525e-90
1.203898607575651e-05,5.602562617359848e-90
1.204110289940762e-05,5.602562616768141e-90
1.2043220095261365e-05,5.6025626161763295e-90
1.2045337663383193e-05,5.602562615584415e-90
1.204745560383856e-05,5.602562614992393e-90
1.2049573916692932e-05,5.602562614400271e-90
1.2051692602011791e-05,5.602562613808043e-90
1.2053811659860622e-05,5.602562613215711e-90
1.2055931090304936e-05,5.602562612623274e-90
1.205805089341024e-05,5.602562612030735e-90
1.206017106924206e-05,5.60256261143809e-90
1.2062291617865934e-05,5.602562610845341e-90
1.2064412539347413e-05,5.602562610252489e-90
1.2066533833752049e-05,5.602562609659531e-90
1.2068655501145422e-05,5.602562609066469e-90
1.2070777541593109e-05,5.602562608473304e-90
1.2072899955160708e-05,5.602562607880033e-90
1.2075022741913823e-05,5.6025626072866595e-90
1.2077145901918073e-05,5.602562606693182e-90
1.2079269435239086e-05,5.602562606099597e-90
1.20813933419425e-05,5.60256260550591e-90
1.2083517622093972e-05,5.6025626049121195e-90
1.2085642275759164e-05,5.602562604318223e-90
1.208776730300375e-05,5.602562603724222e-90
1.2089892703893416e-05,5.602562603130117e-90
1.2092018478493862e-05,5.602562602535908e-90
1.2094144626870797e-05,5.602562601941594e-90
1.2096271149089946e-05,5.602562601347175e-90
1.2098398045217035e-05,5.602562600752653e-90
1.2100525315317814e-05,5.602562600158024e-90
1.2102652959458035e-05,5.602562599563292e-90
1.210478097770347e-05,5.602562598968455e-90
1.2106909370119895e-05,5.6025625983735135e-90
1.2109038136773103e-05,5.602562597778469e-90
1.2111167277728895e-05,5.602562597183319e-90
1.2113296793053085e-05,5.602562596588062e-90
1.2115426682811497e-05,5.602562595992703e-90
1.2117556947069973e-05,5.602562595397239e-90
1.2119687585894356e-05,5.602562594801668e-90
1.2121818599350509e-05,5.602562594205996e-90
1.2123949987504302e-05,5.602562593610216e-90
1.2126081750421618e-05,5.602562593014333e-90
1.2128213888168358e-05,5.602562592418345e-90
1.2130346400810421e-05,5.6025625918222525e-90
1.213247928841373e-05,5.602562591226055e-90
1.2134612551044211e-05,5.602562590629752e-90
1.2136746188767809e-05,5.602562590033344e-90
1.2138880201650473e-05,5.602562589436833e-90
1.2141014589758171e-05,5.602562588840215e-90
1.2143149353156875e-05,5.602562588243494e-90
1.214528449191258e-05,5.602562587646666e-90
1.2147420006091276e-05,5.602562587049734e-90
1.2149555895758982e-05,5.602562586452698e-90
1.2151692160981716e-05,5.602562585855556e-90
1.215382880182551e-05,5.6025625852583096e-90
1.2155965818356418e-05,5.602562584660956e-90
1.2158103210640488e-05,5.6025625840635e-90
1.2160240978743794e-05,5.602562583465938e-90
1.2162379122732416e-05,5.602562582868271e-90
1.2164517642672447e-05,5.602562582270498e-90
1.216665653862999e-05,5.602562581672621e-90
1.2168795810671159e-05,5.602562581074638e-90
1.2170935458862082e-05,5.602562580476552e-90
1.2173075483268899e-05,5.6025625798783595e-90
1.2175215883957757e-05,5.6025625792800605e-90
1.2177356660994821e-05,5.602562578681658e-90
1.2179497814446264e-05,5.602562578083149e-90
1.218163934437827e-05,5.6025625774845355e-90
1.2183781250857039e-05,5.602562576885817e-90
1.2185923533948775e-05,5.602562576286993e-90
1.2188066193719701e-05,5.6025625756880635e-90
1.219020923023605e-05,5.602562575089029e-90
1.2192352643564062e-05,5.60256257448989e-90
1.2194496433769993e-05,5.602562573890644e-90
1.219664060092011e-05,5.602562573291293e-90
1.2198785145080696e-05,5.602562572691838e-90
1.2200930066318032e-05,5.602562572092276e-90
1.2203075364698425e-05,5.602562571492609e-90
1.2205221040288189e-05,5.602562570892836e-90
1.2207367093153647e-05,5.6025625702929585e-90
1.2209513523361139e-05,5.602562569692976e-90
1.2211660330977009e-05,5.602562569092887e-90
1.2213807516067617e-05,5.602562568492691e-90
1.2215955078699339e-05,5.602562567892392e-90
