time_days,Nuclei:Te132 top 10
1.1574074074074073e-05,8.42034470594525e-09
1.1576109151910821e-05,8.463911639562097e-09
1.157814458757678e-05,8.507486233545338e-09
1.158018038113487e-05,8.551068489241942e-09
1.1582216532648015e-05,8.594658407998953e-09
1.1584253042179158e-05,8.638255991163835e-09
1.1586289909791249e-05,8.68186124008423e-09
1.1588327135547246e-05,8.726842545558883e-09
1.1590364719510128e-05,8.772691782159285e-09
1.1592402661742875e-05,8.818549080422946e-09
1.1594440962308483e-05,8.864414441767402e-09
1.1596479621269957e-05,8.910287867610296e-09
1.1598518638690315e-05,8.956169359369684e-09
1.1600558014632583e-05,9.002058918463732e-09
1.1602597749159803e-05,9.047956546310953e-09
1.1604637842335022e-05,9.096013117236517e-09
1.1606678294221306e-05,9.144260521282794e-09
1.1608719104881723e-05,9.192516408661658e-09
1.1610760274379357e-05,9.240780780864686e-09
1.1612801802777306e-05,9.289053639383843e-09
1.1614843690138673e-05,9.337334985711183e-09
1.1616885936526574e-05,9.385624821339154e-09
1.1618928542004138e-05,9.4348491300945e-09
1.1620971506634507e-05,9.485658525201962e-09
1.1623014830480826e-05,9.536476854116377e-09
1.162505851360626e-05,9.587304118408596e-09
1.1627102556073979e-05,9.638140319649712e-09
1.1629146957947168e-05,9.688985459411138e-09
1.163119171928902e-05,9.73983953926441e-09
1.1633236840162742e-05,9.790702560781596e-09
1.1635282320631548e-05,9.843349300999244e-09
1.163732816075867e-05,9.896889121402918e-09
1.1639374360607345e-05,9.950438355703693e-09
1.1641420920240822e-05,1.0003997005556781e-08
1.1643467839722364e-05,1.0057565072617743e-08
1.1645515119115243e-05,1.0111142558542394e-08
1.1647562758482743e-05,1.0164729464986887e-08
1.1649610757888157e-05,1.021864986056861e-08
1.1651659117394789e-05,1.0275041582694223e-08
1.1653707837065959e-05,1.0331443220166317e-08
1.1655756916964996e-05,1.0387854774728254e-08
1.1657806357155237e-05,1.0444276248123678e-08
1.1659856157700035e-05,1.0500707642096716e-08
1.1661906318662747e-05,1.055714895839159e-08
1.1663956840106745e-05,1.061360019875293e-08
1.1666007722095419e-05,1.067213763061599e-08
1.1668058964692159e-05,1.0731528113345965e-08
1.1670110567960373e-05,1.0790929038693791e-08
1.1672162531963473e-05,1.085034040849556e-08
1.1674214856764896e-05,1.0909762224587808e-08
1.1676267542428077e-05,1.09691944888073e-08
1.1678320589016465e-05,1.1028637202991015e-08
1.1680373996593523e-05,1.1089459781706334e-08
1.1682427765222725e-05,1.1151982023433107e-08
1.1684481894967554e-05,1.1214515258434261e-08
1.1686536385891505e-05,1.1277059488642752e-08
1.1688591238058084e-05,1.1339614715991935e-08
1.1690646451530811e-05,1.140218094241539e-08
1.1692702026373212e-05,1.1464758169847018e-08
1.169475796264883e-05,1.1528375907267936e-08
1.1696814260421214e-05,1.1594179658869497e-08
1.1698870919753925e-05,1.1659994980732632e-08
1.170092794071054e-05,1.1725821874891892e-08
1.1702985323354636e-05,1.1791660343381821e-08
1.1705043067749818e-05,1.1857510388237692e-08
1.170710117395969e-05,1.1923372011494882e-08
1.1709159642047868e-05,1.1990345248332017e-08
1.1711218472077982e-05,1.2059587479808506e-08
1.1713277664113672e-05,1.212884188613377e-08
1.1715337218218593e-05,1.2198108469448618e-08
1.1717397134456403e-05,1.226738723189405e-08
1.1719457412890783e-05,1.2336678175611643e-08
1.172151805358541e-05,1.2405981302742996e-08
1.1723579056603986e-05,1.247692483880118e-08
1.1725640422010216e-05,1.2549770140684277e-08
1.1727702149867825e-05,1.262262825094349e-08
1.1729764240240532e-05,1.269549917183064e-08
1.1731826693192089e-05,1.2768382905598418e-08
1.173388950878624e-05,1.284127945449955e-08
1.1735952687086755e-05,1.2914188820787376e-08
1.1738016228157407e-05,1.2989776376485148e-08
1.174008013206198e-05,1.306639738331706e-08
1.1742144398864272e-05,1.3143031862406313e-08
1.1744209028628096e-05,1.321967981612185e-08
1.1746274021417267e-05,1.3296341246832812e-08
1.1748339377295616e-05,1.3373016156908814e-08
1.1750405096326988e-05,1.3450109912590352e-08
1.1752471178575235e-05,1.3530673585507724e-08
1.1754537624104223e-05,1.361125142392069e-08
1.1756604432977824e-05,1.369184343031987e-08
1.1758671605259932e-05,1.3772449607196582e-08
1.1760739141014437e-05,1.3853069957042141e-08
1.1762807040305254e-05,1.3933704482348792e-08
1.1764875303196305e-05,1.4016807583228541e-08
1.1766943929751517e-05,1.4101529583238558e-08
1.1769012920034836e-05,1.4186266479901994e-08
1.1771082274110218e-05,1.4271018275838061e-08
1.1773151992041629e-05,1.4355784973666519e-08
1.1775222073893044e-05,1.4440566576007397e-08
1.1777292519728452e-05,1.4526294145555118e-08
1.177936332961185e-05,1.4615353017844821e-08
1.1781434503607254e-05,1.4704427549339377e-08
1.1783506041778683e-05,1.479351774279195e-08
1.178557794419017e-05,1.4882623600956357e-08
1.1787650210905758e-05,1.497174512658685e-08
1.178972284198951e-05,1.506088232243846e-08
1.1791795837505486e-05,1.5154241177515784e-08
1.1793869197517767e-05,1.5247842164617546e-08
1.179594292209044e-05,1.534145960956304e-08
1.1798017011287611e-05,1.543509351524611e-08
1.180009146517339e-05,1.5528743884561057e-08
1.1802166283811898e-05,1.562241072040252e-08
1.180424146726727e-05,1.5719803682914095e-08
1.1806317015603657e-05,1.5818134374002845e-08
1.1808392928885212e-05,1.591648235455818e-08
1.1810469207176105e-05,1.601484762762025e-08
1.1812545850540515e-05,1.6113230196229318e-08
1.1814622859042633e-05,1.621163006342675e-08
1.1816700232746663e-05,1.631382359423993e-08
1.1818777971716817e-05,1.641709119009822e-08
1.182085607601732e-05,1.6520376943478014e-08
1.182293454571241e-05,1.6623680857572172e-08
1.1825013380866334e-05,1.672700293557356e-08
1.182709258154335e-05,1.6830343180676064e-08
1.1829172147807727e-05,1.6938184224642758e-08
1.183125207972375e-05,1.7046603299883045e-08
1.183333237735571e-05,1.7155041438428456e-08
1.1835413040767908e-05,1.726349864363068e-08
1.1837494070024666e-05,1.7371974918842468e-08
1.1839575465190307e-05,1.7481101386737842e-08
1.1841657226329168e-05,1.759487526215175e-08
1.18437393535056e-05,1.770866914240415e-08
1.1845821846783964e-05,1.7822483031012544e-08
1.184790470622863e-05,1.793631693149487e-08
1.1849987931903983e-05,1.8050170847369753e-08
1.1852071523874415e-05,1.816662462959877e-08
1.1854155482204337e-05,1.8286004743976146e-08
1.185623980695816e-05,1.8405405848935696e-08
1.185832449820032e-05,1.8524827948168353e-08
1.186040955599525e-05,1.8644271045365465e-08
1.1862494980407405e-05,1.8763735144218993e-08
1.1864580771501242e-05,1.8888577469351374e-08
1.1866666929341244e-05,1.9013805670755797e-08
1.1868753453991893e-05,1.9139055891010393e-08
1.1870840345517681e-05,1.9264328133986648e-08
1.187292760398312e-05,1.9389622403556836e-08
1.187501522945273e-05,1.9518010028486115e-08
1.1877103221991039e-05,1.9649314949458014e-08
1.1879191581662589e-05,1.9780642957748407e-08
1.1881280308531934e-05,1.9911994057416662e-08
1.188336940266364e-05,2.0043368252522933e-08
1.1885458864122283e-05,2.0176023881980417e-08
1.1887548692972447e-05,2.0313665304518236e-08
1.1889638889278737e-05,2.0451330928520407e-08
1.1891729453105753e-05,2.058902075824184e-08
1.1893820384518129e-05,2.0726734797939105e-08
1.1895911683580489e-05,2.086447305186863e-08
1.1898003350357477e-05,2.1008693080874757e-08
1.1900095384913753e-05,2.1152966742325878e-08
1.190218778731398e-05,2.1297265771386258e-08
1.1904280557622842e-05,2.1441590172516437e-08
1.1906373695905023e-05,2.1585939950177287e-08
1.1908467202225226e-05,2.1736345203963384e-08
1.1910561076648163e-05,2.1887508368839646e-08
1.1912655319238558e-05,2.2038698112704996e-08
1.1914749930061148e-05,2.2189914440233117e-08
1.1916844909180674e-05,2.234115735609773e-08
1.1918940256661901e-05,2.2498685347665044e-08
1.1921035972569594e-05,2.2657030992946653e-08
1.1923132056968534e-05,2.281540448011148e-08
1.1925228509923516e-05,2.297380581405488e-08
1.1927325331499338e-05,2.3132234999672983e-08
1.1929422521760818e-05,2.3297900428592076e-08
1.1931520080772786e-05,2.3463733526213817e-08
1.1933618008600073e-05,2.3629595782235523e-08
1.193571630530753e-05,2.3795487201784595e-08
1.1937814970960021e-05,2.396269994789338e-08
1.1939914005622416e-05,2.4136307440885368e-08
1.1942013409359598e-05,2.4309945459248088e-08
1.1944113182236459e-05,2.4483614008348504e-08
1.1946213324317909e-05,2.4657313093554873e-08
1.1948313835668861e-05,2.4834619176168313e-08
1.1950414716354249e-05,2.501636064441355e-08
1.1952515966439013e-05,2.5198134068224475e-08
1.1954617585988102e-05,2.5379939453219686e-08
1.1956719575066477e-05,2.556177680501893e-08
1.195882193373912e-05,2.575043969811736e-08
1.1960924662071011e-05,2.5940659120964045e-08
1.196302776012715e-05,2.6130911990053146e-08
1.1965131227972544e-05,2.6321198311265793e-08
1.1967235065672215e-05,2.651387877076705e-08
1.1969339273291195e-05,2.6712899244994834e-08
1.1971443850894526e-05,2.6911954712952143e-08
1.1973548798547261e-05,2.7111045180791508e-08
1.197565411631447e-05,2.7310170654667436e-08
1.197775980426123e-05,2.7516668385443965e-08
1.1979865862452626e-05,2.7724896066341935e-08
1.1981972290953762e-05,2.7933160359870564e-08
1.1984079089829748e-05,2.8141461272467217e-08
1.198618625914571e-05,2.835389017246029e-08
1.198829379896678e-05,2.8571674769229104e-08
1.1990401709358103e-05,2.8789497659018834e-08
1.199250999038484e-05,2.900735884856261e-08
1.1994618642112156e-05,2.922660404165376e-08
1.1996727664605237e-05,2.9454345956909738e-08
1.1998837057929273e-05,2.9682127915979746e-08
1.2000946822149464e-05,2.990994992590456e-08
1.2003056957331031e-05,3.0137811993726855e-08
1.2005167463539195e-05,3.037508763722424e-08
1.2007278340839195e-05,3.061324547423675e-08
1.2009389589296282e-05,3.08514451864929e-08
1.2011501208975716e-05,3.1089686781355066e-08
1.2013613199942771e-05,3.1336207474172796e-08
1.2015725562262726e-05,3.158517498946799e-08
1.2017838296000882e-05,3.1834186280670004e-08
1.2019951401222542e-05,3.2083241355475704e-08
1.2022064877993026e-05,3.2340149911544004e-08
1.2024178726377662e-05,3.2600378576914705e-08
1.2026292946441793e-05,3.286065299823768e-08
1.202840753825077e-05,3.312097318355803e-08
1.2030522501869958e-05,3.338950365050949e-08
1.2032637837364735e-05,3.366146331360683e-08
1.2034753544800484e-05,3.393347079531468e-08
1.2036869624242604e-05,3.420552610404145e-08
1.203898607575651e-05,3.448700949553672e-08
1.204110289940762e-05,3.477118910957593e-08
1.2043220095261365e-05,3.505541869085713e-08
1.2045337663383193e-05,3.533969824816626e-08
1.204745560383856e-05,3.5635568583057164e-08
1.2049573916692932e-05,3.593247696300013e-08
1.2051692602011791e-05,3.622943754828119e-08
1.2053811659860622e-05,3.65282603972348e-08
1.2055931090304936e-05,3.6839311006532185e-08
1.205805089341024e-05,3.71504163077924e-08
1.206017106924206e-05,3.7461576310632385e-08
1.2062291617865934e-05,3.7772791024670245e-08
1.2064412539347413e-05,3.809825115578729e-08
1.2066533833752049e-05,3.842508243329629e-08
1.2068655501145422e-05,3.8751971177480245e-08
