time_days,Nuclei:Sn123 top 3
1.1574074074074073e-05,4.807810905446189e-91
1.1576109151910821e-05,4.8078109053520094e-91
1.157814458757678e-05,4.807810905257813e-91
1.158018038113487e-05,4.8078109051635996e-91
1.1582216532648015e-05,4.807810905069371e-91
1.1584253042179158e-05,4.8078109049751256e-91
1.1586289909791249e-05,4.8078109048808624e-91
1.1588327135547246e-05,4.807810904786583e-91
1.1590364719510128e-05,4.8078109046922864e-91
1.1592402661742875e-05,4.807810904597974e-91
1.1594440962308483e-05,4.8078109045036445e-91
1.1596479621269957e-05,4.8078109044092985e-91
1.1598518638690315e-05,4.807810904314937e-91
1.1600558014632583e-05,4.807810904220558e-91
1.1602597749159803e-05,4.8078109041261633e-91
1.1604637842335022e-05,4.80781090403175e-91
1.1606678294221306e-05,4.807810903937321e-91
1.1608719104881723e-05,4.8078109038428767e-91
1.1610760274379357e-05,4.807810903748414e-91
1.1612801802777306e-05,4.8078109036539356e-91
1.1614843690138673e-05,4.8078109035594413e-91
1.1616885936526574e-05,4.80781090346493e-91
1.1618928542004138e-05,4.8078109033704004e-91
1.1620971506634507e-05,4.8078109032758565e-91
1.1623014830480826e-05,4.807810903181294e-91
1.162505851360626e-05,4.8078109030867154e-91
1.1627102556073979e-05,4.8078109029921213e-91
1.1629146957947168e-05,4.8078109028975104e-91
1.163119171928902e-05,4.8078109028028826e-91
1.1633236840162742e-05,4.807810902708237e-91
1.1635282320631548e-05,4.807810902613575e-91
1.163732816075867e-05,4.807810902518897e-91
1.1639374360607345e-05,4.8078109024242035e-91
1.1641420920240822e-05,4.807810902329491e-91
1.1643467839722364e-05,4.807810902234763e-91
1.1645515119115243e-05,4.807810902140019e-91
1.1647562758482743e-05,4.807810902045258e-91
1.1649610757888157e-05,4.8078109019504797e-91
1.1651659117394789e-05,4.8078109018556845e-91
1.1653707837065959e-05,4.8078109017608736e-91
1.1655756916964996e-05,4.807810901666046e-91
1.1657806357155237e-05,4.8078109015712005e-91
1.1659856157700035e-05,4.8078109014763405e-91
1.1661906318662747e-05,4.807810901381461e-91
1.1663956840106745e-05,4.8078109012865666e-91
1.1666007722095419e-05,4.8078109011916553e-91
1.1668058964692159e-05,4.8078109010967267e-91
1.1670110567960373e-05,4.807810901001783e-91
1.1672162531963473e-05,4.8078109009068214e-91
1.1674214856764896e-05,4.8078109008118437e-91
1.1676267542428077e-05,4.807810900716848e-91
1.1678320589016465e-05,4.8078109006218365e-91
1.1680373996593523e-05,4.8078109005268086e-91
1.1682427765222725e-05,4.8078109004317633e-91
1.1684481894967554e-05,4.807810900336702e-91
1.1686536385891505e-05,4.8078109002416237e-91
1.1688591238058084e-05,4.807810900146528e-91
1.1690646451530811e-05,4.8078109000514154e-91
