time_days,Nuclei:Cs137 top 5
1.1574074074074073e-05,4.242008565217919e-93
1.1576109151910821e-05,4.242008565180592e-93
1.157814458757678e-05,4.242008565143258e-93
1.158018038113487e-05,4.242008565105917e-93
1.1582216532648015e-05,4.242008565068569e-93
1.1584253042179158e-05,4.242008565031216e-93
1.1586289909791249e-05,4.242008564993856e-93
1.1588327135547246e-05,4.242008564956489e-93
1.1590364719510128e-05,4.242008564919116e-93
1.1592402661742875e-05,4.242008564881734e-93
1.1594440962308483e-05,4.242008564844348e-93
1.1596479621269957e-05,4.242008564806955e-93
1.1598518638690315e-05,4.242008564769556e-93
1.1600558014632583e-05,4.242008564732149e-93
1.1602597749159803e-05,4.242008564694735e-93
1.1604637842335022e-05,4.242008564657316e-93
1.1606678294221306e-05,4.242008564619889e-93
1.1608719104881723e-05,4.242008564582458e-93
1.1610760274379357e-05,4.242008564545018e-93
1.1612801802777306e-05,4.242008564507572e-93
1.1614843690138673e-05,4.24200856447012e-93
1.1616885936526574e-05,4.242008564432662e-93
1.1618928542004138e-05,4.242008564395194e-93
1.1620971506634507e-05,4.242008564357723e-93
1.1623014830480826e-05,4.242008564320245e-93
1.162505851360626e-05,4.242008564282759e-93
1.1627102556073979e-05,4.242008564245267e-93
1.1629146957947168e-05,4.242008564207768e-93
1.163119171928902e-05,4.2420085641702624e-93
1.1633236840162742e-05,4.242008564132752e-93
1.1635282320631548e-05,4.242008564095234e-93
1.163732816075867e-05,4.242008564057708e-93
1.1639374360607345e-05,4.242008564020177e-93
1.1641420920240822e-05,4.242008563982638e-93
1.1643467839722364e-05,4.242008563945094e-93
1.1645515119115243e-05,4.242008563907543e-93
1.1647562758482743e-05,4.242008563869984e-93
1.1649610757888157e-05,4.24200856383242e-93
1.1651659117394789e-05,4.242008563794849e-93
1.1653707837065959e-05,4.24200856375727e-93
1.1655756916964996e-05,4.242008563719687e-93
1.1657806357155237e-05,4.242008563682096e-93
1.1659856157700035e-05,4.242008563644497e-93
1.1661906318662747e-05,4.2420085636068935e-93
1.1663956840106745e-05,4.242008563569283e-93
1.1666007722095419e-05,4.2420085635316655e-93
1.1668058964692159e-05,4.242008563494041e-93
1.1670110567960373e-05,4.242008563456411e-93
1.1672162531963473e-05,4.242008563418774e-93
1.1674214856764896e-05,4.24200856338113e-93
1.1676267542428077e-05,4.242008563343479e-93
1.1678320589016465e-05,4.242008563305822e-93
1.1680373996593523e-05,4.242008563268159e-93
1.1682427765222725e-05,4.242008563230488e-93
1.1684481894967554e-05,4.242008563192812e-93
1.1686536385891505e-05,4.242008563155127e-93
1.1688591238058084e-05,4.242008563117438e-93
1.1690646451530811e-05,4.24200856307974e-93
1.1692702026373212e-05,4.242008563042037e-93
1.169475796264883e-05,4.242008563004326e-93
1.1696814260421214e-05,4.2420085629666096e-93
1.1698870919753925e-05,4.242008562928887e-93
1.170092794071054e-05,4.242008562891156e-93
1.1702985323354636e-05,4.24200856285342e-93
1.1705043067749818e-05,4.242008562815677e-93
1.170710117395969e-05,4.242008562777927e-93
1.1709159642047868e-05,4.24200856274017e-93
1.1711218472077982e-05,4.2420085627024066e-93
1.1713277664113672e-05,4.242008562664637e-93
1.1715337218218593e-05,4.24200856262686e-93
1.1717397134456403e-05,4.2420085625890776e-93
1.1719457412890783e-05,4.242008562551288e-93
1.172151805358541e-05,4.242008562513491e-93
1.1723579056603986e-05,4.242008562475689e-93
1.1725640422010216e-05,4.242008562437878e-93
1.1727702149867825e-05,4.2420085624000625e-93
1.1729764240240532e-05,4.24200856236224e-93
1.1731826693192089e-05,4.24200856232441e-93
1.173388950878624e-05,4.242008562286573e-93
1.1735952687086755e-05,4.24200856224873e-93
1.1738016228157407e-05,4.242008562210881e-93
1.174008013206198e-05,4.2420085621730255e-93
1.1742144398864272e-05,4.242008562135162e-93
