time_days,Nuclei:Os194 top 2
1.1574074074074073e-05,1.2237319456082698e-93
1.1576109151910821e-05,1.2237319455968713e-93
1.157814458757678e-05,1.2237319455854708e-93
1.158018038113487e-05,1.2237319455740682e-93
1.1582216532648015e-05,1.2237319455626637e-93
1.1584253042179158e-05,1.2237319455512572e-93
1.1586289909791249e-05,1.2237319455398484e-93
1.1588327135547246e-05,1.2237319455284378e-93
1.1590364719510128e-05,1.2237319455170251e-93
1.1592402661742875e-05,1.2237319455056104e-93
1.1594440962308483e-05,1.223731945494194e-93
1.1596479621269957e-05,1.223731945482775e-93
1.1598518638690315e-05,1.2237319454713545e-93
1.1600558014632583e-05,1.2237319454599317e-93
1.1602597749159803e-05,1.2237319454485071e-93
1.1604637842335022e-05,1.2237319454370805e-93
1.1606678294221306e-05,1.2237319454256517e-93
1.1608719104881723e-05,1.223731945414221e-93
1.1610760274379357e-05,1.2237319454027883e-93
1.1612801802777306e-05,1.2237319453913536e-93
1.1614843690138673e-05,1.223731945379917e-93
1.1616885936526574e-05,1.2237319453684783e-93
1.1618928542004138e-05,1.2237319453570374e-93
1.1620971506634507e-05,1.2237319453455946e-93
1.1623014830480826e-05,1.2237319453341498e-93
1.162505851360626e-05,1.2237319453227031e-93
1.1627102556073979e-05,1.2237319453112543e-93
1.1629146957947168e-05,1.2237319452998034e-93
1.163119171928902e-05,1.2237319452883506e-93
1.1633236840162742e-05,1.2237319452768958e-93
1.1635282320631548e-05,1.223731945265439e-93
1.163732816075867e-05,1.22373194525398e-93
1.1639374360607345e-05,1.2237319452425192e-93
1.1641420920240822e-05,1.223731945231056e-93
1.1643467839722364e-05,1.2237319452195913e-93
1.1645515119115243e-05,1.2237319452081242e-93
1.1647562758482743e-05,1.2237319451966556e-93
1.1649610757888157e-05,1.2237319451851847e-93
1.1651659117394789e-05,1.2237319451737114e-93
1.1653707837065959e-05,1.2237319451622362e-93
1.1655756916964996e-05,1.2237319451507597e-93
1.1657806357155237e-05,1.2237319451392802e-93
1.1659856157700035e-05,1.2237319451277993e-93
1.1661906318662747e-05,1.2237319451163164e-93
1.1663956840106745e-05,1.2237319451048312e-93
1.1666007722095419e-05,1.223731945093344e-93
1.1668058964692159e-05,1.2237319450818548e-93
1.1670110567960373e-05,1.2237319450703639e-93
1.1672162531963473e-05,1.2237319450588708e-93
1.1674214856764896e-05,1.2237319450473756e-93
1.1676267542428077e-05,1.2237319450358782e-93
1.1678320589016465e-05,1.223731945024379e-93
1.1680373996593523e-05,1.2237319450128778e-93
1.1682427765222725e-05,1.2237319450013743e-93
1.1684481894967554e-05,1.223731944989869e-93
1.1686536385891505e-05,1.223731944978362e-93
1.1688591238058084e-05,1.2237319449668525e-93
1.1690646451530811e-05,1.2237319449553408e-93
1.1692702026373212e-05,1.2237319449438277e-93
1.169475796264883e-05,1.2237319449323123e-93
1.1696814260421214e-05,1.2237319449207947e-93
1.1698870919753925e-05,1.2237319449092753e-93
1.170092794071054e-05,1.2237319448977539e-93
1.1702985323354636e-05,1.2237319448862305e-93
1.1705043067749818e-05,1.2237319448747047e-93
1.170710117395969e-05,1.223731944863177e-93
1.1709159642047868e-05,1.2237319448516476e-93
1.1711218472077982e-05,1.223731944840116e-93
1.1713277664113672e-05,1.2237319448285822e-93
1.1715337218218593e-05,1.2237319448170468e-93
1.1717397134456403e-05,1.223731944805509e-93
1.1719457412890783e-05,1.2237319447939693e-93
1.172151805358541e-05,1.2237319447824274e-93
1.1723579056603986e-05,1.2237319447708837e-93
1.1725640422010216e-05,1.2237319447593378e-93
1.1727702149867825e-05,1.2237319447477898e-93
1.1729764240240532e-05,1.2237319447362399e-93
1.1731826693192089e-05,1.2237319447246882e-93
1.173388950878624e-05,1.2237319447131342e-93
1.1735952687086755e-05,1.2237319447015781e-93
1.1738016228157407e-05,1.2237319446900201e-93
1.174008013206198e-05,1.2237319446784602e-93
1.1742144398864272e-05,1.2237319446668977e-93
1.1744209028628096e-05,1.223731944655334e-93
1.1746274021417267e-05,1.2237319446437676e-93
1.1748339377295616e-05,1.2237319446321994e-93
1.1750405096326988e-05,1.2237319446206292e-93
1.1752471178575235e-05,1.223731944609057e-93
1.1754537624104223e-05,1.2237319445974827e-93
1.1756604432977824e-05,1.2237319445859064e-93
1.1758671605259932e-05,1.223731944574328e-93
1.1760739141014437e-05,1.223731944562748e-93
1.1762807040305254e-05,1.2237319445511653e-93
1.1764875303196305e-05,1.2237319445395807e-93
1.1766943929751517e-05,1.2237319445279945e-93
1.1769012920034836e-05,1.2237319445164054e-93
1.1771082274110218e-05,1.2237319445048153e-93
1.1773151992041629e-05,1.2237319444932228e-93
1.1775222073893044e-05,1.223731944481628e-93
1.1777292519728452e-05,1.2237319444700314e-93
