time_days,Nuclei:Po217 top 17
1.1574074074074073e-05,1.3054641290080158e-83
1.1576109151910821e-05,1.3054641289948097e-83
1.157814458757678e-05,1.3054641289816011e-83
1.158018038113487e-05,1.3054641289683902e-83
1.1582216532648015e-05,1.305464128955177e-83
1.1584253042179158e-05,1.3054641289419618e-83
1.1586289909791249e-05,1.3054641289287439e-83
1.1588327135547246e-05,1.3054641289155238e-83
1.1590364719510128e-05,1.3054641289023012e-83
1.1592402661742875e-05,1.3054641288890766e-83
1.1594440962308483e-05,1.3054641288758494e-83
1.1596479621269957e-05,1.30546412886262e-83
1.1598518638690315e-05,1.3054641288493882e-83
1.1600558014632583e-05,1.305464128836154e-83
1.1602597749159803e-05,1.3054641288229177e-83
1.1604637842335022e-05,1.305464128809679e-83
1.1606678294221306e-05,1.3054641287964379e-83
1.1608719104881723e-05,1.3054641287831946e-83
1.1610760274379357e-05,1.3054641287699487e-83
1.1612801802777306e-05,1.3054641287567007e-83
1.1614843690138673e-05,1.3054641287434505e-83
1.1616885936526574e-05,1.3054641287301977e-83
1.1618928542004138e-05,1.3054641287169425e-83
1.1620971506634507e-05,1.3054641287036853e-83
1.1623014830480826e-05,1.3054641286904257e-83
1.162505851360626e-05,1.3054641286771634e-83
1.1627102556073979e-05,1.3054641286638993e-83
1.1629146957947168e-05,1.3054641286506324e-83
1.163119171928902e-05,1.3054641286373633e-83
1.1633236840162742e-05,1.305464128624092e-83
1.1635282320631548e-05,1.3054641286108184e-83
1.163732816075867e-05,1.3054641285975422e-83
1.1639374360607345e-05,1.3054641285842641e-83
1.1641420920240822e-05,1.3054641285709834e-83
1.1643467839722364e-05,1.3054641285577002e-83
1.1645515119115243e-05,1.3054641285444148e-83
1.1647562758482743e-05,1.3054641285311271e-83
1.1649610757888157e-05,1.3054641285178372e-83
1.1651659117394789e-05,1.3054641285045449e-83
1.1653707837065959e-05,1.3054641284912498e-83
1.1655756916964996e-05,1.305464128477953e-83
1.1657806357155237e-05,1.3054641284646537e-83
1.1659856157700035e-05,1.3054641284513517e-83
1.1661906318662747e-05,1.3054641284380477e-83
1.1663956840106745e-05,1.3054641284247413e-83
1.1666007722095419e-05,1.3054641284114327e-83
1.1668058964692159e-05,1.3054641283981214e-83
1.1670110567960373e-05,1.305464128384808e-83
1.1672162531963473e-05,1.3054641283714925e-83
1.1674214856764896e-05,1.3054641283581743e-83
1.1676267542428077e-05,1.3054641283448538e-83
1.1678320589016465e-05,1.3054641283315312e-83
1.1680373996593523e-05,1.3054641283182057e-83
1.1682427765222725e-05,1.3054641283048783e-83
1.1684481894967554e-05,1.3054641282915485e-83
1.1686536385891505e-05,1.3054641282782162e-83
1.1688591238058084e-05,1.3054641282648818e-83
1.1690646451530811e-05,1.3054641282515449e-83
1.1692702026373212e-05,1.305464128238206e-83
1.169475796264883e-05,1.3054641282248643e-83
1.1696814260421214e-05,1.3054641282115204e-83
1.1698870919753925e-05,1.3054641281981741e-83
1.170092794071054e-05,1.3054641281848255e-83
1.1702985323354636e-05,1.3054641281714747e-83
1.1705043067749818e-05,1.3054641281581215e-83
1.170710117395969e-05,1.3054641281447657e-83
1.1709159642047868e-05,1.305464128131408e-83
1.1711218472077982e-05,1.3054641281180474e-83
1.1713277664113672e-05,1.305464128104685e-83
1.1715337218218593e-05,1.3054641280913198e-83
1.1717397134456403e-05,1.3054641280779524e-83
1.1719457412890783e-05,1.3054641280645827e-83
1.172151805358541e-05,1.3054641280512107e-83
