time_days,Nuclei:La140 top 17
1.1574074074074073e-05,8.67664792379571e-89
1.1576109151910821e-05,8.676647923720477e-89
1.157814458757678e-05,8.67664792364523e-89
1.158018038113487e-05,8.676647923569967e-89
1.1582216532648015e-05,8.676647923494694e-89
1.1584253042179158e-05,8.676647923419406e-89
1.1586289909791249e-05,8.676647923344106e-89
1.1588327135547246e-05,8.676647923268792e-89
1.1590364719510128e-05,8.676647923193464e-89
1.1592402661742875e-05,8.676647923118123e-89
1.1594440962308483e-05,8.67664792304277e-89
1.1596479621269957e-05,8.676647922967402e-89
1.1598518638690315e-05,8.676647922892022e-89
1.1600558014632583e-05,8.67664792281663e-89
1.1602597749159803e-05,8.676647922741222e-89
1.1604637842335022e-05,8.676647922665802e-89
1.1606678294221306e-05,8.676647922590369e-89
1.1608719104881723e-05,8.676647922514923e-89
1.1610760274379357e-05,8.676647922439462e-89
1.1612801802777306e-05,8.67664792236399e-89
1.1614843690138673e-05,8.676647922288503e-89
1.1616885936526574e-05,8.676647922213003e-89
1.1618928542004138e-05,8.676647922137491e-89
1.1620971506634507e-05,8.676647922061965e-89
1.1623014830480826e-05,8.676647921986426e-89
1.162505851360626e-05,8.676647921910872e-89
1.1627102556073979e-05,8.676647921835307e-89
1.1629146957947168e-05,8.676647921759728e-89
1.163119171928902e-05,8.676647921684134e-89
1.1633236840162742e-05,8.676647921608529e-89
1.1635282320631548e-05,8.676647921532909e-89
1.163732816075867e-05,8.676647921457277e-89
1.1639374360607345e-05,8.676647921381632e-89
1.1641420920240822e-05,8.676647921305972e-89
1.1643467839722364e-05,8.676647921230299e-89
1.1645515119115243e-05,8.676647921154614e-89
1.1647562758482743e-05,8.676647921078916e-89
1.1649610757888157e-05,8.676647921003203e-89
1.1651659117394789e-05,8.676647920927476e-89
1.1653707837065959e-05,8.676647920851738e-89
1.1655756916964996e-05,8.676647920775987e-89
1.1657806357155237e-05,8.67664792070022e-89
1.1659856157700035e-05,8.67664792062444e-89
1.1661906318662747e-05,8.676647920548648e-89
1.1663956840106745e-05,8.676647920472844e-89
1.1666007722095419e-05,8.676647920397025e-89
1.1668058964692159e-05,8.676647920321192e-89
1.1670110567960373e-05,8.676647920245347e-89
1.1672162531963473e-05,8.676647920169489e-89
1.1674214856764896e-05,8.676647920093617e-89
1.1676267542428077e-05,8.676647920017731e-89
1.1678320589016465e-05,8.676647919941832e-89
1.1680373996593523e-05,8.67664791986592e-89
1.1682427765222725e-05,8.676647919789994e-89
1.1684481894967554e-05,8.676647919714055e-89
1.1686536385891505e-05,8.676647919638103e-89
1.1688591238058084e-05,8.676647919562138e-89
1.1690646451530811e-05,8.676647919486157e-89
1.1692702026373212e-05,8.676647919410166e-89
1.169475796264883e-05,8.67664791933416e-89
1.1696814260421214e-05,8.676647919258141e-89
1.1698870919753925e-05,8.676647919182108e-89
1.170092794071054e-05,8.676647919106062e-89
1.1702985323354636e-05,8.676647919030004e-89
1.1705043067749818e-05,8.676647918953931e-89
1.170710117395969e-05,8.676647918877845e-89
1.1709159642047868e-05,8.676647918801745e-89
1.1711218472077982e-05,8.676647918725633e-89
1.1713277664113672e-05,8.676647918649507e-89
1.1715337218218593e-05,8.676647918573367e-89
1.1717397134456403e-05,8.676647918497214e-89
1.1719457412890783e-05,8.676647918421049e-89
1.172151805358541e-05,8.676647918344869e-89
1.1723579056603986e-05,8.676647918268677e-89
1.1725640422010216e-05,8.67664791819247e-89
1.1727702149867825e-05,8.676647918116249e-89
1.1729764240240532e-05,8.676647918040017e-89
1.1731826693192089e-05,8.676647917963769e-89
1.173388950878624e-05,8.676647917887509e-89
1.1735952687086755e-05,8.676647917811236e-89
1.1738016228157407e-05,8.67664791773495e-89
1.174008013206198e-05,8.676647917658649e-89
1.1742144398864272e-05,8.676647917582335e-89
1.1744209028628096e-05,8.676647917506009e-89
1.1746274021417267e-05,8.676647917429667e-89
1.1748339377295616e-05,8.676647917353313e-89
1.1750405096326988e-05,8.676647917276947e-89
1.1752471178575235e-05,8.676647917200566e-89
1.1754537624104223e-05,8.676647917124171e-89
1.1756604432977824e-05,8.676647917047764e-89
1.1758671605259932e-05,8.676647916971343e-89
1.1760739141014437e-05,8.676647916894908e-89
1.1762807040305254e-05,8.67664791681846e-89
1.1764875303196305e-05,8.676647916741999e-89
1.1766943929751517e-05,8.676647916665524e-89
1.1769012920034836e-05,8.676647916589035e-89
1.1771082274110218e-05,8.676647916512534e-89
1.1773151992041629e-05,8.676647916436018e-89
1.1775222073893044e-05,8.67664791635949e-89
1.1777292519728452e-05,8.676647916282947e-89
1.177936332961185e-05,8.676647916206393e-89
1.1781434503607254e-05,8.676647916129823e-89
1.1783506041778683e-05,8.67664791605324e-89
1.178557794419017e-05,8.676647915976644e-89
1.1787650210905758e-05,8.676647915900035e-89
1.178972284198951e-05,8.676647915823412e-89
1.1791795837505486e-05,8.676647915746777e-89
1.1793869197517767e-05,8.676647915670126e-89
1.179594292209044e-05,8.676647915593463e-89
1.1798017011287611e-05,8.676647915516785e-89
1.180009146517339e-05,8.676647915440096e-89
1.1802166283811898e-05,8.676647915363392e-89
1.180424146726727e-05,8.676647915286674e-89
1.1806317015603657e-05,8.676647915209944e-89
1.1808392928885212e-05,8.676647915133198e-89
1.1810469207176105e-05,8.676647915056441e-89
1.1812545850540515e-05,8.67664791497967e-89
1.1814622859042633e-05,8.676647914902886e-89
1.1816700232746663e-05,8.676647914826087e-89
1.1818777971716817e-05,8.676647914749276e-89
1.182085607601732e-05,8.676647914672451e-89
1.182293454571241e-05,8.676647914595612e-89
1.1825013380866334e-05,8.67664791451876e-89
1.182709258154335e-05,8.676647914441893e-89
1.1829172147807727e-05,8.676647914365014e-89
1.183125207972375e-05,8.676647914288121e-89
1.183333237735571e-05,8.676647914211215e-89
1.1835413040767908e-05,8.676647914134297e-89
1.1837494070024666e-05,8.676647914057361e-89
1.1839575465190307e-05,8.676647913980416e-89
1.1841657226329168e-05,8.676647913903456e-89
1.18437393535056e-05,8.67664791382648e-89
1.1845821846783964e-05,8.676647913749493e-89
1.184790470622863e-05,8.676647913672492e-89
1.1849987931903983e-05,8.676647913595478e-89
