time_days,Nuclei:Am246 top 19
1.1574074074074073e-05,1.931777399337821e-87
1.1576109151910821e-05,1.9317773993210709e-87
1.157814458757678e-05,1.9317773993043176e-87
1.158018038113487e-05,1.9317773992875615e-87
1.1582216532648015e-05,1.9317773992708024e-87
1.1584253042179158e-05,1.9317773992540402e-87
1.1586289909791249e-05,1.9317773992372752e-87
1.1588327135547246e-05,1.9317773992205072e-87
1.1590364719510128e-05,1.9317773992037363e-87
1.1592402661742875e-05,1.9317773991869623e-87
1.1594440962308483e-05,1.9317773991701854e-87
1.1596479621269957e-05,1.9317773991534056e-87
1.1598518638690315e-05,1.9317773991366228e-87
1.1600558014632583e-05,1.9317773991198372e-87
1.1602597749159803e-05,1.9317773991030485e-87
1.1604637842335022e-05,1.931777399086257e-87
1.1606678294221306e-05,1.9317773990694625e-87
1.1608719104881723e-05,1.931777399052665e-87
1.1610760274379357e-05,1.9317773990358645e-87
1.1612801802777306e-05,1.9317773990190612e-87
1.1614843690138673e-05,1.9317773990022548e-87
1.1616885936526574e-05,1.9317773989854456e-87
1.1618928542004138e-05,1.9317773989686332e-87
1.1620971506634507e-05,1.931777398951818e-87
1.1623014830480826e-05,1.9317773989349999e-87
1.162505851360626e-05,1.9317773989181788e-87
1.1627102556073979e-05,1.9317773989013547e-87
1.1629146957947168e-05,1.9317773988845278e-87
1.163119171928902e-05,1.9317773988676976e-87
1.1633236840162742e-05,1.9317773988508648e-87
1.1635282320631548e-05,1.9317773988340285e-87
1.163732816075867e-05,1.9317773988171898e-87
1.1639374360607345e-05,1.9317773988003481e-87
1.1641420920240822e-05,1.931777398783503e-87
1.1643467839722364e-05,1.9317773987666555e-87
1.1645515119115243e-05,1.9317773987498049e-87
1.1647562758482743e-05,1.9317773987329512e-87
1.1649610757888157e-05,1.9317773987160943e-87
1.1651659117394789e-05,1.9317773986992346e-87
1.1653707837065959e-05,1.931777398682372e-87
1.1655756916964996e-05,1.9317773986655067e-87
1.1657806357155237e-05,1.9317773986486378e-87
1.1659856157700035e-05,1.9317773986317664e-87
1.1661906318662747e-05,1.931777398614892e-87
1.1663956840106745e-05,1.9317773985980146e-87
1.1666007722095419e-05,1.9317773985811343e-87
1.1668058964692159e-05,1.931777398564251e-87
1.1670110567960373e-05,1.9317773985473646e-87
1.1672162531963473e-05,1.9317773985304754e-87
1.1674214856764896e-05,1.931777398513583e-87
1.1676267542428077e-05,1.9317773984966876e-87
1.1678320589016465e-05,1.9317773984797897e-87
1.1680373996593523e-05,1.9317773984628885e-87
1.1682427765222725e-05,1.931777398445984e-87
1.1684481894967554e-05,1.9317773984290773e-87
1.1686536385891505e-05,1.931777398412167e-87
1.1688591238058084e-05,1.931777398395254e-87
1.1690646451530811e-05,1.9317773983783378e-87
1.1692702026373212e-05,1.9317773983614189e-87
1.169475796264883e-05,1.9317773983444969e-87
1.1696814260421214e-05,1.931777398327572e-87
1.1698870919753925e-05,1.931777398310644e-87
1.170092794071054e-05,1.931777398293713e-87
1.1702985323354636e-05,1.9317773982767793e-87
1.1705043067749818e-05,1.9317773982598423e-87
1.170710117395969e-05,1.9317773982429025e-87
1.1709159642047868e-05,1.9317773982259597e-87
1.1711218472077982e-05,1.931777398209014e-87
1.1713277664113672e-05,1.931777398192065e-87
1.1715337218218593e-05,1.9317773981751133e-87
1.1717397134456403e-05,1.9317773981581584e-87
1.1719457412890783e-05,1.931777398141201e-87
1.172151805358541e-05,1.93177739812424e-87
1.1723579056603986e-05,1.9317773981072765e-87
1.1725640422010216e-05,1.9317773980903099e-87
1.1727702149867825e-05,1.93177739807334e-87
1.1729764240240532e-05,1.9317773980563674e-87
1.1731826693192089e-05,1.9317773980393918e-87
1.173388950878624e-05,1.931777398022413e-87
1.1735952687086755e-05,1.9317773980054317e-87
1.1738016228157407e-05,1.9317773979884471e-87
1.174008013206198e-05,1.9317773979714595e-87
1.1742144398864272e-05,1.931777397954469e-87
1.1744209028628096e-05,1.9317773979374755e-87
1.1746274021417267e-05,1.9317773979204787e-87
1.1748339377295616e-05,1.9317773979034792e-87
1.1750405096326988e-05,1.9317773978864768e-87
1.1752471178575235e-05,1.9317773978694713e-87
1.1754537624104223e-05,1.9317773978524629e-87
1.1756604432977824e-05,1.9317773978354514e-87
1.1758671605259932e-05,1.9317773978184371e-87
1.1760739141014437e-05,1.9317773978014196e-87
1.1762807040305254e-05,1.931777397784399e-87
1.1764875303196305e-05,1.9317773977673757e-87
1.1766943929751517e-05,1.9317773977503492e-87
1.1769012920034836e-05,1.9317773977333196e-87
1.1771082274110218e-05,1.9317773977162873e-87
1.1773151992041629e-05,1.931777397699252e-87
1.1775222073893044e-05,1.9317773976822136e-87
1.1777292519728452e-05,1.931777397665172e-87
1.177936332961185e-05,1.9317773976481278e-87
1.1781434503607254e-05,1.93177739763108e-87
1.1783506041778683e-05,1.9317773976140297e-87
1.178557794419017e-05,1.9317773975969762e-87
1.1787650210905758e-05,1.93177739757992e-87
1.178972284198951e-05,1.9317773975628607e-87
1.1791795837505486e-05,1.9317773975457983e-87
1.1793869197517767e-05,1.931777397528733e-87
1.179594292209044e-05,1.9317773975116645e-87
1.1798017011287611e-05,1.9317773974945929e-87
1.180009146517339e-05,1.9317773974775186e-87
1.1802166283811898e-05,1.9317773974604412e-87
1.180424146726727e-05,1.931777397443361e-87
1.1806317015603657e-05,1.9317773974262775e-87
1.1808392928885212e-05,1.931777397409191e-87
1.1810469207176105e-05,1.9317773973921015e-87
1.1812545850540515e-05,1.9317773973750091e-87
1.1814622859042633e-05,1.9317773973579137e-87
1.1816700232746663e-05,1.9317773973408153e-87
1.1818777971716817e-05,1.931777397323714e-87
1.182085607601732e-05,1.9317773973066094e-87
1.182293454571241e-05,1.9317773972895019e-87
1.1825013380866334e-05,1.9317773972723914e-87
1.182709258154335e-05,1.931777397255278e-87
1.1829172147807727e-05,1.9317773972381614e-87
1.183125207972375e-05,1.931777397221042e-87
1.183333237735571e-05,1.9317773972039193e-87
1.1835413040767908e-05,1.9317773971867942e-87
1.1837494070024666e-05,1.9317773971696654e-87
1.1839575465190307e-05,1.931777397152534e-87
1.1841657226329168e-05,1.9317773971353995e-87
1.18437393535056e-05,1.9317773971182618e-87
1.1845821846783964e-05,1.9317773971011212e-87
1.184790470622863e-05,1.9317773970839778e-87
1.1849987931903983e-05,1.9317773970668312e-87
1.1852071523874415e-05,1.9317773970496815e-87
1.1854155482204337e-05,1.9317773970325288e-87
1.185623980695816e-05,1.9317773970153733e-87
1.185832449820032e-05,1.9317773969982144e-87
1.186040955599525e-05,1.9317773969810529e-87
1.1862494980407405e-05,1.9317773969638882e-87
1.1864580771501242e-05,1.9317773969467204e-87
1.1866666929341244e-05,1.9317773969295497e-87
1.1868753453991893e-05,1.931777396912376e-87
1.1870840345517681e-05,1.9317773968951991e-87
1.187292760398312e-05,1.9317773968780195e-87
1.187501522945273e-05,1.9317773968608367e-87
1.1877103221991039e-05,1.9317773968436508e-87
1.1879191581662589e-05,1.931777396826462e-87
1.1881280308531934e-05,1.93177739680927e-87
1.188336940266364e-05,1.931777396792075e-87
1.1885458864122283e-05,1.9317773967748771e-87
1.1887548692972447e-05,1.9317773967576763e-87
1.1889638889278737e-05,1.931777396740472e-87
1.1891729453105753e-05,1.9317773967232652e-87
1.1893820384518129e-05,1.9317773967060552e-87
1.1895911683580489e-05,1.9317773966888421e-87
1.1898003350357477e-05,1.9317773966716259e-87
1.1900095384913753e-05,1.931777396654407e-87
1.190218778731398e-05,1.9317773966371847e-87
1.1904280557622842e-05,1.9317773966199597e-87
1.1906373695905023e-05,1.9317773966027314e-87
1.1908467202225226e-05,1.9317773965855002e-87
1.1910561076648163e-05,1.9317773965682659e-87
1.1912655319238558e-05,1.9317773965510286e-87
1.1914749930061148e-05,1.9317773965337883e-87
1.1916844909180674e-05,1.9317773965165448e-87
1.1918940256661901e-05,1.9317773964992986e-87
1.1921035972569594e-05,1.9317773964820494e-87
1.1923132056968534e-05,1.931777396464797e-87
1.1925228509923516e-05,1.9317773964475414e-87
1.1927325331499338e-05,1.931777396430283e-87
1.1929422521760818e-05,1.9317773964130212e-87
1.1931520080772786e-05,1.9317773963957567e-87
1.1933618008600073e-05,1.9317773963784891e-87
1.193571630530753e-05,1.9317773963612186e-87
1.1937814970960021e-05,1.931777396343945e-87
1.1939914005622416e-05,1.931777396326668e-87
1.1942013409359598e-05,1.9317773963093882e-87
1.1944113182236459e-05,1.9317773962921056e-87
1.1946213324317909e-05,1.9317773962748195e-87
1.1948313835668861e-05,1.931777396257531e-87
1.1950414716354249e-05,1.931777396240239e-87
1.1952515966439013e-05,1.9317773962229442e-87
1.1954617585988102e-05,1.9317773962056458e-87
1.1956719575066477e-05,1.931777396188345e-87
1.195882193373912e-05,1.9317773961710407e-87
1.1960924662071011e-05,1.9317773961537338e-87
1.196302776012715e-05,1.9317773961364236e-87
1.1965131227972544e-05,1.9317773961191105e-87
1.1967235065672215e-05,1.931777396101794e-87
1.1969339273291195e-05,1.9317773960844746e-87
1.1971443850894526e-05,1.9317773960671525e-87
1.1973548798547261e-05,1.931777396049827e-87
1.197565411631447e-05,1.9317773960324988e-87
1.197775980426123e-05,1.9317773960151671e-87
1.1979865862452626e-05,1.9317773959978326e-87
1.1981972290953762e-05,1.931777395980495e-87
1.1984079089829748e-05,1.9317773959631543e-87
1.198618625914571e-05,1.9317773959458106e-87
1.198829379896678e-05,1.931777395928464e-87
1.1990401709358103e-05,1.9317773959111142e-87
1.199250999038484e-05,1.9317773958937616e-87
1.1994618642112156e-05,1.9317773958764056e-87
1.1996727664605237e-05,1.9317773958590467e-87
1.1998837057929273e-05,1.9317773958416844e-87
1.2000946822149464e-05,1.9317773958243197e-87
1.2003056957331031e-05,1.9317773958069514e-87
1.2005167463539195e-05,1.9317773957895803e-87
1.2007278340839195e-05,1.9317773957722062e-87
1.2009389589296282e-05,1.9317773957548288e-87
1.2011501208975716e-05,1.9317773957374487e-87
1.2013613199942771e-05,1.9317773957200652e-87
1.2015725562262726e-05,1.9317773957026788e-87
1.2017838296000882e-05,1.9317773956852896e-87
1.2019951401222542e-05,1.931777395667897e-87
1.2022064877993026e-05,1.9317773956505013e-87
1.2024178726377662e-05,1.9317773956331028e-87
1.2026292946441793e-05,1.9317773956157009e-87
1.202840753825077e-05,1.931777395598296e-87
1.2030522501869958e-05,1.9317773955808884e-87
1.2032637837364735e-05,1.9317773955634775e-87
1.2034753544800484e-05,1.9317773955460632e-87
1.2036869624242604e-05,1.9317773955286465e-87
1.203898607575651e-05,1.9317773955112262e-87
1.204110289940762e-05,1.931777395493803e-87
