    time    temp    dens
   1.58261923145467E+00   4.19694372390411E-01   9.96748590257245E+01
     nin     zin       y       x
  1    0     4.91712542852659E-08   4.91712542852659E-08
  0    1     3.53138980917249E-13   3.53138980917249E-13
  1    1     1.02263427511795E-13   2.04526855023590E-13
  2    1     6.94396373006321E-09   2.08318911901896E-08
  1    2     6.35572751641766E-19   1.90671825492530E-18
  2    2     2.87002224455136E-04   1.14800889782055E-03
  4    2     6.86421077716770E-08   4.11852646630062E-07
  3    3     6.01087320894199E-11   3.60652392536519E-10
  4    3     2.01965760739094E-09   1.41376032517366E-08
  5    3     1.73334383571554E-12   1.38667506857243E-11
  6    3     7.05464101752256E-07   6.34917691577030E-06
  3    4     1.76424283300386E-19   1.23496998310270E-18
  5    4     5.44743343296711E-07   4.90269008967040E-06
  6    4     7.83041311854024E-07   7.83041311854024E-06
  7    4     1.88093922353699E-15   2.06903314589069E-14
  8    4     3.76444320520601E-15   4.51733184624721E-14
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     1.17232948418675E-15   1.17232948418675E-14
  6    5     1.35858176103132E-08   1.49443993713445E-07
  7    5     2.23750181769460E-11   2.68500218123352E-10
  8    5     1.40174355358386E-12   1.82226661965902E-11
  9    5     3.91536114648538E-18   5.48150560507953E-17
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     3.72942368969871E-07   4.47530842763845E-06
  7    6     1.81191603884722E-08   2.35549085050138E-07
  8    6     1.07977215541514E-08   1.51168101758120E-07
  9    6     1.91166643337431E-10   2.86749965006147E-09
 10    6     4.56734038894292E-06   7.30774462230867E-05
 11    6     1.19270272528751E-11   2.02759463298877E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.20267419151016E-19   1.56347644896321E-18
  7    7     6.96260411676255E-12   9.74764576346757E-11
  8    7     2.28935918096997E-06   3.43403877145495E-05
  9    7     8.07013608317130E-08   1.29122177330741E-06
 10    7     3.48560386045372E-08   5.92552656277132E-07
 11    7     1.26873071814255E-08   2.28371529265659E-07
 12    7     1.60338732725643E-09   3.04643592178721E-08
 13    7     1.58937396676090E-07   3.17874793352179E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.90248526276203E-24   2.85372789414304E-23
  8    8     5.02282911127406E-09   8.03652657803850E-08
  9    8     2.51059919167993E-10   4.26801862585588E-09
 10    8     7.40614468203379E-09   1.33310604276608E-07
 11    8     4.21375721870554E-07   8.00613871554053E-06
 12    8     9.43205076310488E-07   1.88641015262098E-05
 13    8     2.22974440711517E-07   4.68246325494186E-06
 14    8     7.66953474111253E-06   1.68729764304476E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     3.08114085606276E-24   5.23793945530668E-23
  9    9     1.59965642013208E-21   2.87938155623774E-20
 10    9     1.67861601565633E-09   3.18937042974702E-08
 11    9     9.55727702908774E-09   1.91145540581755E-07
 12    9     2.72640935063500E-08   5.72545963633351E-07
 13    9     1.11322535567895E-06   2.44909578249370E-05
 14    9     2.47372353634265E-09   5.68956413358809E-08
 15    9     1.58336671096314E-09   3.80008010631155E-08
 16    9     1.65882624989952E-09   4.14706562474880E-08
 17    9     4.48790706797909E-14   1.16685583767456E-12
  7   10     1.00000000000000E-99   1.00000000000000E-99
  8   10     1.00000000000000E-99   1.00000000000000E-99
  9   10     1.00000000000000E-99   1.00000000000000E-99
 10   10     8.93377807617599E-11   1.78675561523520E-09
 11   10     7.43509886687621E-10   1.56137076204400E-08
 12   10     4.22111308045057E-08   9.28644877699126E-07
 13   10     1.77250157174319E-09   4.07675361500934E-08
 14   10     1.78798564209894E-08   4.29116554103745E-07
 15   10     4.17690383591315E-08   1.04422595897829E-06
 16   10     1.12190835182836E-09   2.91696171475374E-08
 17   10     1.51305302397620E-13   4.08524316473573E-12
 18   10     4.41045550831095E-16   1.23492754232707E-14
 19   10     4.23413390111217E-19   1.22789883132253E-17
 20   10     3.18867225947103E-22   9.56601677841310E-21
 21   10     1.00000000000000E-99   1.00000000000000E-99
 22   10     1.00000000000000E-99   1.00000000000000E-99
 23   10     1.00000000000000E-99   1.00000000000000E-99
 24   10     1.00000000000000E-99   1.00000000000000E-99
 25   10     1.00000000000000E-99   1.00000000000000E-99
 26   10     1.00000000000000E-99   1.00000000000000E-99
 27   10     1.00000000000000E-99   1.00000000000000E-99
 28   10     1.00000000000000E-99   1.00000000000000E-99
 29   10     1.00000000000000E-99   1.00000000000000E-99
 30   10     1.00000000000000E-99   1.00000000000000E-99
 31   10     1.00000000000000E-99   1.00000000000000E-99
  8   11     1.00000000000000E-99   1.00000000000000E-99
  9   11     1.00000000000000E-99   1.00000000000000E-99
 10   11     1.00000000000000E-99   1.00000000000000E-99
 11   11     6.37341362372195E-22   1.40215099721883E-20
 12   11     5.21275685193560E-12   1.19893407594519E-10
 13   11     1.29333468355160E-11   3.10400324052385E-10
 14   11     1.43061463505022E-08   3.57653658762555E-07
 15   11     4.53785735741263E-09   1.17984291292728E-07
 16   11     2.36249523329963E-09   6.37873712990900E-08
 17   11     6.34855310038092E-12   1.77759486810666E-10
 18   11     3.20019704489505E-12   9.28057143019565E-11
 19   11     4.48181274200103E-13   1.34454382260031E-11
 20   11     3.09926505766308E-15   9.60772167875555E-14
 21   11     4.75410837978134E-18   1.52131468153003E-16
 22   11     1.52888901166975E-22   5.04533373851017E-21
 23   11     1.00000000000000E-99   1.00000000000000E-99
 24   11     1.00000000000000E-99   1.00000000000000E-99
 25   11     1.00000000000000E-99   1.00000000000000E-99
 26   11     1.00000000000000E-99   1.00000000000000E-99
 27   11     1.00000000000000E-99   1.00000000000000E-99
 28   11     1.00000000000000E-99   1.00000000000000E-99
 29   11     1.00000000000000E-99   1.00000000000000E-99
 30   11     1.00000000000000E-99   1.00000000000000E-99
 31   11     1.00000000000000E-99   1.00000000000000E-99
 32   11     1.00000000000000E-99   1.00000000000000E-99
 33   11     1.00000000000000E-99   1.00000000000000E-99
  8   12     1.00000000000000E-99   1.00000000000000E-99
  9   12     1.00000000000000E-99   1.00000000000000E-99
 10   12     1.00000000000000E-99   1.00000000000000E-99
 11   12     1.00000000000000E-99   1.00000000000000E-99
 12   12     1.66832943485288E-17   4.00399064364691E-16
 13   12     1.46887939348328E-11   3.67219848370819E-10
 14   12     6.74009348746273E-10   1.75242430674031E-08
 15   12     1.21375592415678E-09   3.27714099522330E-08
 16   12     1.67253372491159E-09   4.68309442975244E-08
 17   12     7.09408725535090E-10   2.05728530405176E-08
 18   12     1.28753429718047E-09   3.86260289154141E-08
 19   12     3.48796333426769E-10   1.08126863362298E-08
 20   12     5.42521127026476E-10   1.73606760648472E-08
 21   12     1.06637795043665E-10   3.51904723644093E-09
 22   12     2.36957274624401E-13   8.05654733722962E-12
 23   12     1.00000000000000E-99   1.00000000000000E-99
 24   12     1.00000000000000E-99   1.00000000000000E-99
 25   12     1.00000000000000E-99   1.00000000000000E-99
 26   12     1.00000000000000E-99   1.00000000000000E-99
 27   12     1.00000000000000E-99   1.00000000000000E-99
 28   12     1.00000000000000E-99   1.00000000000000E-99
 29   12     1.00000000000000E-99   1.00000000000000E-99
 30   12     1.00000000000000E-99   1.00000000000000E-99
 31   12     1.00000000000000E-99   1.00000000000000E-99
 32   12     1.00000000000000E-99   1.00000000000000E-99
 33   12     1.00000000000000E-99   1.00000000000000E-99
 34   12     1.00000000000000E-99   1.00000000000000E-99
 35   12     1.00000000000000E-99   1.00000000000000E-99
  8   13     1.00000000000000E-99   1.00000000000000E-99
  9   13     1.00000000000000E-99   1.00000000000000E-99
 10   13     1.00000000000000E-99   1.00000000000000E-99
 11   13     1.00000000000000E-99   1.00000000000000E-99
 12   13     1.00000000000000E-99   1.00000000000000E-99
 13   13     1.21323100945712E-23   3.15440062458852E-22
 14   13     1.57768583214880E-13   4.25975174680176E-12
 15   13     4.48586896645333E-14   1.25604331060693E-12
 16   13     1.00033910259525E-10   2.90098339752623E-09
 17   13     7.61792919564648E-10   2.28537875869394E-08
 18   13     1.48882588181872E-09   4.61536023363804E-08
 19   13     3.11831953175335E-10   9.97862250161073E-09
 20   13     1.43120947263904E-10   4.72299125970884E-09
 21   13     1.14592234006214E-11   3.89613595621127E-10
 22   13     1.90836452200358E-11   6.67927582701252E-10
 23   13     3.70576971988070E-11   1.33407709915705E-09
 24   13     1.12669138020714E-13   4.16875810676640E-12
 25   13     1.11882126056060E-18   4.25152079013028E-17
 26   13     2.27174729952117E-21   8.85981446813257E-20
 27   13     1.00000000000000E-99   1.00000000000000E-99
 28   13     1.00000000000000E-99   1.00000000000000E-99
 29   13     1.00000000000000E-99   1.00000000000000E-99
 30   13     1.00000000000000E-99   1.00000000000000E-99
 31   13     1.00000000000000E-99   1.00000000000000E-99
 32   13     1.00000000000000E-99   1.00000000000000E-99
 33   13     1.00000000000000E-99   1.00000000000000E-99
 34   13     1.00000000000000E-99   1.00000000000000E-99
 35   13     1.00000000000000E-99   1.00000000000000E-99
 36   13     1.00000000000000E-99   1.00000000000000E-99
 37   13     1.00000000000000E-99   1.00000000000000E-99
 38   13     1.00000000000000E-99   1.00000000000000E-99
  8   14     1.00000000000000E-99   1.00000000000000E-99
  9   14     1.00000000000000E-99   1.00000000000000E-99
 10   14     1.00000000000000E-99   1.00000000000000E-99
 11   14     1.00000000000000E-99   1.00000000000000E-99
 12   14     1.00000000000000E-99   1.00000000000000E-99
 13   14     1.00000000000000E-99   1.00000000000000E-99
 14   14     2.39958536128606E-17   6.71883901160097E-16
 15   14     1.63483430936207E-14   4.74101949715000E-13
 16   14     2.33550121771853E-11   7.00650365315559E-10
 17   14     3.14464087347976E-10   9.74838670778725E-09
 18   14     7.70107289254191E-09   2.46434332561341E-07
 19   14     9.88542889673619E-09   3.26219153592294E-07
 20   14     2.19656213350879E-08   7.46831125392987E-07
 21   14     1.06439485836878E-08   3.72538200429073E-07
 22   14     4.30337743375963E-09   1.54921587615347E-07
 23   14     2.67765256248491E-10   9.90731448119415E-09
 24   14     9.22417448881332E-09   3.50518630574906E-07
 25   14     8.92642702428622E-12   3.48130653947163E-10
 26   14     2.39485296715322E-13   9.57941186861287E-12
 27   14     1.18550480449611E-15   4.86056969843406E-14
 28   14     6.21781427399406E-18   2.61148199507750E-16
 29   14     1.00000000000000E-99   1.00000000000000E-99
 30   14     1.00000000000000E-99   1.00000000000000E-99
 31   14     1.00000000000000E-99   1.00000000000000E-99
 32   14     1.00000000000000E-99   1.00000000000000E-99
 33   14     1.00000000000000E-99   1.00000000000000E-99
 34   14     1.00000000000000E-99   1.00000000000000E-99
 35   14     1.00000000000000E-99   1.00000000000000E-99
 36   14     1.00000000000000E-99   1.00000000000000E-99
 37   14     1.00000000000000E-99   1.00000000000000E-99
 38   14     1.00000000000000E-99   1.00000000000000E-99
 39   14     1.00000000000000E-99   1.00000000000000E-99
 40   14     1.00000000000000E-99   1.00000000000000E-99
  8   15     1.00000000000000E-99   1.00000000000000E-99
  9   15     1.00000000000000E-99   1.00000000000000E-99
 10   15     1.00000000000000E-99   1.00000000000000E-99
 11   15     1.00000000000000E-99   1.00000000000000E-99
 12   15     1.00000000000000E-99   1.00000000000000E-99
 13   15     1.00000000000000E-99   1.00000000000000E-99
 14   15     1.00000000000000E-99   1.00000000000000E-99
 15   15     1.00000000000000E-99   1.00000000000000E-99
 16   15     2.80207343765271E-15   8.68642765672339E-14
 17   15     2.29925228133953E-16   7.35760730028649E-15
 18   15     2.06192620043344E-10   6.80435646143035E-09
 19   15     9.78970380670062E-10   3.32849929427821E-08
 20   15     4.91152092003753E-09   1.71903232201313E-07
 21   15     1.94196737673005E-09   6.99108255622818E-08
 22   15     1.28970111701590E-08   4.77189413295882E-07
 23   15     1.10929116511205E-09   4.21530642742581E-08
 24   15     1.27951670738049E-09   4.99011515878389E-08
 25   15     2.86669574435322E-10   1.14667829774129E-08
 26   15     6.50551266852422E-10   2.66726019409493E-08
 27   15     1.20464598427453E-11   5.05951313395304E-10
 28   15     3.25175800648504E-11   1.39825594278857E-09
 29   15     1.00000000000000E-99   1.00000000000000E-99
 30   15     1.00000000000000E-99   1.00000000000000E-99
 31   15     1.00000000000000E-99   1.00000000000000E-99
 32   15     1.00000000000000E-99   1.00000000000000E-99
 33   15     1.00000000000000E-99   1.00000000000000E-99
 34   15     1.00000000000000E-99   1.00000000000000E-99
 35   15     1.00000000000000E-99   1.00000000000000E-99
 36   15     1.00000000000000E-99   1.00000000000000E-99
 37   15     1.00000000000000E-99   1.00000000000000E-99
 38   15     1.00000000000000E-99   1.00000000000000E-99
 39   15     1.00000000000000E-99   1.00000000000000E-99
 40   15     1.00000000000000E-99   1.00000000000000E-99
 41   15     1.00000000000000E-99   1.00000000000000E-99
 42   15     1.00000000000000E-99   1.00000000000000E-99
  8   16     1.00000000000000E-99   1.00000000000000E-99
  9   16     1.00000000000000E-99   1.00000000000000E-99
 10   16     1.00000000000000E-99   1.00000000000000E-99
 11   16     1.00000000000000E-99   1.00000000000000E-99
 12   16     1.00000000000000E-99   1.00000000000000E-99
 13   16     1.00000000000000E-99   1.00000000000000E-99
 14   16     1.00000000000000E-99   1.00000000000000E-99
 15   16     1.00000000000000E-99   1.00000000000000E-99
 16   16     9.31476217468683E-24   2.98072389589979E-22
 17   16     5.84478135480121E-19   1.92877784708440E-17
 18   16     8.42448983746568E-12   2.86432654473833E-10
 19   16     7.99413540234982E-12   2.79794739082244E-10
 20   16     5.33494281137301E-11   1.92057941209428E-09
 21   16     8.07551605525626E-10   2.98794094044482E-08
 22   16     7.91341234519160E-10   3.00709669117281E-08
 23   16     8.57567694793136E-10   3.34451400969323E-08
 24   16     4.02423162684432E-09   1.60969265073773E-07
 25   16     5.94608010495136E-09   2.43789284303006E-07
 26   16     7.86058536334203E-08   3.30144585260365E-06
 27   16     1.15511158125182E-08   4.96697979938284E-07
 28   16     1.10452287586063E-09   4.85990065378676E-08
 29   16     1.56297169532761E-11   7.03337262897424E-10
 30   16     2.18950207317717E-10   1.00717095366150E-08
 31   16     2.88777778827749E-18   1.35725556049042E-16
 32   16     3.80675722735760E-21   1.82724346913165E-19
 33   16     1.00000000000000E-99   1.00000000000000E-99
 34   16     1.00000000000000E-99   1.00000000000000E-99
 35   16     1.00000000000000E-99   1.00000000000000E-99
 36   16     1.00000000000000E-99   1.00000000000000E-99
 37   16     1.00000000000000E-99   1.00000000000000E-99
 38   16     1.00000000000000E-99   1.00000000000000E-99
