    time    temp    dens
   1.52974150705759E+00   4.33598296120039E-01   1.10372478324852E+02
     nin     zin       y       x
  1    0     5.82663771145488E-08   5.82663771145488E-08
  0    1     3.62044041387911E-13   3.62044041387911E-13
  1    1     1.20031927549181E-13   2.40063855098361E-13
  2    1     6.39037506384056E-09   1.91711251915217E-08
  1    2     4.74641423976276E-19   1.42392427192883E-18
  2    2     2.87019385214622E-04   1.14807754085849E-03
  4    2     7.18515671914382E-08   4.31109403148629E-07
  3    3     4.69157282634093E-11   2.81494369580456E-10
  4    3     1.92606038766405E-09   1.34824227136483E-08
  5    3     1.43657171881258E-12   1.14925737505007E-11
  6    3     7.80465742558616E-07   7.02419168302755E-06
  3    4     1.56217679557603E-19   1.09352375690322E-18
  5    4     4.91880505427224E-07   4.42692454884502E-06
  6    4     7.82796456882632E-07   7.82796456882632E-06
  7    4     1.50234551418498E-15   1.65258006560348E-14
  8    4     1.91067694444914E-14   2.29281233333897E-13
  3    5     1.00000000000000E-99   1.00000000000000E-99
  5    5     9.59809149168656E-16   9.59809149168656E-15
  6    5     1.22910200828813E-08   1.35201220911694E-07
  7    5     3.14311181091464E-11   3.77173417309756E-10
  8    5     2.23835227053949E-12   2.90985795170133E-11
  9    5     8.90101312876648E-18   1.24614183802731E-16
  3    6     1.00000000000000E-99   1.00000000000000E-99
  4    6     1.00000000000000E-99   1.00000000000000E-99
  5    6     1.00000000000000E-99   1.00000000000000E-99
  6    6     3.52502463843724E-07   4.23002956612469E-06
  7    6     1.78330779959345E-08   2.31830013947149E-07
  8    6     1.06518258365134E-08   1.49125561711188E-07
  9    6     1.89316047840650E-10   2.83974071760974E-09
 10    6     4.79669483097261E-06   7.67471172955617E-05
 11    6     8.31923031045530E-12   1.41426915277740E-10
 12    6     1.00000000000000E-99   1.00000000000000E-99
  4    7     1.00000000000000E-99   1.00000000000000E-99
  5    7     1.00000000000000E-99   1.00000000000000E-99
  6    7     1.27831375085082E-19   1.66180787610606E-18
  7    7     6.72585736556809E-12   9.41620031179533E-11
  8    7     2.06296594876426E-06   3.09444892314639E-05
  9    7     7.81621047868889E-08   1.25059367659022E-06
 10    7     3.51528663723672E-08   5.97598728330243E-07
 11    7     1.34577937387349E-08   2.42240287297228E-07
 12    7     1.78734952083240E-09   3.39596408958156E-08
 13    7     2.07657734602246E-07   4.15315469204491E-06
 14    7     1.00000000000000E-99   1.00000000000000E-99
  5    8     1.00000000000000E-99   1.00000000000000E-99
  6    8     1.00000000000000E-99   1.00000000000000E-99
  7    8     1.89911147097789E-24   2.84866720646683E-23
  8    8     4.33083268086240E-09   6.92933228937983E-08
  9    8     2.03535763913694E-10   3.46010798653280E-09
 10    8     6.70960310999076E-09   1.20772855979834E-07
 11    8     4.04183891373829E-07   7.67949393610276E-06
 12    8     9.14797863970736E-07   1.82959572794147E-05
 13    8     2.25233541837919E-07   4.72990437859630E-06
 14    8     7.79543215069694E-06   1.71499507315333E-04
  5    9     1.00000000000000E-99   1.00000000000000E-99
  6    9     1.00000000000000E-99   1.00000000000000E-99
  7    9     1.00000000000000E-99   1.00000000000000E-99
  8    9     2.84677262976663E-24   4.83951347060327E-23
