time_days,Nuclei:Cf253 top 14
1.1574074074074073e-05,1.0520256297963936e-89
1.1576109151910821e-05,1.0520256297024274e-89
1.157814458757678e-05,1.0520256296084446e-89
1.158018038113487e-05,1.0520256295144455e-89
1.1582216532648015e-05,1.0520256294204296e-89
1.1584253042179158e-05,1.0520256293263976e-89
1.1586289909791249e-05,1.0520256292323488e-89
1.1588327135547246e-05,1.0520256291382834e-89
1.1590364719510128e-05,1.0520256290442016e-89
1.1592402661742875e-05,1.0520256289501033e-89
1.1594440962308483e-05,1.052025628855988e-89
1.1596479621269957e-05,1.0520256287618566e-89
1.1598518638690315e-05,1.0520256286677085e-89
1.1600558014632583e-05,1.0520256285735441e-89
1.1602597749159803e-05,1.052025628479363e-89
1.1604637842335022e-05,1.0520256283851652e-89
1.1606678294221306e-05,1.0520256282909509e-89
1.1608719104881723e-05,1.05202562819672e-89
1.1610760274379357e-05,1.0520256281024725e-89
1.1612801802777306e-05,1.0520256280082083e-89
1.1614843690138673e-05,1.052025627913928e-89
1.1616885936526574e-05,1.0520256278196308e-89
1.1618928542004138e-05,1.052025627725317e-89
1.1620971506634507e-05,1.0520256276309867e-89
1.1623014830480826e-05,1.05202562753664e-89
1.162505851360626e-05,1.0520256274422764e-89
1.1627102556073979e-05,1.0520256273478964e-89
1.1629146957947168e-05,1.0520256272534997e-89
1.163119171928902e-05,1.0520256271590864e-89
1.1633236840162742e-05,1.0520256270646567e-89
1.1635282320631548e-05,1.05202562697021e-89
1.163732816075867e-05,1.052025626875747e-89
1.1639374360607345e-05,1.0520256267812674e-89
1.1641420920240822e-05,1.052025626686771e-89
1.1643467839722364e-05,1.052025626592258e-89
1.1645515119115243e-05,1.0520256264977286e-89
1.1647562758482743e-05,1.0520256264031824e-89
1.1649610757888157e-05,1.0520256263086198e-89
1.1651659117394789e-05,1.05202562621404e-89
1.1653707837065959e-05,1.0520256261194442e-89
1.1655756916964996e-05,1.0520256260248313e-89
1.1657806357155237e-05,1.0520256259302021e-89
1.1659856157700035e-05,1.0520256258355561e-89
1.1661906318662747e-05,1.0520256257408936e-89
1.1663956840106745e-05,1.0520256256462145e-89
1.1666007722095419e-05,1.0520256255515185e-89
1.1668058964692159e-05,1.052025625456806e-89
1.1670110567960373e-05,1.0520256253620769e-89
1.1672162531963473e-05,1.0520256252673313e-89
1.1674214856764896e-05,1.0520256251725687e-89
1.1676267542428077e-05,1.0520256250777895e-89
1.1678320589016465e-05,1.0520256249829937e-89
1.1680373996593523e-05,1.0520256248881808e-89
