time_days,Nuclei:Tm171 top 19
1.1574074074074073e-05,4.190837879395889e-92
1.1576109151910821e-05,4.190837879345063e-92
1.157814458757678e-05,4.1908378792942307e-92
1.158018038113487e-05,4.190837879243387e-92
1.1582216532648015e-05,4.1908378791925356e-92
1.1584253042179158e-05,4.190837879141676e-92
1.1586289909791249e-05,4.1908378790908065e-92
1.1588327135547246e-05,4.1908378790399276e-92
1.1590364719510128e-05,4.19083787898904e-92
1.1592402661742875e-05,4.190837878938144e-92
1.1594440962308483e-05,4.190837878887238e-92
1.1596479621269957e-05,4.1908378788363235e-92
1.1598518638690315e-05,4.1908378787854004e-92
1.1600558014632583e-05,4.1908378787344684e-92
1.1602597749159803e-05,4.1908378786835275e-92
1.1604637842335022e-05,4.190837878632578e-92
1.1606678294221306e-05,4.190837878581619e-92
1.1608719104881723e-05,4.1908378785306504e-92
1.1610760274379357e-05,4.190837878479673e-92
1.1612801802777306e-05,4.190837878428687e-92
1.1614843690138673e-05,4.190837878377692e-92
1.1616885936526574e-05,4.1908378783266886e-92
1.1618928542004138e-05,4.190837878275675e-92
1.1620971506634507e-05,4.190837878224654e-92
1.1623014830480826e-05,4.1908378781736235e-92
1.162505851360626e-05,4.190837878122583e-92
1.1627102556073979e-05,4.190837878071535e-92
1.1629146957947168e-05,4.1908378780204766e-92
1.163119171928902e-05,4.1908378779694104e-92
1.1633236840162742e-05,4.190837877918334e-92
1.1635282320631548e-05,4.190837877867249e-92
1.163732816075867e-05,4.190837877816155e-92
1.1639374360607345e-05,4.190837877765054e-92
1.1641420920240822e-05,4.190837877713942e-92
1.1643467839722364e-05,4.190837877662821e-92
1.1645515119115243e-05,4.190837877611692e-92
1.1647562758482743e-05,4.190837877560553e-92
1.1649610757888157e-05,4.1908378775094056e-92
1.1651659117394789e-05,4.19083787745825e-92
1.1653707837065959e-05,4.190837877407083e-92
1.1655756916964996e-05,4.1908378773559085e-92
1.1657806357155237e-05,4.190837877304725e-92
