time_days,Nuclei:Cf252 top 15
1.1574074074074073e-05,1.9761186673782891e-91
1.1576109151910821e-05,1.9761186673554128e-91
1.157814458757678e-05,1.9761186673325332e-91
1.158018038113487e-05,1.9761186673096486e-91
1.1582216532648015e-05,1.9761186672867603e-91
1.1584253042179158e-05,1.9761186672638687e-91
1.1586289909791249e-05,1.9761186672409727e-91
1.1588327135547246e-05,1.9761186672180724e-91
1.1590364719510128e-05,1.9761186671951683e-91
1.1592402661742875e-05,1.97611866717226e-91
1.1594440962308483e-05,1.9761186671493477e-91
1.1596479621269957e-05,1.976118667126431e-91
1.1598518638690315e-05,1.976118667103511e-91
1.1600558014632583e-05,1.9761186670805868e-91
1.1602597749159803e-05,1.976118667057658e-91
1.1604637842335022e-05,1.9761186670347261e-91
1.1606678294221306e-05,1.9761186670117896e-91
1.1608719104881723e-05,1.9761186669888492e-91
1.1610760274379357e-05,1.9761186669659044e-91
1.1612801802777306e-05,1.9761186669429556e-91
1.1614843690138673e-05,1.9761186669200032e-91
1.1616885936526574e-05,1.9761186668970468e-91
1.1618928542004138e-05,1.9761186668740862e-91
1.1620971506634507e-05,1.9761186668511213e-91
1.1623014830480826e-05,1.9761186668281526e-91
1.162505851360626e-05,1.9761186668051797e-91
1.1627102556073979e-05,1.9761186667822028e-91
1.1629146957947168e-05,1.976118666759222e-91
1.163119171928902e-05,1.976118666736237e-91
1.1633236840162742e-05,1.9761186667132481e-91
1.1635282320631548e-05,1.976118666690255e-91
1.163732816075867e-05,1.976118666667258e-91
1.1639374360607345e-05,1.9761186666442577e-91
1.1641420920240822e-05,1.9761186666212522e-91
1.1643467839722364e-05,1.9761186665982432e-91
1.1645515119115243e-05,1.9761186665752297e-91
1.1647562758482743e-05,1.9761186665522125e-91
1.1649610757888157e-05,1.9761186665291912e-91
1.1651659117394789e-05,1.976118666506166e-91
1.1653707837065959e-05,1.9761186664831363e-91
1.1655756916964996e-05,1.9761186664601032e-91
1.1657806357155237e-05,1.9761186664370658e-91
1.1659856157700035e-05,1.9761186664140238e-91
1.1661906318662747e-05,1.9761186663909785e-91
1.1663956840106745e-05,1.9761186663679288e-91
1.1666007722095419e-05,1.9761186663448753e-91
1.1668058964692159e-05,1.9761186663218172e-91
1.1670110567960373e-05,1.9761186662987556e-91
1.1672162531963473e-05,1.9761186662756898e-91
1.1674214856764896e-05,1.97611866625262e-91
1.1676267542428077e-05,1.976118666229546e-91
1.1678320589016465e-05,1.9761186662064683e-91
1.1680373996593523e-05,1.9761186661833854e-91
1.1682427765222725e-05,1.9761186661602995e-91
1.1684481894967554e-05,1.9761186661372098e-91
1.1686536385891505e-05,1.976118666114115e-91
1.1688591238058084e-05,1.9761186660910173e-91
1.1690646451530811e-05,1.9761186660679142e-91
1.1692702026373212e-05,1.9761186660448087e-91
1.169475796264883e-05,1.9761186660216974e-91
1.1696814260421214e-05,1.9761186659985832e-91
1.1698870919753925e-05,1.976118665975464e-91
1.170092794071054e-05,1.9761186659523416e-91
1.1702985323354636e-05,1.976118665929215e-91
1.1705043067749818e-05,1.9761186659060845e-91
1.170710117395969e-05,1.9761186658829492e-91
1.1709159642047868e-05,1.9761186658598105e-91
1.1711218472077982e-05,1.9761186658366673e-91
1.1713277664113672e-05,1.9761186658135204e-91
1.1715337218218593e-05,1.9761186657903693e-91
1.1717397134456403e-05,1.976118665767214e-91
1.1719457412890783e-05,1.9761186657440547e-91
1.172151805358541e-05,1.9761186657208912e-91
1.1723579056603986e-05,1.976118665697724e-91
1.1725640422010216e-05,1.9761186656745523e-91
1.1727702149867825e-05,1.9761186656513764e-91
1.1729764240240532e-05,1.9761186656281973e-91
1.1731826693192089e-05,1.9761186656050133e-91
1.173388950878624e-05,1.9761186655818247e-91
1.1735952687086755e-05,1.9761186655586336e-91
1.1738016228157407e-05,1.9761186655354373e-91
1.174008013206198e-05,1.9761186655122375e-91
1.1742144398864272e-05,1.976118665489033e-91
1.1744209028628096e-05,1.9761186654658253e-91
1.1746274021417267e-05,1.9761186654426124e-91
1.1748339377295616e-05,1.9761186654193963e-91
1.1750405096326988e-05,1.9761186653961763e-91
1.1752471178575235e-05,1.9761186653729514e-91
1.1754537624104223e-05,1.976118665349723e-91
1.1756604432977824e-05,1.9761186653264902e-91
1.1758671605259932e-05,1.9761186653032533e-91
1.1760739141014437e-05,1.9761186652800126e-91
1.1762807040305254e-05,1.9761186652567673e-91
1.1764875303196305e-05,1.9761186652335184e-91
1.1766943929751517e-05,1.9761186652102654e-91
1.1769012920034836e-05,1.9761186651870078e-91
1.1771082274110218e-05,1.9761186651637473e-91
1.1773151992041629e-05,1.9761186651404812e-91
1.1775222073893044e-05,1.9761186651172116e-91
1.1777292519728452e-05,1.976118665093938e-91
1.177936332961185e-05,1.9761186650706602e-91
1.1781434503607254e-05,1.9761186650473786e-91
1.1783506041778683e-05,1.976118665024093e-91
