time_days,Nuclei:Th231 top 9
1.1574074074074073e-05,1.3277447343922443e-88
1.1576109151910821e-05,1.3277447326174386e-88
1.157814458757678e-05,1.3277447308423203e-88
1.158018038113487e-05,1.3277447290668903e-88
1.1582216532648015e-05,1.3277447272911483e-88
1.1584253042179158e-05,1.327744725515094e-88
1.1586289909791249e-05,1.3277447237387273e-88
1.1588327135547246e-05,1.3277447219620483e-88
1.1590364719510128e-05,1.3277447201850564e-88
1.1592402661742875e-05,1.327744718407753e-88
1.1594440962308483e-05,1.3277447166301365e-88
1.1596479621269957e-05,1.3277447148522077e-88
1.1598518638690315e-05,1.3277447130739662e-88
1.1600558014632583e-05,1.3277447112954117e-88
1.1602597749159803e-05,1.327744709516545e-88
1.1604637842335022e-05,1.327744707737365e-88
1.1606678294221306e-05,1.3277447059578727e-88
1.1608719104881723e-05,1.3277447041780672e-88
1.1610760274379357e-05,1.3277447023979483e-88
1.1612801802777306e-05,1.3277447006175172e-88
1.1614843690138673e-05,1.327744698836773e-88
1.1616885936526574e-05,1.3277446970557154e-88
1.1618928542004138e-05,1.3277446952743444e-88
1.1620971506634507e-05,1.3277446934926606e-88
1.1623014830480826e-05,1.3277446917106638e-88
1.162505851360626e-05,1.327744689928353e-88
1.1627102556073979e-05,1.3277446881457293e-88
1.1629146957947168e-05,1.3277446863627915e-88
1.163119171928902e-05,1.327744684579541e-88
1.1633236840162742e-05,1.3277446827959766e-88
1.1635282320631548e-05,1.3277446810120986e-88
1.163732816075867e-05,1.3277446792279068e-88
1.1639374360607345e-05,1.3277446774434018e-88
1.1641420920240822e-05,1.3277446756585826e-88
1.1643467839722364e-05,1.3277446738734495e-88
1.1645515119115243e-05,1.327744672088003e-88
1.1647562758482743e-05,1.3277446703022423e-88
1.1649610757888157e-05,1.3277446685161674e-88
1.1651659117394789e-05,1.3277446667297786e-88
1.1653707837065959e-05,1.3277446649430755e-88
1.1655756916964996e-05,1.3277446631560586e-88
1.1657806357155237e-05,1.3277446613687277e-88
1.1659856157700035e-05,1.3277446595810817e-88
1.1661906318662747e-05,1.327744657793122e-88
1.1663956840106745e-05,1.3277446560048474e-88
1.1666007722095419e-05,1.327744654216259e-88
1.1668058964692159e-05,1.3277446524273558e-88
1.1670110567960373e-05,1.327744650638138e-88
1.1672162531963473e-05,1.3277446488486062e-88
1.1674214856764896e-05,1.327744647058759e-88
1.1676267542428077e-05,1.3277446452685972e-88
1.1678320589016465e-05,1.3277446434781214e-88
1.1680373996593523e-05,1.3277446416873295e-88
1.1682427765222725e-05,1.3277446398962236e-88
1.1684481894967554e-05,1.3277446381048026e-88
1.1686536385891505e-05,1.3277446363130664e-88
1.1688591238058084e-05,1.3277446345210156e-88
1.1690646451530811e-05,1.3277446327286495e-88
1.1692702026373212e-05,1.3277446309359684e-88
1.169475796264883e-05,1.3277446291429717e-88
1.1696814260421214e-05,1.32774462734966e-88
1.1698870919753925e-05,1.3277446255560328e-88
1.170092794071054e-05,1.3277446237620904e-88
1.1702985323354636e-05,1.3277446219678326e-88
1.1705043067749818e-05,1.3277446201732595e-88
1.170710117395969e-05,1.3277446183783703e-88
1.1709159642047868e-05,1.327744616583166e-88
1.1711218472077982e-05,1.3277446147876458e-88
1.1713277664113672e-05,1.3277446129918103e-88
1.1715337218218593e-05,1.3277446111956584e-88
1.1717397134456403e-05,1.327744609399191e-88
1.1719457412890783e-05,1.3277446076024077e-88
1.172151805358541e-05,1.3277446058053083e-88
1.1723579056603986e-05,1.3277446040078934e-88
1.1725640422010216e-05,1.327744602210162e-88
1.1727702149867825e-05,1.3277446004121145e-88
1.1729764240240532e-05,1.3277445986137514e-88
1.1731826693192089e-05,1.3277445968150713e-88
1.173388950878624e-05,1.3277445950160755e-88
1.1735952687086755e-05,1.327744593216763e-88
1.1738016228157407e-05,1.3277445914171344e-88
1.174008013206198e-05,1.3277445896171896e-88
1.1742144398864272e-05,1.327744587816928e-88
1.1744209028628096e-05,1.3277445860163502e-88
1.1746274021417267e-05,1.3277445842154552e-88
1.1748339377295616e-05,1.3277445824142438e-88
1.1750405096326988e-05,1.327744580612716e-88
1.1752471178575235e-05,1.3277445788108714e-88
1.1754537624104223e-05,1.3277445770087096e-88
1.1756604432977824e-05,1.3277445752062313e-88
1.1758671605259932e-05,1.3277445734034355e-88
1.1760739141014437e-05,1.3277445716003235e-88
1.1762807040305254e-05,1.3277445697968936e-88
1.1764875303196305e-05,1.3277445679931474e-88
1.1766943929751517e-05,1.3277445661890835e-88
1.1769012920034836e-05,1.3277445643847027e-88
1.1771082274110218e-05,1.3277445625800048e-88
1.1773151992041629e-05,1.3277445607749892e-88
1.1775222073893044e-05,1.3277445589696562e-88
1.1777292519728452e-05,1.327744557164006e-88
1.177936332961185e-05,1.3277445553580382e-88
1.1781434503607254e-05,1.327744553551753e-88
1.1783506041778683e-05,1.32774455174515e-88
1.178557794419017e-05,1.3277445499382294e-88
1.1787650210905758e-05,1.3277445481309908e-88
1.178972284198951e-05,1.3277445463234353e-88
1.1791795837505486e-05,1.3277445445155616e-88
1.1793869197517767e-05,1.3277445427073695e-88
1.179594292209044e-05,1.3277445408988595e-88
1.1798017011287611e-05,1.327744539090032e-88
1.180009146517339e-05,1.3277445372808864e-88
1.1802166283811898e-05,1.3277445354714224e-88
1.180424146726727e-05,1.3277445336616408e-88
1.1806317015603657e-05,1.3277445318515406e-88
1.1808392928885212e-05,1.327744530041122e-88
1.1810469207176105e-05,1.3277445282303852e-88
1.1812545850540515e-05,1.3277445264193298e-88
1.1814622859042633e-05,1.3277445246079565e-88
1.1816700232746663e-05,1.3277445227962643e-88
1.1818777971716817e-05,1.327744520984254e-88
1.182085607601732e-05,1.3277445191719244e-88
1.182293454571241e-05,1.3277445173592767e-88
1.1825013380866334e-05,1.3277445155463103e-88
1.182709258154335e-05,1.3277445137330247e-88
1.1829172147807727e-05,1.3277445119194202e-88
1.183125207972375e-05,1.3277445101054972e-88
1.183333237735571e-05,1.3277445082912553e-88
1.1835413040767908e-05,1.3277445064766942e-88
1.1837494070024666e-05,1.327744504661814e-88
1.1839575465190307e-05,1.327744502846615e-88
1.1841657226329168e-05,1.3277445010310965e-88
1.18437393535056e-05,1.327744499215259e-88
1.1845821846783964e-05,1.327744497399102e-88
1.184790470622863e-05,1.3277444955826263e-88
1.1849987931903983e-05,1.3277444937658306e-88
1.1852071523874415e-05,1.3277444919487153e-88
1.1854155482204337e-05,1.3277444901312805e-88
1.185623980695816e-05,1.3277444883135268e-88
1.185832449820032e-05,1.3277444864954527e-88
1.186040955599525e-05,1.3277444846770597e-88
1.1862494980407405e-05,1.3277444828583468e-88
1.1864580771501242e-05,1.327744481039314e-88
1.1866666929341244e-05,1.3277444792199607e-88
1.1868753453991893e-05,1.3277444774002885e-88
1.1870840345517681e-05,1.3277444755802956e-88
1.187292760398312e-05,1.327744473759983e-88
1.187501522945273e-05,1.3277444719393506e-88
1.1877103221991039e-05,1.3277444701183978e-88
1.1879191581662589e-05,1.3277444682971247e-88
1.1881280308531934e-05,1.3277444664755316e-88
1.188336940266364e-05,1.3277444646536183e-88
1.1885458864122283e-05,1.3277444628313847e-88
1.1887548692972447e-05,1.32774446100883e-88
1.1889638889278737e-05,1.3277444591859553e-88
1.1891729453105753e-05,1.32774445736276e-88
1.1893820384518129e-05,1.327744455539244e-88
1.1895911683580489e-05,1.327744453715408e-88
1.1898003350357477e-05,1.327744451891251e-88
1.1900095384913753e-05,1.3277444500667733e-88
1.190218778731398e-05,1.3277444482419747e-88
1.1904280557622842e-05,1.3277444464168552e-88
1.1906373695905023e-05,1.327744444591415e-88
1.1908467202225226e-05,1.327744442765654e-88
1.1910561076648163e-05,1.327744440939571e-88
1.1912655319238558e-05,1.3277444391131677e-88
1.1914749930061148e-05,1.3277444372864433e-88
1.1916844909180674e-05,1.3277444354593978e-88
1.1918940256661901e-05,1.3277444336320302e-88
1.1921035972569594e-05,1.327744431804342e-88
1.1923132056968534e-05,1.3277444299763324e-88
1.1925228509923516e-05,1.3277444281480016e-88
1.1927325331499338e-05,1.3277444263193487e-88
1.1929422521760818e-05,1.327744424490375e-88
1.1931520080772786e-05,1.3277444226610792e-88
1.1933618008600073e-05,1.3277444208314616e-88
1.193571630530753e-05,1.3277444190015226e-88
1.1937814970960021e-05,1.327744417171262e-88
1.1939914005622416e-05,1.327744415340679e-88
1.1942013409359598e-05,1.327744413509775e-88
1.1944113182236459e-05,1.327744411678548e-88
1.1946213324317909e-05,1.327744409847e-88
1.1948313835668861e-05,1.3277444080151295e-88
1.1950414716354249e-05,1.3277444061829366e-88
1.1952515966439013e-05,1.3277444043504223e-88
1.1954617585988102e-05,1.3277444025175856e-88
1.1956719575066477e-05,1.327744400684426e-88
1.195882193373912e-05,1.3277443988509449e-88
1.1960924662071011e-05,1.3277443970171413e-88
1.196302776012715e-05,1.3277443951830143e-88
1.1965131227972544e-05,1.3277443933485662e-88
1.1967235065672215e-05,1.3277443915137946e-88
1.1969339273291195e-05,1.3277443896787007e-88
1.1971443850894526e-05,1.327744387843284e-88
1.1973548798547261e-05,1.327744386007545e-88
1.197565411631447e-05,1.3277443841714827e-88
1.197775980426123e-05,1.3277443823350974e-88
1.1979865862452626e-05,1.3277443804983898e-88
1.1981972290953762e-05,1.327744378661359e-88
1.1984079089829748e-05,1.3277443768240054e-88
1.198618625914571e-05,1.3277443749863283e-88
1.198829379896678e-05,1.3277443731483284e-88
1.1990401709358103e-05,1.3277443713100054e-88
1.199250999038484e-05,1.327744369471359e-88
1.1994618642112156e-05,1.3277443676323896e-88
1.1996727664605237e-05,1.327744365793096e-88
1.1998837057929273e-05,1.32774436395348e-88
1.2000946822149464e-05,1.3277443621135403e-88
1.2003056957331031e-05,1.3277443602732767e-88
1.2005167463539195e-05,1.3277443584326897e-88
1.2007278340839195e-05,1.327744356591779e-88
1.2009389589296282e-05,1.327744354750545e-88
1.2011501208975716e-05,1.327744352908987e-88
1.2013613199942771e-05,1.3277443510671051e-88
1.2015725562262726e-05,1.3277443492248997e-88
1.2017838296000882e-05,1.32774434738237e-88
1.2019951401222542e-05,1.3277443455395163e-88
1.2022064877993026e-05,1.327744343696339e-88
1.2024178726377662e-05,1.3277443418528372e-88
1.2026292946441793e-05,1.3277443400090113e-88
1.202840753825077e-05,1.3277443381648612e-88
1.2030522501869958e-05,1.327744336320387e-88
1.2032637837364735e-05,1.3277443344755886e-88
1.2034753544800484e-05,1.3277443326304657e-88
1.2036869624242604e-05,1.3277443307850185e-88
1.203898607575651e-05,1.3277443289392465e-88
1.204110289940762e-05,1.3277443270931503e-88
1.2043220095261365e-05,1.327744325246729e-88
1.2045337663383193e-05,1.3277443233999836e-88
1.204745560383856e-05,1.3277443215529132e-88
1.2049573916692932e-05,1.3277443197055182e-88
1.2051692602011791e-05,1.3277443178577982e-88
1.2053811659860622e-05,1.327744316009753e-88
1.2055931090304936e-05,1.3277443141613837e-88
1.205805089341024e-05,1.327744312312689e-88
1.206017106924206e-05,1.327744310463669e-88
1.2062291617865934e-05,1.327744308614324e-88
1.2064412539347413e-05,1.3277443067646538e-88
1.2066533833752049e-05,1.327744304914659e-88
1.2068655501145422e-05,1.327744303064338e-88
1.2070777541593109e-05,1.327744301213692e-88
1.2072899955160708e-05,1.3277442993627205e-88
1.2075022741913823e-05,1.3277442975114238e-88
1.2077145901918073e-05,1.3277442956598016e-88
1.2079269435239086e-05,1.3277442938078536e-88
1.20813933419425e-05,1.32774429195558e-88
1.2083517622093972e-05,1.3277442901029808e-88
1.2085642275759164e-05,1.3277442882500562e-88
1.208776730300375e-05,1.3277442863968054e-88
1.2089892703893416e-05,1.3277442845432287e-88
1.2092018478493862e-05,1.3277442826893263e-88
1.2094144626870797e-05,1.3277442808350977e-88
1.2096271149089946e-05,1.3277442789805435e-88
1.2098398045217035e-05,1.3277442771256625e-88
1.2100525315317814e-05,1.3277442752704563e-88
1.2102652959458035e-05,1.3277442734149232e-88
1.210478097770347e-05,1.3277442715590638e-88
1.2106909370119895e-05,1.3277442697028785e-88
1.2109038136773103e-05,1.3277442678463665e-88
1.2111167277728895e-05,1.3277442659895285e-88
1.2113296793053085e-05,1.3277442641323635e-88
1.2115426682811497e-05,1.327744262274872e-88
1.2117556947069973e-05,1.3277442604170545e-88
1.2119687585894356e-05,1.32774425855891e-88
1.2121818599350509e-05,1.3277442567004381e-88
1.2123949987504302e-05,1.32774425484164e-88
1.2126081750421618e-05,1.3277442529825153e-88
1.2128213888168358e-05,1.3277442511230635e-88
1.2130346400810421e-05,1.3277442492632846e-88
1.213247928841373e-05,1.327744247403179e-88
1.2134612551044211e-05,1.3277442455427462e-88
1.2136746188767809e-05,1.3277442436819862e-88
1.2138880201650473e-05,1.3277442418208994e-88
1.2141014589758171e-05,1.327744239959485e-88
1.2143149353156875e-05,1.327744238097743e-88
1.214528449191258e-05,1.3277442362356742e-88
1.2147420006091276e-05,1.3277442343732775e-88
1.2149555895758982e-05,1.3277442325105538e-88
1.2151692160981716e-05,1.3277442306475025e-88
1.215382880182551e-05,1.3277442287841236e-88
1.2155965818356418e-05,1.327744226920417e-88
1.2158103210640488e-05,1.3277442250563827e-88
1.2160240978743794e-05,1.3277442231920207e-88
1.2162379122732416e-05,1.327744221327331e-88
1.2164517642672447e-05,1.3277442194623136e-88
1.216665653862999e-05,1.3277442175969673e-88
1.2168795810671159e-05,1.3277442157312938e-88
1.2170935458862082e-05,1.327744213865292e-88
1.2173075483268899e-05,1.3277442119989622e-88
1.2175215883957757e-05,1.3277442101323045e-88
1.2177356660994821e-05,1.327744208265318e-88
1.2179497814446264e-05,1.3277442063980042e-88
1.218163934437827e-05,1.3277442045303612e-88
1.2183781250857039e-05,1.3277442026623902e-88
1.2185923533948775e-05,1.3277442007940905e-88
1.2188066193719701e-05,1.3277441989254627e-88
1.219020923023605e-05,1.3277441970565059e-88
1.2192352643564062e-05,1.3277441951872206e-88
1.2194496433769993e-05,1.3277441933176069e-88
1.219664060092011e-05,1.327744191447664e-88
1.2198785145080696e-05,1.3277441895773927e-88
1.2200930066318032e-05,1.3277441877067925e-88
1.2203075364698425e-05,1.3277441858358637e-88
1.2205221040288189e-05,1.3277441839646052e-88
1.2207367093153647e-05,1.327744182093018e-88
1.2209513523361139e-05,1.3277441802211016e-88
1.2211660330977009e-05,1.3277441783488562e-88
1.2213807516067617e-05,1.327744176476282e-88
1.2215955078699339e-05,1.3277441746033777e-88
1.2218103018938555e-05,1.3277441727301448e-88
1.2220251336851659e-05,1.327744170856582e-88
1.222240003250506e-05,1.32774416898269e-88
1.2224549105965179e-05,1.3277441671084687e-88
1.2226698557298438e-05,1.3277441652339178e-88
1.2228848386571285e-05,1.327744163359037e-88
1.2230998593850174e-05,1.327744161483827e-88
1.2233149179201565e-05,1.327744159608287e-88
1.223530014269194e-05,1.3277441577324176e-88
1.2237451484387783e-05,1.3277441558562177e-88
1.2239603204355601e-05,1.3277441539796886e-88
1.2241755302661896e-05,1.3277441521028288e-88
1.2243907779373198e-05,1.3277441502256394e-88
1.2246060634556042e-05,1.3277441483481202e-88
1.2248213868276974e-05,1.3277441464702706e-88
1.225036748060255e-05,1.3277441445920904e-88
1.2252521471599347e-05,1.3277441427135808e-88
1.2254675841333938e-05,1.32774414083474e-88
1.2256830589872924e-05,1.3277441389555697e-88
1.225898571728291e-05,1.3277441370760687e-88
1.2261141223630509e-05,1.327744135196237e-88
1.226329710898235e-05,1.327744133316075e-88
1.2265453373405079e-05,1.3277441314355822e-88
1.2267610016965341e-05,1.3277441295547588e-88
1.226976703972981e-05,1.327744127673605e-88
1.2271924441765152e-05,1.32774412579212e-88
1.2274082223138057e-05,1.3277441239103045e-88
1.2276240383915228e-05,1.327744122028158e-88
1.2278398924163371e-05,1.3277441201456807e-88
1.2280557843949212e-05,1.327744118262872e-88
1.2282717143339486e-05,1.327744116379733e-88
1.2284876822400935e-05,1.327744114496262e-88
1.2287036881200321e-05,1.3277441126124607e-88
1.2289197319804412e-05,1.3277441107283274e-88
1.2291358138279988e-05,1.3277441088438635e-88
