time_days,Nuclei:Au199 top 20
1.1574074074074073e-05,1.9457870641021044e-90
1.1576109151910821e-05,1.94578706320802e-90
1.157814458757678e-05,1.945787062313778e-90
1.158018038113487e-05,1.9457870614193797e-90
1.1582216532648015e-05,1.945787060524823e-90
1.1584253042179158e-05,1.94578705963011e-90
1.1586289909791249e-05,1.945787058735239e-90
1.1588327135547246e-05,1.9457870578402114e-90
1.1590364719510128e-05,1.9457870569450255e-90
1.1592402661742875e-05,1.9457870560496827e-90
1.1594440962308483e-05,1.9457870551541827e-90
1.1596479621269957e-05,1.9457870542585249e-90
1.1598518638690315e-05,1.9457870533627094e-90
1.1600558014632583e-05,1.945787052466737e-90
1.1602597749159803e-05,1.9457870515706065e-90
1.1604637842335022e-05,1.9457870506743184e-90
1.1606678294221306e-05,1.9457870497778732e-90
1.1608719104881723e-05,1.9457870488812707e-90
1.1610760274379357e-05,1.9457870479845093e-90
1.1612801802777306e-05,1.945787047087591e-90
1.1614843690138673e-05,1.9457870461905152e-90
1.1616885936526574e-05,1.9457870452932812e-90
1.1618928542004138e-05,1.9457870443958895e-90
1.1620971506634507e-05,1.9457870434983403e-90
1.1623014830480826e-05,1.945787042600633e-90
1.162505851360626e-05,1.9457870417027678e-90
1.1627102556073979e-05,1.9457870408047452e-90
1.1629146957947168e-05,1.945787039906564e-90
1.163119171928902e-05,1.9457870390082253e-90
1.1633236840162742e-05,1.945787038109729e-90
1.1635282320631548e-05,1.9457870372110742e-90
1.163732816075867e-05,1.9457870363122614e-90
1.1639374360607345e-05,1.9457870354132911e-90
1.1641420920240822e-05,1.945787034514162e-90
1.1643467839722364e-05,1.9457870336148754e-90
1.1645515119115243e-05,1.9457870327154301e-90
1.1647562758482743e-05,1.9457870318158272e-90
1.1649610757888157e-05,1.9457870309160658e-90
1.1651659117394789e-05,1.9457870300161466e-90
1.1653707837065959e-05,1.9457870291160682e-90
1.1655756916964996e-05,1.9457870282158325e-90
1.1657806357155237e-05,1.9457870273154378e-90
1.1659856157700035e-05,1.9457870264148852e-90
1.1661906318662747e-05,1.9457870255141744e-90
1.1663956840106745e-05,1.9457870246133047e-90
1.1666007722095419e-05,1.9457870237122769e-90
1.1668058964692159e-05,1.945787022811091e-90
1.1670110567960373e-05,1.9457870219097463e-90
1.1672162531963473e-05,1.9457870210082434e-90
1.1674214856764896e-05,1.9457870201065817e-90
1.1676267542428077e-05,1.9457870192047616e-90
1.1678320589016465e-05,1.945787018302783e-90
1.1680373996593523e-05,1.9457870174006454e-90
1.1682427765222725e-05,1.9457870164983495e-90
1.1684481894967554e-05,1.9457870155958948e-90
1.1686536385891505e-05,1.9457870146932815e-90
1.1688591238058084e-05,1.9457870137905098e-90
1.1690646451530811e-05,1.9457870128875784e-90
1.1692702026373212e-05,1.9457870119844896e-90
1.169475796264883e-05,1.945787011081241e-90
1.1696814260421214e-05,1.9457870101778338e-90
1.1698870919753925e-05,1.9457870092742684e-90
1.170092794071054e-05,1.9457870083705432e-90
1.1702985323354636e-05,1.94578700746666e-90
1.1705043067749818e-05,1.945787006562617e-90
1.170710117395969e-05,1.9457870056584155e-90
1.1709159642047868e-05,1.945787004754055e-90
1.1711218472077982e-05,1.9457870038495352e-90
1.1713277664113672e-05,1.945787002944857e-90
1.1715337218218593e-05,1.9457870020400192e-90
1.1717397134456403e-05,1.945787001135022e-90
1.1719457412890783e-05,1.945787000229866e-90
1.172151805358541e-05,1.9457869993245512e-90
1.1723579056603986e-05,1.945786998419077e-90
1.1725640422010216e-05,1.9457869975134436e-90
1.1727702149867825e-05,1.9457869966076503e-90
1.1729764240240532e-05,1.9457869957016986e-90
1.1731826693192089e-05,1.9457869947955873e-90
1.173388950878624e-05,1.9457869938893169e-90
1.1735952687086755e-05,1.9457869929828869e-90
1.1738016228157407e-05,1.9457869920762975e-90
1.174008013206198e-05,1.9457869911695487e-90
1.1742144398864272e-05,1.9457869902626406e-90
1.1744209028628096e-05,1.9457869893555734e-90
1.1746274021417267e-05,1.945786988448346e-90
1.1748339377295616e-05,1.945786987540959e-90
1.1750405096326988e-05,1.9457869866334137e-90
1.1752471178575235e-05,1.9457869857257076e-90
1.1754537624104223e-05,1.945786984817842e-90
1.1756604432977824e-05,1.9457869839098173e-90
1.1758671605259932e-05,1.9457869830016319e-90
1.1760739141014437e-05,1.9457869820932877e-90
1.1762807040305254e-05,1.9457869811847838e-90
1.1764875303196305e-05,1.9457869802761203e-90
1.1766943929751517e-05,1.9457869793672963e-90
1.1769012920034836e-05,1.9457869784583132e-90
1.1771082274110218e-05,1.9457869775491703e-90
1.1773151992041629e-05,1.9457869766398668e-90
1.1775222073893044e-05,1.945786975730404e-90
1.1777292519728452e-05,1.9457869748207808e-90
1.177936332961185e-05,1.9457869739109987e-90
1.1781434503607254e-05,1.9457869730010553e-90
1.1783506041778683e-05,1.945786972090953e-90
1.178557794419017e-05,1.94578697118069e-90
1.1787650210905758e-05,1.9457869702702673e-90
1.178972284198951e-05,1.9457869693596845e-90
1.1791795837505486e-05,1.9457869684489416e-90
1.1793869197517767e-05,1.9457869675380378e-90
1.179594292209044e-05,1.9457869666269747e-90
1.1798017011287611e-05,1.9457869657157514e-90
1.180009146517339e-05,1.9457869648043676e-90
1.1802166283811898e-05,1.9457869638928235e-90
1.180424146726727e-05,1.94578696298112e-90
1.1806317015603657e-05,1.9457869620692547e-90
1.1808392928885212e-05,1.9457869611572304e-90
1.1810469207176105e-05,1.945786960245045e-90
1.1812545850540515e-05,1.9457869593326993e-90
1.1814622859042633e-05,1.9457869584201928e-90
1.1816700232746663e-05,1.9457869575075265e-90
1.1818777971716817e-05,1.9457869565946992e-90
1.182085607601732e-05,1.945786955681712e-90
1.182293454571241e-05,1.945786954768564e-90
1.1825013380866334e-05,1.9457869538552559e-90
