time_days,Nuclei:Ba140 top 18
1.1574074074074073e-05,3.13208323872234e-90
1.1576109151910821e-05,3.1320832383442275e-90
1.157814458757678e-05,3.1320832379660476e-90
1.158018038113487e-05,3.132083237587801e-90
1.1582216532648015e-05,3.1320832372094895e-90
1.1584253042179158e-05,3.1320832368311104e-90
1.1586289909791249e-05,3.1320832364526645e-90
1.1588327135547246e-05,3.132083236074152e-90
1.1590364719510128e-05,3.1320832356955736e-90
1.1592402661742875e-05,3.132083235316928e-90
1.1594440962308483e-05,3.1320832349382167e-90
1.1596479621269957e-05,3.132083234559438e-90
1.1598518638690315e-05,3.1320832341805934e-90
1.1600558014632583e-05,3.132083233801681e-90
1.1602597749159803e-05,3.132083233422703e-90
1.1604637842335022e-05,3.132083233043658e-90
1.1606678294221306e-05,3.1320832326645463e-90
1.1608719104881723e-05,3.1320832322853684e-90
1.1610760274379357e-05,3.132083231906123e-90
1.1612801802777306e-05,3.1320832315268115e-90
1.1614843690138673e-05,3.1320832311474335e-90
1.1616885936526574e-05,3.1320832307679888e-90
1.1618928542004138e-05,3.1320832303884764e-90
1.1620971506634507e-05,3.1320832300088987e-90
1.1623014830480826e-05,3.132083229629254e-90
1.162505851360626e-05,3.132083229249541e-90
1.1627102556073979e-05,3.1320832288697635e-90
1.1629146957947168e-05,3.1320832284899176e-90
1.163119171928902e-05,3.132083228110004e-90
1.1633236840162742e-05,3.132083227730026e-90
1.1635282320631548e-05,3.13208322734998e-90
1.163732816075867e-05,3.1320832269698666e-90
1.1639374360607345e-05,3.1320832265896884e-90
1.1641420920240822e-05,3.132083226209441e-90
1.1643467839722364e-05,3.132083225829128e-90
1.1645515119115243e-05,3.1320832254487477e-90
1.1647562758482743e-05,3.132083225068302e-90
1.1649610757888157e-05,3.1320832246877876e-90
1.1651659117394789e-05,3.132083224307207e-90
1.1653707837065959e-05,3.1320832239265584e-90
1.1655756916964996e-05,3.1320832235458444e-90
1.1657806357155237e-05,3.1320832231650624e-90
1.1659856157700035e-05,3.132083222784214e-90
1.1661906318662747e-05,3.1320832224032983e-90
1.1663956840106745e-05,3.1320832220223157e-90
1.1666007722095419e-05,3.132083221641267e-90
1.1668058964692159e-05,3.13208322126015e-90
1.1670110567960373e-05,3.1320832208789664e-90
1.1672162531963473e-05,3.132083220497716e-90
1.1674214856764896e-05,3.1320832201163987e-90
1.1676267542428077e-05,3.1320832197350146e-90
1.1678320589016465e-05,3.132083219353563e-90
1.1680373996593523e-05,3.132083218972044e-90
1.1682427765222725e-05,3.132083218590458e-90
1.1684481894967554e-05,3.1320832182088057e-90
1.1686536385891505e-05,3.132083217827085e-90
1.1688591238058084e-05,3.1320832174452984e-90
1.1690646451530811e-05,3.1320832170634438e-90
1.1692702026373212e-05,3.1320832166815225e-90
1.169475796264883e-05,3.132083216299534e-90
1.1696814260421214e-05,3.132083215917478e-90
1.1698870919753925e-05,3.1320832155353556e-90
1.170092794071054e-05,3.132083215153165e-90
1.1702985323354636e-05,3.132083214770908e-90
1.1705043067749818e-05,3.132083214388583e-90
1.170710117395969e-05,3.132083214006192e-90
1.1709159642047868e-05,3.132083213623734e-90
1.1711218472077982e-05,3.1320832132412064e-90
1.1713277664113672e-05,3.1320832128586137e-90
1.1715337218218593e-05,3.132083212475953e-90
1.1717397134456403e-05,3.132083212093225e-90
1.1719457412890783e-05,3.1320832117104294e-90
1.172151805358541e-05,3.1320832113275667e-90
1.1723579056603986e-05,3.132083210944637e-90
1.1725640422010216e-05,3.1320832105616395e-90
1.1727702149867825e-05,3.132083210178575e-90
1.1729764240240532e-05,3.1320832097954437e-90
1.1731826693192089e-05,3.1320832094122445e-90
1.173388950878624e-05,3.132083209028977e-90
1.1735952687086755e-05,3.132083208645643e-90
1.1738016228157407e-05,3.132083208262241e-90
1.174008013206198e-05,3.132083207878773e-90
1.1742144398864272e-05,3.132083207495237e-90
1.1744209028628096e-05,3.132083207111633e-90
1.1746274021417267e-05,3.1320832067279616e-90
1.1748339377295616e-05,3.1320832063442226e-90
1.1750405096326988e-05,3.1320832059604172e-90
1.1752471178575235e-05,3.1320832055765434e-90
1.1754537624104223e-05,3.132083205192602e-90
1.1756604432977824e-05,3.132083204808594e-90
1.1758671605259932e-05,3.1320832044245166e-90
1.1760739141014437e-05,3.1320832040403738e-90
1.1762807040305254e-05,3.132083203656162e-90
1.1764875303196305e-05,3.132083203271884e-90
1.1766943929751517e-05,3.1320832028875372e-90
1.1769012920034836e-05,3.1320832025031237e-90
1.1771082274110218e-05,3.1320832021186416e-90
1.1773151992041629e-05,3.132083201734092e-90
1.1775222073893044e-05,3.1320832013494757e-90
1.1777292519728452e-05,3.1320832009647914e-90
1.177936332961185e-05,3.13208320058004e-90
1.1781434503607254e-05,3.13208320019522e-90
1.1783506041778683e-05,3.1320831998103324e-90
1.178557794419017e-05,3.132083199425377e-90
1.1787650210905758e-05,3.1320831990403546e-90
1.178972284198951e-05,3.132083198655264e-90
1.1791795837505486e-05,3.132083198270106e-90
1.1793869197517767e-05,3.1320831978848798e-90
1.179594292209044e-05,3.1320831974995867e-90
1.1798017011287611e-05,3.1320831971142253e-90
1.180009146517339e-05,3.132083196728796e-90
1.1802166283811898e-05,3.132083196343299e-90
1.180424146726727e-05,3.1320831959577354e-90
1.1806317015603657e-05,3.1320831955721027e-90
1.1808392928885212e-05,3.1320831951864024e-90
1.1810469207176105e-05,3.1320831948006346e-90
1.1812545850540515e-05,3.1320831944147983e-90
1.1814622859042633e-05,3.132083194028895e-90
1.1816700232746663e-05,3.1320831936429234e-90
1.1818777971716817e-05,3.1320831932568835e-90
1.182085607601732e-05,3.1320831928707764e-90
1.182293454571241e-05,3.1320831924846014e-90
1.1825013380866334e-05,3.1320831920983587e-90
1.182709258154335e-05,3.1320831917120467e-90
1.1829172147807727e-05,3.1320831913256676e-90
1.183125207972375e-05,3.1320831909392218e-90
1.183333237735571e-05,3.1320831905527066e-90
1.1835413040767908e-05,3.1320831901661234e-90
1.1837494070024666e-05,3.132083189779473e-90
