time_days,Fm255 top 19
1.1574074074074073e-05,2.626806368788251e-88
1.1576109151910821e-05,2.626806368761678e-88
1.157814458757678e-05,2.6268063687351e-88
1.158018038113487e-05,2.6268063687085174e-88
1.1582216532648015e-05,2.6268063686819307e-88
1.1584253042179158e-05,2.6268063686553395e-88
1.1586289909791249e-05,2.626806368628743e-88
1.1588327135547246e-05,2.626806368602142e-88
1.1590364719510128e-05,2.626806368575536e-88
1.1592402661742875e-05,2.6268063685489256e-88
1.1594440962308483e-05,2.6268063685223104e-88
1.1596479621269957e-05,2.626806368495691e-88
1.1598518638690315e-05,2.626806368469066e-88
1.1600558014632583e-05,2.626806368442437e-88
1.1602597749159803e-05,2.6268063684158033e-88
1.1604637842335022e-05,2.6268063683891646e-88
1.1606678294221306e-05,2.6268063683625215e-88
1.1608719104881723e-05,2.626806368335874e-88
1.1610760274379357e-05,2.626806368309221e-88
1.1612801802777306e-05,2.626806368282564e-88
1.1614843690138673e-05,2.626806368255902e-88
1.1616885936526574e-05,2.6268063682292357e-88
1.1618928542004138e-05,2.626806368202564e-88
1.1620971506634507e-05,2.626806368175888e-88
1.1623014830480826e-05,2.6268063681492076e-88
1.162505851360626e-05,2.626806368122522e-88
1.1627102556073979e-05,2.626806368095832e-88
1.1629146957947168e-05,2.626806368069137e-88
1.163119171928902e-05,2.6268063680424376e-88
1.1633236840162742e-05,2.6268063680157337e-88
1.1635282320631548e-05,2.626806367989025e-88
1.163732816075867e-05,2.6268063679623113e-88
1.1639374360607345e-05,2.6268063679355934e-88
1.1641420920240822e-05,2.6268063679088705e-88
1.1643467839722364e-05,2.6268063678821426e-88
1.1645515119115243e-05,2.62680636785541e-88
1.1647562758482743e-05,2.6268063678286733e-88
1.1649610757888157e-05,2.6268063678019314e-88
1.1651659117394789e-05,2.626806367775185e-88
1.1653707837065959e-05,2.6268063677484337e-88
1.1655756916964996e-05,2.626806367721678e-88
1.1657806357155237e-05,2.6268063676949176e-88
1.1659856157700035e-05,2.626806367668152e-88
1.1661906318662747e-05,2.6268063676413824e-88
1.1663956840106745e-05,2.6268063676146076e-88
1.1666007722095419e-05,2.6268063675878283e-88
1.1668058964692159e-05,2.626806367561044e-88
1.1670110567960373e-05,2.6268063675342553e-88
1.1672162531963473e-05,2.626806367507462e-88
1.1674214856764896e-05,2.626806367480664e-88
1.1676267542428077e-05,2.626806367453861e-88
1.1678320589016465e-05,2.6268063674270533e-88
1.1680373996593523e-05,2.6268063674002406e-88
1.1682427765222725e-05,2.626806367373424e-88
1.1684481894967554e-05,2.626806367346602e-88
1.1686536385891505e-05,2.6268063673197755e-88
1.1688591238058084e-05,2.6268063672929443e-88
1.1690646451530811e-05,2.626806367266108e-88
1.1692702026373212e-05,2.626806367239268e-88
1.169475796264883e-05,2.6268063672124223e-88
1.1696814260421214e-05,2.626806367185572e-88
1.1698870919753925e-05,2.6268063671587175e-88
1.170092794071054e-05,2.626806367131858e-88
1.1702985323354636e-05,2.626806367104994e-88
1.1705043067749818e-05,2.626806367078125e-88
1.170710117395969e-05,2.626806367051251e-88
1.1709159642047868e-05,2.626806367024373e-88
1.1711218472077982e-05,2.6268063669974893e-88
1.1713277664113672e-05,2.6268063669706023e-88
1.1715337218218593e-05,2.626806366943709e-88
1.1717397134456403e-05,2.626806366916812e-88
1.1719457412890783e-05,2.62680636688991e-88
1.172151805358541e-05,2.626806366863003e-88
1.1723579056603986e-05,2.6268063668360915e-88
1.1725640422010216e-05,2.6268063668091754e-88
1.1727702149867825e-05,2.6268063667822544e-88
1.1729764240240532e-05,2.626806366755329e-88
1.1731826693192089e-05,2.6268063667283984e-88
1.173388950878624e-05,2.626806366701463e-88
1.1735952687086755e-05,2.626806366674523e-88
1.1738016228157407e-05,2.6268063666475783e-88
1.174008013206198e-05,2.626806366620629e-88
1.1742144398864272e-05,2.626806366593675e-88
1.1744209028628096e-05,2.6268063665667165e-88
1.1746274021417267e-05,2.6268063665397524e-88
1.1748339377295616e-05,2.626806366512784e-88
1.1750405096326988e-05,2.626806366485811e-88
1.1752471178575235e-05,2.626806366458833e-88
1.1754537624104223e-05,2.6268063664318506e-88
1.1756604432977824e-05,2.626806366404863e-88
1.1758671605259932e-05,2.6268063663778707e-88
1.1760739141014437e-05,2.6268063663508743e-88
1.1762807040305254e-05,2.6268063663238724e-88
1.1764875303196305e-05,2.6268063662968665e-88
1.1766943929751517e-05,2.6268063662698556e-88
1.1769012920034836e-05,2.6268063662428397e-88
1.1771082274110218e-05,2.6268063662158193e-88
1.1773151992041629e-05,2.6268063661887934e-88
1.1775222073893044e-05,2.6268063661617635e-88
1.1777292519728452e-05,2.6268063661347286e-88
1.177936332961185e-05,2.626806366107689e-88
1.1781434503607254e-05,2.626806366080645e-88
1.1783506041778683e-05,2.626806366053596e-88
1.178557794419017e-05,2.6268063660265416e-88
1.1787650210905758e-05,2.6268063659994833e-88
1.178972284198951e-05,2.62680636597242e-88
1.1791795837505486e-05,2.626806365945352e-88
1.1793869197517767e-05,2.626806365918279e-88
1.179594292209044e-05,2.6268063658912014e-88
1.1798017011287611e-05,2.626806365864119e-88
1.180009146517339e-05,2.626806365837032e-88
1.1802166283811898e-05,2.62680636580994e-88
1.180424146726727e-05,2.6268063657828436e-88
1.1806317015603657e-05,2.626806365755742e-88
1.1808392928885212e-05,2.6268063657286355e-88
1.1810469207176105e-05,2.6268063657015247e-88
1.1812545850540515e-05,2.626806365674409e-88
1.1814622859042633e-05,2.6268063656472886e-88
1.1816700232746663e-05,2.6268063656201627e-88
1.1818777971716817e-05,2.626806365593033e-88
1.182085607601732e-05,2.626806365565898e-88
1.182293454571241e-05,2.6268063655387584e-88
1.1825013380866334e-05,2.6268063655116146e-88
1.182709258154335e-05,2.626806365484465e-88
1.1829172147807727e-05,2.626806365457311e-88
1.183125207972375e-05,2.626806365430152e-88
1.183333237735571e-05,2.626806365402989e-88
1.1835413040767908e-05,2.6268063653758207e-88
1.1837494070024666e-05,2.6268063653486474e-88
1.1839575465190307e-05,2.62680636532147e-88
1.1841657226329168e-05,2.6268063652942874e-88
1.18437393535056e-05,2.6268063652671e-88
1.1845821846783964e-05,2.626806365239908e-88
1.184790470622863e-05,2.626806365212711e-88
1.1849987931903983e-05,2.626806365185509e-88
1.1852071523874415e-05,2.6268063651583026e-88
1.1854155482204337e-05,2.6268063651310914e-88
1.185623980695816e-05,2.6268063651038756e-88
1.185832449820032e-05,2.6268063650766544e-88
1.186040955599525e-05,2.626806365049429e-88
1.1862494980407405e-05,2.626806365022199e-88
1.1864580771501242e-05,2.6268063649949637e-88
1.1866666929341244e-05,2.6268063649677234e-88
1.1868753453991893e-05,2.6268063649404787e-88
1.1870840345517681e-05,2.626806364913229e-88
1.187292760398312e-05,2.6268063648859747e-88
1.187501522945273e-05,2.6268063648587155e-88
1.1877103221991039e-05,2.626806364831452e-88
1.1879191581662589e-05,2.626806364804183e-88
1.1881280308531934e-05,2.626806364776909e-88
1.188336940266364e-05,2.626806364749631e-88
1.1885458864122283e-05,2.626806364722348e-88
1.1887548692972447e-05,2.62680636469506e-88
1.1889638889278737e-05,2.6268063646677674e-88
1.1891729453105753e-05,2.62680636464047e-88
1.1893820384518129e-05,2.6268063646131674e-88
1.1895911683580489e-05,2.62680636458586e-88
1.1898003350357477e-05,2.6268063645585484e-88
1.1900095384913753e-05,2.6268063645312317e-88
1.190218778731398e-05,2.6268063645039105e-88
1.1904280557622842e-05,2.6268063644765843e-88
1.1906373695905023e-05,2.626806364449253e-88
1.1908467202225226e-05,2.6268063644219174e-88
1.1910561076648163e-05,2.626806364394576e-88
1.1912655319238558e-05,2.626806364367231e-88
1.1914749930061148e-05,2.6268063643398807e-88
1.1916844909180674e-05,2.6268063643125254e-88
1.1918940256661901e-05,2.626806364285166e-88
1.1921035972569594e-05,2.6268063642578004e-88
1.1923132056968534e-05,2.626806364230431e-88
1.1925228509923516e-05,2.6268063642030565e-88
1.1927325331499338e-05,2.626806364175677e-88
1.1929422521760818e-05,2.6268063641482935e-88
1.1931520080772786e-05,2.626806364120904e-88
1.1933618008600073e-05,2.6268063640935105e-88
1.193571630530753e-05,2.6268063640661123e-88
1.1937814970960021e-05,2.626806364038709e-88
1.1939914005622416e-05,2.626806364011301e-88
1.1942013409359598e-05,2.6268063639838875e-88
1.1944113182236459e-05,2.62680636395647e-88
1.1946213324317909e-05,2.6268063639290476e-88
1.1948313835668861e-05,2.62680636390162e-88
1.1950414716354249e-05,2.6268063638741875e-88
1.1952515966439013e-05,2.626806363846751e-88
1.1954617585988102e-05,2.626806363819309e-88
1.1956719575066477e-05,2.6268063637918623e-88
1.195882193373912e-05,2.626806363764411e-88
1.1960924662071011e-05,2.626806363736955e-88
1.196302776012715e-05,2.626806363709493e-88
1.1965131227972544e-05,2.626806363682027e-88
1.1967235065672215e-05,2.6268063636545565e-88
1.1969339273291195e-05,2.6268063636270807e-88
1.1971443850894526e-05,2.6268063635996004e-88
1.1973548798547261e-05,2.6268063635721146e-88
1.197565411631447e-05,2.626806363544625e-88
1.197775980426123e-05,2.6268063635171295e-88
1.1979865862452626e-05,2.6268063634896303e-88
1.1981972290953762e-05,2.626806363462125e-88
1.1984079089829748e-05,2.6268063634346157e-88
1.198618625914571e-05,2.6268063634071014e-88
1.198829379896678e-05,2.626806363379582e-88
1.1990401709358103e-05,2.626806363352058e-88
1.199250999038484e-05,2.626806363324529e-88
1.1994618642112156e-05,2.626806363296996e-88
1.1996727664605237e-05,2.626806363269457e-88
1.1998837057929273e-05,2.626806363241914e-88
1.2000946822149464e-05,2.6268063632143657e-88
1.2003056957331031e-05,2.6268063631868123e-88
1.2005167463539195e-05,2.626806363159255e-88
1.2007278340839195e-05,2.626806363131692e-88
1.2009389589296282e-05,2.6268063631041243e-88
1.2011501208975716e-05,2.6268063630765514e-88
1.2013613199942771e-05,2.6268063630489746e-88
1.2015725562262726e-05,2.626806363021392e-88
1.2017838296000882e-05,2.6268063629938054e-88
1.2019951401222542e-05,2.6268063629662135e-88
1.2022064877993026e-05,2.6268063629386166e-88
1.2024178726377662e-05,2.626806362911015e-88
1.2026292946441793e-05,2.626806362883409e-88
1.202840753825077e-05,2.6268063628557975e-88
1.2030522501869958e-05,2.626806362828181e-88
1.2032637837364735e-05,2.6268063628005607e-88
1.2034753544800484e-05,2.626806362772935e-88
1.2036869624242604e-05,2.6268063627453044e-88
1.203898607575651e-05,2.6268063627176685e-88
1.204110289940762e-05,2.626806362690028e-88
1.2043220095261365e-05,2.6268063626623826e-88
1.2045337663383193e-05,2.6268063626347327e-88
1.204745560383856e-05,2.626806362607078e-88
1.2049573916692932e-05,2.626806362579418e-88
1.2051692602011791e-05,2.626806362551753e-88
1.2053811659860622e-05,2.6268063625240833e-88
1.2055931090304936e-05,2.626806362496409e-88
1.205805089341024e-05,2.62680636246873e-88
1.206017106924206e-05,2.626806362441046e-88
1.2062291617865934e-05,2.626806362413357e-88
1.2064412539347413e-05,2.626806362385663e-88
1.2066533833752049e-05,2.626806362357964e-88
1.2068655501145422e-05,2.6268063623302605e-88
1.2070777541593109e-05,2.6268063623025514e-88
1.2072899955160708e-05,2.6268063622748384e-88
1.2075022741913823e-05,2.6268063622471204e-88
1.2077145901918073e-05,2.626806362219397e-88
1.2079269435239086e-05,2.626806362191669e-88
1.20813933419425e-05,2.626806362163936e-88
1.2083517622093972e-05,2.626806362136198e-88
1.2085642275759164e-05,2.626806362108456e-88
1.208776730300375e-05,2.626806362080708e-88
1.2089892703893416e-05,2.6268063620529566e-88
1.2092018478493862e-05,2.6268063620251984e-88
1.2094144626870797e-05,2.626806361997437e-88
1.2096271149089946e-05,2.6268063619696697e-88
1.2098398045217035e-05,2.6268063619418976e-88
1.2100525315317814e-05,2.626806361914121e-88
1.2102652959458035e-05,2.6268063618863394e-88
1.210478097770347e-05,2.6268063618585527e-88
1.2106909370119895e-05,2.626806361830761e-88
1.2109038136773103e-05,2.626806361802965e-88
1.2111167277728895e-05,2.626806361775164e-88
1.2113296793053085e-05,2.6268063617473576e-88
1.2115426682811497e-05,2.6268063617195464e-88
1.2117556947069973e-05,2.6268063616917307e-88
1.2119687585894356e-05,2.62680636166391e-88
1.2121818599350509e-05,2.626806361636084e-88
1.2123949987504302e-05,2.6268063616082535e-88
1.2126081750421618e-05,2.6268063615804183e-88
1.2128213888168358e-05,2.6268063615525775e-88
1.2130346400810421e-05,2.6268063615247323e-88
1.213247928841373e-05,2.6268063614968826e-88
1.2134612551044211e-05,2.6268063614690273e-88
1.2136746188767809e-05,2.6268063614411675e-88
1.2138880201650473e-05,2.626806361413302e-88
1.2141014589758171e-05,2.626806361385433e-88
1.2143149353156875e-05,2.6268063613575576e-88
1.214528449191258e-05,2.626806361329679e-88
1.2147420006091276e-05,2.626806361301794e-88
1.2149555895758982e-05,2.6268063612739046e-88
1.2151692160981716e-05,2.626806361246011e-88
1.215382880182551e-05,2.626806361218111e-88
1.2155965818356418e-05,2.626806361190207e-88
1.2158103210640488e-05,2.626806361162298e-88
1.2160240978743794e-05,2.626806361134384e-88
1.2162379122732416e-05,2.6268063611064653e-88
1.2164517642672447e-05,2.626806361078542e-88
1.216665653862999e-05,2.6268063610506135e-88
1.2168795810671159e-05,2.6268063610226796e-88
1.2170935458862082e-05,2.626806360994741e-88
1.2173075483268899e-05,2.6268063609667976e-88
1.2175215883957757e-05,2.6268063609388497e-88
1.2177356660994821e-05,2.626806360910896e-88
1.2179497814446264e-05,2.626806360882938e-88
1.218163934437827e-05,2.626806360854975e-88
1.2183781250857039e-05,2.6268063608270077e-88
1.2185923533948775e-05,2.6268063607990346e-88
1.2188066193719701e-05,2.626806360771057e-88
1.219020923023605e-05,2.626806360743074e-88
1.2192352643564062e-05,2.6268063607150865e-88
1.2194496433769993e-05,2.626806360687094e-88
1.219664060092011e-05,2.626806360659096e-88
1.2198785145080696e-05,2.626806360631094e-88
1.2200930066318032e-05,2.626806360603087e-88
1.2203075364698425e-05,2.626806360575075e-88
1.2205221040288189e-05,2.626806360547057e-88
1.2207367093153647e-05,2.6268063605190357e-88
1.2209513523361139e-05,2.6268063604910085e-88
1.2211660330977009e-05,2.626806360462976e-88
1.2213807516067617e-05,2.62680636043494e-88
1.2215955078699339e-05,2.6268063604068984e-88
1.2218103018938555e-05,2.626806360378851e-88
1.2220251336851659e-05,2.6268063603507994e-88
1.222240003250506e-05,2.626806360322743e-88
1.2224549105965179e-05,2.6268063602946814e-88
1.2226698557298438e-05,2.626806360266615e-88
1.2228848386571285e-05,2.626806360238544e-88
1.2230998593850174e-05,2.6268063602104676e-88
1.2233149179201565e-05,2.626806360182387e-88
1.223530014269194e-05,2.6268063601543e-88
1.2237451484387783e-05,2.626806360126209e-88
1.2239603204355601e-05,2.626806360098113e-88
1.2241755302661896e-05,2.626806360070012e-88
1.2243907779373198e-05,2.626806360041906e-88
1.2246060634556042e-05,2.626806360013795e-88
