time_days,Ta184 top 20
1.1574074074074073e-05,1.649490444423653e-88
1.1576109151910821e-05,1.6494904444069666e-88
1.157814458757678e-05,1.6494904443902772e-88
1.158018038113487e-05,1.6494904443735847e-88
1.1582216532648015e-05,1.6494904443568895e-88
1.1584253042179158e-05,1.6494904443401917e-88
1.1586289909791249e-05,1.6494904443234906e-88
1.1588327135547246e-05,1.6494904443067867e-88
1.1590364719510128e-05,1.6494904442900797e-88
1.1592402661742875e-05,1.6494904442733696e-88
1.1594440962308483e-05,1.6494904442566568e-88
1.1596479621269957e-05,1.6494904442399412e-88
1.1598518638690315e-05,1.6494904442232225e-88
1.1600558014632583e-05,1.649490444206501e-88
1.1602597749159803e-05,1.6494904441897764e-88
1.1604637842335022e-05,1.6494904441730488e-88
1.1606678294221306e-05,1.6494904441563184e-88
1.1608719104881723e-05,1.649490444139585e-88
1.1610760274379357e-05,1.6494904441228483e-88
1.1612801802777306e-05,1.6494904441061092e-88
1.1614843690138673e-05,1.649490444089367e-88
1.1616885936526574e-05,1.649490444072622e-88
1.1618928542004138e-05,1.6494904440558736e-88
1.1620971506634507e-05,1.6494904440391228e-88
1.1623014830480826e-05,1.649490444022369e-88
1.162505851360626e-05,1.6494904440056117e-88
1.1627102556073979e-05,1.649490443988852e-88
1.1629146957947168e-05,1.649490443972089e-88
1.163119171928902e-05,1.649490443955323e-88
1.1633236840162742e-05,1.6494904439385547e-88
1.1635282320631548e-05,1.6494904439217827e-88
1.163732816075867e-05,1.649490443905008e-88
1.1639374360607345e-05,1.6494904438882306e-88
1.1641420920240822e-05,1.6494904438714502e-88
1.1643467839722364e-05,1.6494904438546665e-88
1.1645515119115243e-05,1.6494904438378803e-88
1.1647562758482743e-05,1.6494904438210907e-88
1.1649610757888157e-05,1.6494904438042986e-88
1.1651659117394789e-05,1.6494904437875032e-88
1.1653707837065959e-05,1.6494904437707047e-88
1.1655756916964996e-05,1.6494904437539036e-88
1.1657806357155237e-05,1.6494904437370995e-88
1.1659856157700035e-05,1.6494904437202924e-88
1.1661906318662747e-05,1.6494904437034824e-88
1.1663956840106745e-05,1.649490443686669e-88
1.1666007722095419e-05,1.6494904436698533e-88
1.1668058964692159e-05,1.6494904436530344e-88
1.1670110567960373e-05,1.6494904436362125e-88
1.1672162531963473e-05,1.6494904436193877e-88
1.1674214856764896e-05,1.64949044360256e-88
1.1676267542428077e-05,1.6494904435857293e-88
1.1678320589016465e-05,1.6494904435688957e-88
1.1680373996593523e-05,1.6494904435520586e-88
1.1682427765222725e-05,1.649490443535219e-88
1.1684481894967554e-05,1.6494904435183765e-88
1.1686536385891505e-05,1.6494904435015308e-88
1.1688591238058084e-05,1.6494904434846824e-88
1.1690646451530811e-05,1.6494904434678309e-88
1.1692702026373212e-05,1.6494904434509765e-88
1.169475796264883e-05,1.6494904434341191e-88
1.1696814260421214e-05,1.6494904434172587e-88
1.1698870919753925e-05,1.6494904434003952e-88
1.170092794071054e-05,1.6494904433835288e-88
1.1702985323354636e-05,1.6494904433666597e-88
1.1705043067749818e-05,1.6494904433497875e-88
1.170710117395969e-05,1.6494904433329123e-88
1.1709159642047868e-05,1.6494904433160343e-88
1.1711218472077982e-05,1.649490443299153e-88
1.1713277664113672e-05,1.649490443282269e-88
1.1715337218218593e-05,1.649490443265382e-88
1.1717397134456403e-05,1.6494904432484917e-88
1.1719457412890783e-05,1.6494904432315989e-88
1.172151805358541e-05,1.6494904432147027e-88
1.1723579056603986e-05,1.649490443197804e-88
1.1725640422010216e-05,1.6494904431809022e-88
1.1727702149867825e-05,1.6494904431639968e-88
1.1729764240240532e-05,1.6494904431470892e-88
1.1731826693192089e-05,1.6494904431301783e-88
1.173388950878624e-05,1.6494904431132645e-88
1.1735952687086755e-05,1.6494904430963477e-88
1.1738016228157407e-05,1.6494904430794278e-88
1.174008013206198e-05,1.649490443062505e-88
1.1742144398864272e-05,1.6494904430455796e-88
1.1744209028628096e-05,1.6494904430286508e-88
1.1746274021417267e-05,1.6494904430117192e-88
1.1748339377295616e-05,1.6494904429947842e-88
1.1750405096326988e-05,1.649490442977847e-88
1.1752471178575235e-05,1.6494904429609062e-88
1.1754537624104223e-05,1.6494904429439626e-88
1.1756604432977824e-05,1.6494904429270162e-88
1.1758671605259932e-05,1.6494904429100664e-88
1.1760739141014437e-05,1.649490442893114e-88
1.1762807040305254e-05,1.6494904428761582e-88
1.1764875303196305e-05,1.6494904428592e-88
1.1766943929751517e-05,1.6494904428422386e-88
1.1769012920034836e-05,1.649490442825274e-88
1.1771082274110218e-05,1.6494904428083068e-88
1.1773151992041629e-05,1.649490442791336e-88
1.1775222073893044e-05,1.649490442774363e-88
1.1777292519728452e-05,1.6494904427573863e-88
1.177936332961185e-05,1.6494904427404073e-88
1.1781434503607254e-05,1.649490442723425e-88
1.1783506041778683e-05,1.6494904427064394e-88
1.178557794419017e-05,1.649490442689451e-88
1.1787650210905758e-05,1.6494904426724598e-88
1.178972284198951e-05,1.6494904426554657e-88
1.1791795837505486e-05,1.6494904426384682e-88
1.1793869197517767e-05,1.6494904426214677e-88
1.179594292209044e-05,1.6494904426044646e-88
1.1798017011287611e-05,1.6494904425874582e-88
1.180009146517339e-05,1.6494904425704493e-88
1.1802166283811898e-05,1.6494904425534368e-88
1.180424146726727e-05,1.6494904425364217e-88
1.1806317015603657e-05,1.6494904425194036e-88
1.1808392928885212e-05,1.649490442502382e-88
1.1810469207176105e-05,1.649490442485358e-88
1.1812545850540515e-05,1.6494904424683305e-88
1.1814622859042633e-05,1.6494904424513007e-88
1.1816700232746663e-05,1.6494904424342672e-88
1.1818777971716817e-05,1.649490442417231e-88
1.182085607601732e-05,1.649490442400192e-88
1.182293454571241e-05,1.6494904423831498e-88
1.1825013380866334e-05,1.649490442366105e-88
1.182709258154335e-05,1.6494904423490563e-88
1.1829172147807727e-05,1.6494904423320053e-88
1.183125207972375e-05,1.649490442314951e-88
1.183333237735571e-05,1.649490442297894e-88
1.1835413040767908e-05,1.6494904422808337e-88
1.1837494070024666e-05,1.6494904422637704e-88
1.1839575465190307e-05,1.6494904422467045e-88
1.1841657226329168e-05,1.6494904422296353e-88
