time_days,Bk249 top 2
1.1574074074074073e-05,5.246663926250039e-91
1.1576109151910821e-05,5.246663926196963e-91
1.157814458757678e-05,5.246663926143878e-91
1.158018038113487e-05,5.246663926090784e-91
1.1582216532648015e-05,5.246663926037679e-91
1.1584253042179158e-05,5.246663925984567e-91
1.1586289909791249e-05,5.246663925931445e-91
1.1588327135547246e-05,5.246663925878314e-91
1.1590364719510128e-05,5.246663925825172e-91
1.1592402661742875e-05,5.246663925772022e-91
1.1594440962308483e-05,5.246663925718862e-91
1.1596479621269957e-05,5.246663925665693e-91
1.1598518638690315e-05,5.246663925612514e-91
1.1600558014632583e-05,5.246663925559326e-91
1.1602597749159803e-05,5.246663925506129e-91
1.1604637842335022e-05,5.246663925452923e-91
1.1606678294221306e-05,5.246663925399708e-91
1.1608719104881723e-05,5.246663925346482e-91
1.1610760274379357e-05,5.246663925293247e-91
1.1612801802777306e-05,5.246663925240003e-91
1.1614843690138673e-05,5.24666392518675e-91
1.1616885936526574e-05,5.246663925133488e-91
1.1618928542004138e-05,5.246663925080214e-91
1.1620971506634507e-05,5.246663925026933e-91
1.1623014830480826e-05,5.246663924973643e-91
1.162505851360626e-05,5.246663924920343e-91
1.1627102556073979e-05,5.246663924867033e-91
1.1629146957947168e-05,5.246663924813714e-91
1.163119171928902e-05,5.246663924760385e-91
1.1633236840162742e-05,5.246663924707049e-91
1.1635282320631548e-05,5.246663924653701e-91
1.163732816075867e-05,5.246663924600345e-91
1.1639374360607345e-05,5.24666392454698e-91
1.1641420920240822e-05,5.246663924493604e-91
1.1643467839722364e-05,5.246663924440219e-91
1.1645515119115243e-05,5.246663924386826e-91
1.1647562758482743e-05,5.246663924333423e-91
1.1649610757888157e-05,5.24666392428001e-91
1.1651659117394789e-05,5.246663924226588e-91
1.1653707837065959e-05,5.246663924173156e-91
1.1655756916964996e-05,5.246663924119714e-91
1.1657806357155237e-05,5.246663924066264e-91
1.1659856157700035e-05,5.246663924012805e-91
1.1661906318662747e-05,5.246663923959336e-91
1.1663956840106745e-05,5.246663923905857e-91
1.1666007722095419e-05,5.24666392385237e-91
1.1668058964692159e-05,5.246663923798872e-91
1.1670110567960373e-05,5.246663923745365e-91
1.1672162531963473e-05,5.24666392369185e-91
1.1674214856764896e-05,5.246663923638324e-91
1.1676267542428077e-05,5.246663923584789e-91
1.1678320589016465e-05,5.246663923531246e-91
1.1680373996593523e-05,5.246663923477691e-91
1.1682427765222725e-05,5.246663923424128e-91
1.1684481894967554e-05,5.246663923370555e-91
1.1686536385891505e-05,5.246663923316972e-91
1.1688591238058084e-05,5.246663923263382e-91
1.1690646451530811e-05,5.24666392320978e-91
1.1692702026373212e-05,5.246663923156171e-91
1.169475796264883e-05,5.246663923102551e-91
1.1696814260421214e-05,5.246663923048921e-91
1.1698870919753925e-05,5.246663922995283e-91
1.170092794071054e-05,5.246663922941635e-91
1.1702985323354636e-05,5.246663922887977e-91
1.1705043067749818e-05,5.246663922834311e-91
1.170710117395969e-05,5.246663922780635e-91
1.1709159642047868e-05,5.246663922726949e-91
1.1711218472077982e-05,5.246663922673254e-91
1.1713277664113672e-05,5.24666392261955e-91
1.1715337218218593e-05,5.246663922565835e-91
1.1717397134456403e-05,5.246663922512111e-91
1.1719457412890783e-05,5.246663922458379e-91
1.172151805358541e-05,5.246663922404636e-91
1.1723579056603986e-05,5.246663922350885e-91
1.1725640422010216e-05,5.246663922297123e-91
1.1727702149867825e-05,5.246663922243353e-91
1.1729764240240532e-05,5.246663922189573e-91
1.1731826693192089e-05,5.246663922135783e-91
1.173388950878624e-05,5.246663922081984e-91
1.1735952687086755e-05,5.246663922028175e-91
1.1738016228157407e-05,5.246663921974357e-91
1.174008013206198e-05,5.24666392192053e-91
1.1742144398864272e-05,5.246663921866693e-91
1.1744209028628096e-05,5.246663921812847e-91
1.1746274021417267e-05,5.24666392175899e-91
1.1748339377295616e-05,5.246663921705124e-91
1.1750405096326988e-05,5.24666392165125e-91
1.1752471178575235e-05,5.246663921597366e-91
1.1754537624104223e-05,5.246663921543472e-91
1.1756604432977824e-05,5.246663921489569e-91
1.1758671605259932e-05,5.246663921435656e-91
1.1760739141014437e-05,5.246663921381734e-91
1.1762807040305254e-05,5.246663921327802e-91
1.1764875303196305e-05,5.246663921273861e-91
1.1766943929751517e-05,5.24666392121991e-91
1.1769012920034836e-05,5.24666392116595e-91
1.1771082274110218e-05,5.246663921111981e-91
1.1773151992041629e-05,5.246663921058001e-91
1.1775222073893044e-05,5.246663921004013e-91
1.1777292519728452e-05,5.246663920950014e-91
1.177936332961185e-05,5.246663920896007e-91
1.1781434503607254e-05,5.24666392084199e-91
1.1783506041778683e-05,5.246663920787963e-91
1.178557794419017e-05,5.246663920733926e-91
1.1787650210905758e-05,5.246663920679881e-91
1.178972284198951e-05,5.246663920625826e-91
1.1791795837505486e-05,5.246663920571762e-91
1.1793869197517767e-05,5.246663920517687e-91
1.179594292209044e-05,5.246663920463604e-91
1.1798017011287611e-05,5.24666392040951e-91
1.180009146517339e-05,5.246663920355409e-91
1.1802166283811898e-05,5.246663920301296e-91
1.180424146726727e-05,5.246663920247174e-91
1.1806317015603657e-05,5.246663920193043e-91
1.1808392928885212e-05,5.246663920138902e-91
1.1810469207176105e-05,5.246663920084752e-91
1.1812545850540515e-05,5.246663920030592e-91
1.1814622859042633e-05,5.246663919976423e-91
1.1816700232746663e-05,5.246663919922244e-91
1.1818777971716817e-05,5.246663919868055e-91
1.182085607601732e-05,5.246663919813857e-91
1.182293454571241e-05,5.246663919759651e-91
1.1825013380866334e-05,5.246663919705434e-91
1.182709258154335e-05,5.246663919651207e-91
1.1829172147807727e-05,5.24666391959697e-91
1.183125207972375e-05,5.246663919542726e-91
1.183333237735571e-05,5.24666391948847e-91
1.1835413040767908e-05,5.246663919434206e-91
1.1837494070024666e-05,5.246663919379932e-91
1.1839575465190307e-05,5.246663919325648e-91
1.1841657226329168e-05,5.246663919271355e-91
1.18437393535056e-05,5.246663919217053e-91
1.1845821846783964e-05,5.24666391916274e-91
1.184790470622863e-05,5.246663919108417e-91
1.1849987931903983e-05,5.246663919054086e-91
1.1852071523874415e-05,5.246663918999745e-91
1.1854155482204337e-05,5.246663918945395e-91
1.185623980695816e-05,5.246663918891035e-91
1.185832449820032e-05,5.246663918836665e-91
1.186040955599525e-05,5.246663918782286e-91
1.1862494980407405e-05,5.246663918727897e-91
1.1864580771501242e-05,5.246663918673499e-91
1.1866666929341244e-05,5.24666391861909e-91
1.1868753453991893e-05,5.246663918564674e-91
1.1870840345517681e-05,5.246663918510246e-91
1.187292760398312e-05,5.24666391845581e-91
1.187501522945273e-05,5.246663918401363e-91
1.1877103221991039e-05,5.246663918346908e-91
1.1879191581662589e-05,5.246663918292442e-91
1.1881280308531934e-05,5.246663918237967e-91
1.188336940266364e-05,5.246663918183483e-91
1.1885458864122283e-05,5.246663918128989e-91
1.1887548692972447e-05,5.246663918074485e-91
1.1889638889278737e-05,5.246663918019972e-91
1.1891729453105753e-05,5.24666391796545e-91
1.1893820384518129e-05,5.246663917910916e-91
1.1895911683580489e-05,5.246663917856375e-91
1.1898003350357477e-05,5.246663917801823e-91
1.1900095384913753e-05,5.246663917747262e-91
1.190218778731398e-05,5.246663917692692e-91
1.1904280557622842e-05,5.246663917638111e-91
1.1906373695905023e-05,5.246663917583521e-91
1.1908467202225226e-05,5.246663917528922e-91
1.1910561076648163e-05,5.246663917474313e-91
1.1912655319238558e-05,5.246663917419694e-91
1.1914749930061148e-05,5.246663917365067e-91
1.1916844909180674e-05,5.246663917310428e-91
1.1918940256661901e-05,5.246663917255781e-91
1.1921035972569594e-05,5.246663917201123e-91
1.1923132056968534e-05,5.246663917146456e-91
1.1925228509923516e-05,5.24666391709178e-91
1.1927325331499338e-05,5.246663917037094e-91
1.1929422521760818e-05,5.246663916982398e-91
1.1931520080772786e-05,5.246663916927692e-91
1.1933618008600073e-05,5.246663916872978e-91
1.193571630530753e-05,5.246663916818254e-91
1.1937814970960021e-05,5.24666391676352e-91
1.1939914005622416e-05,5.246663916708776e-91
1.1942013409359598e-05,5.246663916654022e-91
1.1944113182236459e-05,5.246663916599259e-91
1.1946213324317909e-05,5.246663916544486e-91
1.1948313835668861e-05,5.246663916489704e-91
1.1950414716354249e-05,5.246663916434912e-91
1.1952515966439013e-05,5.246663916380111e-91
1.1954617585988102e-05,5.2466639163253e-91
1.1956719575066477e-05,5.246663916270479e-91
1.195882193373912e-05,5.246663916215649e-91
1.1960924662071011e-05,5.246663916160809e-91
1.196302776012715e-05,5.246663916105959e-91
1.1965131227972544e-05,5.246663916051099e-91
1.1967235065672215e-05,5.24666391599623e-91
1.1969339273291195e-05,5.246663915941352e-91
1.1971443850894526e-05,5.246663915886463e-91
1.1973548798547261e-05,5.246663915831566e-91
1.197565411631447e-05,5.246663915776658e-91
1.197775980426123e-05,5.24666391572174e-91
1.1979865862452626e-05,5.246663915666814e-91
1.1981972290953762e-05,5.246663915611877e-91
1.1984079089829748e-05,5.246663915556931e-91
1.198618625914571e-05,5.246663915501975e-91
1.198829379896678e-05,5.246663915447009e-91
1.1990401709358103e-05,5.246663915392034e-91
1.199250999038484e-05,5.246663915337049e-91
1.1994618642112156e-05,5.246663915282056e-91
1.1996727664605237e-05,5.24666391522705e-91
1.1998837057929273e-05,5.246663915172037e-91
1.2000946822149464e-05,5.246663915117013e-91
1.2003056957331031e-05,5.246663915061981e-91
1.2005167463539195e-05,5.246663915006938e-91
1.2007278340839195e-05,5.246663914951885e-91
1.2009389589296282e-05,5.246663914896822e-91
1.2011501208975716e-05,5.246663914841749e-91
1.2013613199942771e-05,5.246663914786669e-91
1.2015725562262726e-05,5.246663914731577e-91
1.2017838296000882e-05,5.246663914676477e-91
1.2019951401222542e-05,5.246663914621366e-91
1.2022064877993026e-05,5.246663914566246e-91
1.2024178726377662e-05,5.246663914511116e-91
1.2026292946441793e-05,5.246663914455975e-91
1.202840753825077e-05,5.246663914400826e-91
1.2030522501869958e-05,5.246663914345667e-91
1.2032637837364735e-05,5.246663914290498e-91
1.2034753544800484e-05,5.24666391423532e-91
1.2036869624242604e-05,5.246663914180131e-91
1.203898607575651e-05,5.246663914124933e-91
1.204110289940762e-05,5.246663914069725e-91
1.2043220095261365e-05,5.246663914014508e-91
1.2045337663383193e-05,5.246663913959281e-91
1.204745560383856e-05,5.246663913904044e-91
1.2049573916692932e-05,5.246663913848798e-91
1.2051692602011791e-05,5.246663913793541e-91
1.2053811659860622e-05,5.246663913738275e-91
1.2055931090304936e-05,5.246663913683e-91
1.205805089341024e-05,5.246663913627714e-91
1.206017106924206e-05,5.246663913572419e-91
1.2062291617865934e-05,5.246663913517115e-91
1.2064412539347413e-05,5.2466639134618e-91
1.2066533833752049e-05,5.246663913406476e-91
1.2068655501145422e-05,5.246663913351141e-91
1.2070777541593109e-05,5.246663913295798e-91
1.2072899955160708e-05,5.246663913240444e-91
1.2075022741913823e-05,5.246663913185082e-91
1.2077145901918073e-05,5.246663913129708e-91
1.2079269435239086e-05,5.246663913074325e-91
1.20813933419425e-05,5.246663913018934e-91
1.2083517622093972e-05,5.24666391296353e-91
1.2085642275759164e-05,5.246663912908119e-91
1.208776730300375e-05,5.246663912852698e-91
1.2089892703893416e-05,5.246663912797267e-91
1.2092018478493862e-05,5.246663912741825e-91
1.2094144626870797e-05,5.246663912686375e-91
1.2096271149089946e-05,5.246663912630914e-91
1.2098398045217035e-05,5.246663912575443e-91
1.2100525315317814e-05,5.246663912519964e-91
1.2102652959458035e-05,5.246663912464474e-91
1.210478097770347e-05,5.246663912408974e-91
1.2106909370119895e-05,5.246663912353464e-91
1.2109038136773103e-05,5.246663912297945e-91
1.2111167277728895e-05,5.246663912242417e-91
1.2113296793053085e-05,5.246663912186879e-91
1.2115426682811497e-05,5.246663912131329e-91
1.2117556947069973e-05,5.246663912075772e-91
1.2119687585894356e-05,5.246663912020204e-91
1.2121818599350509e-05,5.246663911964625e-91
1.2123949987504302e-05,5.246663911909038e-91
1.2126081750421618e-05,5.24666391185344e-91
1.2128213888168358e-05,5.246663911797833e-91
1.2130346400810421e-05,5.246663911742216e-91
1.213247928841373e-05,5.24666391168659e-91
1.2134612551044211e-05,5.246663911630954e-91
1.2136746188767809e-05,5.246663911575307e-91
1.2138880201650473e-05,5.246663911519651e-91
1.2141014589758171e-05,5.246663911463986e-91
1.2143149353156875e-05,5.246663911408309e-91
1.214528449191258e-05,5.246663911352625e-91
1.2147420006091276e-05,5.246663911296929e-91
1.2149555895758982e-05,5.246663911241225e-91
1.2151692160981716e-05,5.24666391118551e-91
1.215382880182551e-05,5.246663911129785e-91
1.2155965818356418e-05,5.24666391107405e-91
1.2158103210640488e-05,5.246663911018307e-91
1.2160240978743794e-05,5.246663910962553e-91
1.2162379122732416e-05,5.24666391090679e-91
1.2164517642672447e-05,5.246663910851017e-91
1.216665653862999e-05,5.246663910795233e-91
1.2168795810671159e-05,5.246663910739439e-91
1.2170935458862082e-05,5.246663910683636e-91
1.2173075483268899e-05,5.246663910627824e-91
1.2175215883957757e-05,5.246663910572002e-91
1.2177356660994821e-05,5.246663910516168e-91
1.2179497814446264e-05,5.246663910460326e-91
1.218163934437827e-05,5.246663910404474e-91
1.2183781250857039e-05,5.246663910348613e-91
1.2185923533948775e-05,5.246663910292741e-91
1.2188066193719701e-05,5.24666391023686e-91
1.219020923023605e-05,5.246663910180968e-91
1.2192352643564062e-05,5.246663910125067e-91
1.2194496433769993e-05,5.246663910069155e-91
1.219664060092011e-05,5.246663910013234e-91
1.2198785145080696e-05,5.246663909957304e-91
1.2200930066318032e-05,5.246663909901364e-91
1.2203075364698425e-05,5.246663909845413e-91
1.2205221040288189e-05,5.246663909789453e-91
