time_days,Cf253 top 15
1.1574074074074073e-05,1.0520261036827632e-89
1.1576109151910821e-05,1.0520261036721207e-89
1.157814458757678e-05,1.0520261036614766e-89
1.158018038113487e-05,1.0520261036508303e-89
1.1582216532648015e-05,1.0520261036401823e-89
1.1584253042179158e-05,1.0520261036295325e-89
1.1586289909791249e-05,1.0520261036188809e-89
1.1588327135547246e-05,1.0520261036082273e-89
1.1590364719510128e-05,1.0520261035975717e-89
1.1592402661742875e-05,1.0520261035869143e-89
1.1594440962308483e-05,1.052026103576255e-89
1.1596479621269957e-05,1.0520261035655939e-89
1.1598518638690315e-05,1.0520261035549309e-89
1.1600558014632583e-05,1.0520261035442661e-89
1.1602597749159803e-05,1.0520261035335993e-89
1.1604637842335022e-05,1.0520261035229307e-89
1.1606678294221306e-05,1.0520261035122603e-89
1.1608719104881723e-05,1.0520261035015879e-89
1.1610760274379357e-05,1.0520261034909136e-89
1.1612801802777306e-05,1.0520261034802375e-89
1.1614843690138673e-05,1.0520261034695595e-89
1.1616885936526574e-05,1.0520261034588797e-89
1.1618928542004138e-05,1.0520261034481977e-89
1.1620971506634507e-05,1.0520261034375143e-89
1.1623014830480826e-05,1.0520261034268288e-89
1.162505851360626e-05,1.0520261034161413e-89
1.1627102556073979e-05,1.0520261034054522e-89
1.1629146957947168e-05,1.0520261033947609e-89
1.163119171928902e-05,1.0520261033840677e-89
1.1633236840162742e-05,1.052026103373373e-89
1.1635282320631548e-05,1.0520261033626761e-89
1.163732816075867e-05,1.0520261033519774e-89
1.1639374360607345e-05,1.052026103341277e-89
1.1641420920240822e-05,1.0520261033305746e-89
1.1643467839722364e-05,1.0520261033198703e-89
1.1645515119115243e-05,1.052026103309164e-89
1.1647562758482743e-05,1.052026103298456e-89
1.1649610757888157e-05,1.052026103287746e-89
1.1651659117394789e-05,1.0520261032770342e-89
1.1653707837065959e-05,1.0520261032663203e-89
1.1655756916964996e-05,1.0520261032556048e-89
1.1657806357155237e-05,1.0520261032448873e-89
