Epsilon_alpha,Time [Days]
1.233363895239485e-82,1.1574074074074073e-05
1.2331976329195819e-82,1.1576109151910821e-05
1.2330313905793469e-82,1.157814458757678e-05
1.232865168215636e-82,1.158018038113487e-05
1.2326989658253057e-82,1.1582216532648015e-05
1.2325327834052117e-82,1.1584253042179158e-05
1.2323666209522094e-82,1.1586289909791249e-05
1.2322004784631582e-82,1.1588327135547246e-05
1.2320343559349119e-82,1.1590364719510128e-05
1.2318682533643304e-82,1.1592402661742875e-05
1.23170217074827e-82,1.1594440962308483e-05
1.2315361080835891e-82,1.1596479621269957e-05
1.2313700653671475e-82,1.1598518638690315e-05
1.2312040425958027e-82,1.1600558014632583e-05
1.2310380397664138e-82,1.1602597749159803e-05
1.2308720568758399e-82,1.1604637842335022e-05
1.2307060939209416e-82,1.1606678294221306e-05
1.2305401508985795e-82,1.1608719104881723e-05
1.2303742278056126e-82,1.1610760274379357e-05
1.2302083246389021e-82,1.1612801802777306e-05
1.2300424413953104e-82,1.1614843690138673e-05
1.2298765780716972e-82,1.1616885936526574e-05
1.2297107346649256e-82,1.1618928542004138e-05
1.2295449111718574e-82,1.1620971506634507e-05
1.2293791075893543e-82,1.1623014830480826e-05
1.2292133239142796e-82,1.162505851360626e-05
1.2290475601434979e-82,1.1627102556073979e-05
1.228881816273871e-82,1.1629146957947168e-05
1.2287160923022641e-82,1.163119171928902e-05
1.2285503882255407e-82,1.1633236840162742e-05
1.228384704040565e-82,1.1635282320631548e-05
1.2282190397442027e-82,1.163732816075867e-05
1.2280533953333191e-82,1.1639374360607345e-05
1.2278877708047802e-82,1.1641420920240822e-05
1.2277221661554507e-82,1.1643467839722364e-05
1.2275565813821977e-82,1.1645515119115243e-05
1.227391016481889e-82,1.1647562758482743e-05
1.2272254714513892e-82,1.1649610757888157e-05
1.2270599462875686e-82,1.1651659117394789e-05
1.2268944409872935e-82,1.1653707837065959e-05
1.2267289555474323e-82,1.1655756916964996e-05
1.2265634899648538e-82,1.1657806357155237e-05
1.226398044236425e-82,1.1659856157700035e-05
1.2262326183590166e-82,1.1661906318662747e-05
1.2260672123294999e-82,1.1663956840106745e-05
1.2259018261447424e-82,1.1666007722095419e-05
1.225736459801616e-82,1.1668058964692159e-05
1.22557111329699e-82,1.1670110567960373e-05
1.225405786627737e-82,1.1672162531963473e-05
1.2252404797907266e-82,1.1674214856764896e-05
1.2250751927828315e-82,1.1676267542428077e-05
1.2249099256009251e-82,1.1678320589016465e-05
1.2247446782418776e-82,1.1680373996593523e-05
1.224579450702563e-82,1.1682427765222725e-05
1.2244142429798562e-82,1.1684481894967554e-05
1.2242490550706275e-82,1.1686536385891505e-05
1.224083886971754e-82,1.1688591238058084e-05
1.2239187386801092e-82,1.1690646451530811e-05
1.2237536101925663e-82,1.1692702026373212e-05
1.2235885015060024e-82,1.169475796264883e-05
1.223423412617291e-82,1.1696814260421214e-05
1.2232583435233104e-82,1.1698870919753925e-05
1.2230932942209355e-82,1.170092794071054e-05
1.2229282647070428e-82,1.1702985323354636e-05
1.2227632549785101e-82,1.1705043067749818e-05
1.2225982650322147e-82,1.170710117395969e-05
1.222433294865033e-82,1.1709159642047868e-05
1.2222683444738451e-82,1.1711218472077982e-05
1.222103413855529e-82,1.1713277664113672e-05
1.2219385030069625e-82,1.1715337218218593e-05
