# 1:iteration 2:time[s], 3:T[GK], 4:rho[g/cm3], 5:Ye 
# 6:R[km], 7:Y_n, 8:Y_p, 9:Y_alpha, 10:Y_lights 
# 11:Y_heavies 12:<Z> 13:<A> 14:entropy [kB/baryon] (15:Sn [MeV])
       0  2.3257093057829371E-05   1.0000000220586843E+01   7.4968683278529268E+12   3.4880000000002263E-02   5.0284375699107208E+01   8.7869941959192754E-01   5.9789543734613233E-17   3.8228210497084345E-15   6.5125769603684448E-10   1.0602177254107144E-03   3.9647192817962827E-02   1.1366741060195107E+00   9.0726349152248573E-03
      10  2.3259139057829371E-05   9.9999191771633065E+00   7.4967694392732979E+12   3.4880002650358274E-02   5.0284465580058367E+01   8.7869942297908077E-01   5.9776405584956065E-17   3.8221480953968037E-15   6.5116518476747518E-10   1.0602166533492797E-03   3.9647195726226263E-02   1.1366741030284673E+00   9.0726016755682086E-03
      20  2.5000000000000001E-05   9.9311999999999987E+00   7.4130999999999951E+12   3.4882256451983389E-02   5.0360999999999969E+01   8.7870218876710793E-01   4.9548879452894601E-17   3.2886449264903563E-15   5.7678045166069783E-10   1.0593207249875078E-03   3.9649673295268785E-02   1.1366716872186144E+00   9.0443631869777125E-03
      30  9.4272259071880168E-05   7.3509181674571380E+00   4.9600646701666650E+12   3.4972492128176595E-02   5.3630000789050058E+01   8.7868660120218822E-01   2.3154579642348157E-21   9.3505880302485446E-19   9.6461677107859515E-13   1.0401461767964428E-03   3.9753812456349194E-02   1.1367166031705558E+00   7.6645265938194993E-03
      40  1.0734369015802392E-04   6.9839641168297133E+00   4.6435087950018613E+12   3.4989745488910748E-02   5.4292956347120587E+01   8.7866570960606882E-01   3.0479744613888325E-22   1.7390148369041173E-19   2.6349097004775109E-13   1.0391463312343335E-03   3.9774414399042460E-02   1.1367448903464634E+00   7.4457043202500670E-03
      50  1.0734369220878270E-04   6.9839640598599475E+00   4.6435087517451260E+12   3.4989745491636019E-02   5.4292956452161384E+01   8.7866573027710271E-01   3.0583790786022480E-22   1.7382449244382468E-19   2.6348779492315326E-13   1.0391463312343333E-03   3.9774413467533486E-02   1.1367448636355821E+00   7.4457042831367797E-03
      60  1.0734427728057697E-04   6.9839478066721217E+00   4.6434964108615332E+12   3.4989746269143369E-02   5.4292986419813907E+01   8.7866573151225946E-01   3.0546866918430403E-22   1.7355825897981802E-19   2.6274489951084045E-13   1.0391463312343209E-03   3.9774414295515419E-02   1.1367448620395264E+00   7.4456936356138764E-03
      70  1.0768263517240583E-04   6.9745541125052126E+00   4.6363791444639102E+12   3.4990195898232476E-02   5.4310320041369209E+01   8.7866538647105219E-01   2.9665253645517635E-22   1.6779912364966680E-19   2.5487761307290689E-13   1.0391463312394913E-03   3.9774941009751721E-02   1.1367453078987466E+00   7.4395303398712004E-03
      80  1.0942463010838477E-04   6.9263985602756737E+00   4.6003032821021240E+12   3.4992510260710416E-02   5.4399647733444027E+01   8.7866361632100098E-01   2.5656892547664174E-22   1.4422932342208874E-19   2.2767231038275958E-13   1.0391463312278439E-03   3.9777651891420629E-02   1.1367475952718393E+00   7.4076750479474479E-03
      90  1.1396334990180078E-04   6.8031084484603914E+00   4.5094076274015762E+12   3.4998536391621336E-02   5.4633079275149910E+01   8.7865905658213672E-01   1.6101694455888589E-22   9.4574486722457554E-20   1.6585598028495295E-13   1.0391463312278096E-03   3.9784708296217275E-02   1.1367534873733316E+00   7.3250144155096305E-03
     100  1.2444918627294282E-04   6.5375149465770388E+00   4.2988945074754136E+12   3.5012437474902132E-02   5.5176215278530307E+01   8.7864888491446802E-01   4.4844199591181824E-23   3.3716427202366794E-20   7.6128487606797817E-14   1.0391463312282936E-03   3.9800970606953909E-02   1.1367666314386793E+00   7.1535796274843451E-03
     110  1.3587287304276833E-04   6.2874715149507860E+00   4.0409104571045620E+12   3.5027549214453307E-02   5.5775735558438470E+01   8.7863865290663912E-01   1.1005966405383499E-23   1.1580826413177941E-20   3.3521094300463927E-14   1.0391463312386089E-03   3.9818612274628996E-02   1.1367798537834810E+00   7.0250780076851821E-03
     120  1.5100000000000001E-04   5.9978999999999996E+00   3.7153999999999951E+12   3.5047507520879734E-02   5.6579999999999956E+01   8.7862656982508547E-01   1.7336352330778221E-24   2.8749451688884873E-21   1.1526014382596265E-14   1.0391463311280262E-03   3.9841847735095130E-02   1.1367954685631787E+00   6.8940890144008468E-03
     130  1.7032208633222459E-04   5.6771326127706772E+00   3.4093924011395288E+12   3.5072913282201662E-02   5.7578741016937144E+01   8.7861280172736489E-01   1.6206237282622059E-25   4.5502815950772890E-22   2.9482661632794687E-15   1.0391463308214808E-03   3.9871352936379272E-02   1.1368132613652233E+00   6.7178282674546022E-03
     140  1.8645802203679101E-04   5.4208658272837305E+00   3.1744221165964204E+12   3.5094054988659751E-02   5.8447011438525912E+01   8.7860359148494283E-01   1.9554550525537359E-26   8.1050073623067655E-23   8.7482001670631371E-16   1.0391463307602663E-03   3.9895804830724815E-02   1.1368251642765232E+00   6.5713298767164060E-03
     150  2.0611609970793839E-04   5.1339803055864550E+00   2.8878952062303750E+12   3.5119715690437078E-02   5.9540360174760046E+01   8.7859601849445845E-01   1.5808303959491465E-27   9.0789896718665953E-24   2.1231689433507393E-16   1.0391463309948105E-03   3.9925320285945941E-02   1.1368349514864191E+00   6.4256521503262215E-03
     160  2.2699999999999999E-04   4.8864999999999998E+00   2.5703999999999946E+12   3.5146852641029784E-02   6.0722999999999956E+01   8.7859281174258608E-01   2.0567471805717065E-28   1.1518547751559741E-24   7.4399802614979617E-17   1.0391463308756922E-03   3.9956316182517014E-02   1.1368390958554428E+00   6.3611555550500513E-03
     170  2.5200000000000000E-04   4.5814000000000004E+00   2.2908999999999971E+12   3.5179158777071361E-02   6.2160999999999994E+01   8.7859281803856071E-01   2.7205979795883372E-29   1.0000000000000000E-99   3.8561382798381444E-17   1.0391463310180679E-03   3.9993042774751610E-02   1.1368390877242038E+00   6.2006083406774392E-03
     180  2.7699021076433330E-04   4.3153029046912650E+00   2.0417989823606968E+12   3.5211243106480376E-02   6.3628418444001177E+01   8.7859750993622232E-01   6.0259974619923145E-30   1.0000000000000000E-99   2.9835178490580719E-17   1.0391463311931715E-03   4.0029303980910876E-02   1.1368330239296354E+00   6.0722393686444328E-03
     190  2.8409029494227825E-04   4.2393163652861539E+00   1.9678835932887832E+12   3.5220318179321128E-02   6.4032182400937700E+01   8.7860025515035667E-01   3.9489282774955400E-30   1.0000000000000000E-99   2.8550157214885299E-17   1.0391463311285353E-03   4.0039495866150583E-02   1.1368294760393192E+00   6.0400356585449486E-03
     200  3.0497659206801407E-04   4.0282322139810667E+00   1.7611619417606836E+12   3.5246895762043387E-02   6.5238671907043155E+01   8.7861025129048542E-01   1.1715618714800124E-30   1.0000000000000000E-99   2.5988411451747362E-17   1.0391463309800644E-03   4.0069254702327417E-02   1.1368165573295672E+00   5.9583770913818092E-03
     210  3.2713718819712940E-04   3.8531771731329223E+00   1.5911951101913689E+12   3.5274898771783580E-02   6.6584060479055182E+01   8.7861921845903568E-01   3.9362999461581960E-31   1.0000000000000000E-99   2.4218426556746759E-17   1.0391463312506906E-03   4.0100680200083415E-02   1.1368049687316022E+00   5.8985351548036255E-03
     220  3.4775463405400589E-04   3.6665621135371782E+00   1.4448627873372437E+12   3.5300762844381869E-02   6.7850175936428968E+01   8.7863033769830934E-01   1.0843171559559078E-31   1.3190597078416081E-25   2.3032256283252618E-17   1.0391463313653287E-03   4.0129575352179696E-02   1.1367905992481231E+00   5.7988137719520768E-03
     230  3.6990785237925132E-04   3.5010649975705403E+00   1.3283580968413406E+12   3.5328340744616223E-02   6.9223153437839912E+01   8.7863936612680715E-01   3.0473169547651080E-32   2.7455993160049289E-25   2.2069528128884578E-17   1.0391463317817790E-03   4.0160513465172652E-02   1.1367789320363706E+00   5.6970574159062063E-03
