# 1:Z 2:Y(Z)
    1     2.60921923542439E-08
    2     3.54116163502821E-04
    3     1.91563009948463E-08
    4     1.91124881366077E-06
    5     2.30435519398338E-08
    6     5.05582809215421E-07
    7     7.34196909398176E-06
    8     1.81875210979118E-07
    9     5.71699231840521E-07
   10     9.91875625632702E-06
   11     3.30965926224512E-09
   12     9.27270085243533E-08
   13     2.23833242820090E-09
   14     1.42804468090319E-08
   15     2.47975496008245E-09
   16     3.70455885671019E-08
   17     2.74798331931397E-08
   18     1.11428914708171E-07
   19     8.41252064996728E-09
   20     1.05816854756451E-07
   21     4.48931959877927E-08
   22     2.01289778017355E-08
   23     6.76035834426019E-09
   24     1.89437258192567E-08
   25     1.66164258109834E-09
   26     1.33771600060829E-08
   27     3.68390580535382E-09
   28     2.13729291164426E-08
   29     7.73405831959923E-09
   30     2.27967311677841E-08
   31     1.35169787437259E-08
   32     5.04553518285710E-08
   33     2.59116873071624E-08
   34     2.12976209652284E-07
   35     1.18453181598324E-08
   36     3.37109588484304E-08
   37     5.16909948162539E-09
   38     7.27759644990277E-09
   39     1.54199634166034E-09
   40     8.55203381680808E-09
   41     2.07960608271452E-11
   42     9.89525986084593E-09
   43     2.39636551271712E-09
   44     7.43774268297762E-09
   45     2.03689480383691E-09
   46     8.66267111540317E-07
   47     4.76609238972050E-07
   48     1.69938422945867E-05
   49     3.32705814011321E-06
   50     7.45708259943112E-05
   51     2.88925947249804E-05
   52     6.29995590897582E-04
   53     4.57152060801876E-04
   54     1.30407689129238E-03
   55     7.27108262790362E-04
   56     3.13896008320625E-05
   57     6.58587701137299E-06
   58     1.26723645847625E-05
   59     3.74328008552549E-06
   60     7.08294057181979E-06
   61     1.11342359708635E-06
   62     1.05783666996093E-05
   63     4.37470013981112E-06
   64     2.98130770498348E-05
   65     7.98054888122494E-06
   66     8.05180906003143E-05
   67     1.77615449347972E-05
   68     5.83824859986254E-05
   69     1.34809504405791E-05
   70     5.01456999337188E-05
   71     6.18078161395334E-06
   72     4.79594498672819E-05
   73     6.48804164600131E-06
   74     1.11274642153967E-05
   75     2.50145030400521E-06
   76     2.72929782981024E-04
   77     1.00907759252780E-04
   78     1.16313657926027E-03
   79     4.38745912280013E-04
   80     4.42121894048141E-05
   81     2.98715850396636E-07
   82     2.92840623404858E-05
   83     8.29795565118716E-06
   84     1.25203430936287E-07
   85     1.03773517923513E-18
   86     4.30370776989008E-11
   87     1.01416664178291E-13
   88     1.39318375427960E-05
   89     3.57192151287923E-06
   90     3.30133737876183E-05
   91     8.95949126850313E-06
   92     1.05723372905253E-04
   93     2.51742473730421E-05
   94     1.52258946986769E-04
   95     1.25995636478098E-05
   96     5.47235492832739E-05
   97     3.77523895738074E-06
   98     1.47136528023592E-05
   99     1.35446238385372E-07
  100     2.42009684283529E-12
  101     3.02106646934937E-18
  102     0.00000000000000E+00
  103     0.00000000000000E+00
  104     0.00000000000000E+00
  105     0.00000000000000E+00
  106     0.00000000000000E+00
  107     0.00000000000000E+00
  108     0.00000000000000E+00
  109     0.00000000000000E+00
  110     0.00000000000000E+00
  111     0.00000000000000E+00
