# Generated Energy for each nuclear reaction type given in erg/g/s
#               time[s]              Engen(Total)                     S_src               Engen(weak)                Engen(n,g)                Engen(p,g)                Engen(a,g)                Engen(n,p)                Engen(n,a)                Engen(p,a)               Engen(fiss)
  2.63886552515490E-005     5.18596703595707E+019    -1.30461410991328E+019     1.84731246827616E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  2.91659657546471E-005     5.14168714237926E+019    -1.25434721081289E+019     1.86599268612098E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  3.47205867608433E-005     5.04088869784968E+019    -1.14861730339434E+019     1.90543998767755E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  4.25587314936207E-005     4.86094826518894E+019    -9.80826618233307E+018     1.96409664162446E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  5.00000000000000E-005     4.65184332688689E+019    -7.96716086029183E+018     2.01987619305388E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  5.92708386931649E-005     4.45917677848383E+019    -6.26502560025662E+018     2.08744416483248E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  6.92231811084945E-005     4.24250701567525E+019    -4.63667084613894E+018     2.15731701744590E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  7.60000000000000E-005     4.06526248164799E+019    -3.21570896582933E+018     2.19931673604844E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  8.51649401280747E-005     3.91585654584187E+019    -1.85548440323738E+018     2.24685232998579E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  9.42722590718591E-005     3.80188730893968E+019    -7.90403641719920E+017     2.28931873213062E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  1.01000000000000E-004     3.74243603733521E+019    -1.37056031868123E+017     2.31847688821489E+019     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
  1.07343690126082E-004     0.00000000000000E+000     0.00000000000000E+000     2.34398126454186E+019     2.24045690978996E+013     9.17699221295896E+014     8.16224627777572E+014     1.15953161786967E+014     9.93144724302189E+013     1.26404522149549E-003     0.00000000000000E+000
  1.07343690128250E-004     6.11927152535530E+023    -4.89969554233657E+021     2.34398329678781E+019     6.19402714475188E+023     4.38309708319128E+010     4.41457966046205E+007     1.29039300587162E+016     2.60799752276005E+013     6.51623152621140E+004     0.00000000000000E+000
  1.07343690130740E-004     5.59208809178092E+023    -4.86270113270587E+021     2.34398545390769E+019     5.66219730865521E+023     4.38930514976382E+010     2.44790657137580E+007     1.29221322200462E+016     1.77309502909830E+013     6.52883380584204E+004     0.00000000000000E+000
  1.07343690133615E-004     5.10277774011016E+023    -4.82221591123522E+021     2.34398772410332E+019     5.16805159392721E+023     4.38934126988806E+010     1.68478721663055E+007     1.29221610815674E+016     1.45703015089598E+013     6.53017734401750E+004     0.00000000000000E+000
  1.07343690136961E-004     4.61063803009508E+023    -4.70795824575993E+021     2.34399009423735E+019     4.67081989430924E+023     4.38937216153237E+010     1.40753937478566E+007     1.29221549221401E+016     1.35107706187915E+013     6.53067173246898E+004     0.00000000000000E+000
  1.07343690140889E-004     4.10560801033451E+023    -4.50101984331817E+021     2.34399254681085E+019     4.16042624045489E+023     4.38940884440498E+010     1.30739869239669E+007     1.29221417622321E+016     1.32223098901965E+013     6.53086562450045E+004     0.00000000000000E+000
  1.07343690145550E-004     3.58976860835228E+023    -4.21310180641725E+021     2.34399505772910E+019     3.63896526191800E+023     4.38945272312277E+010     1.26488659836636E+007     1.29221195119887E+016     1.31885375039955E+013     6.53096660111500E+004     0.00000000000000E+000
  1.07343690151158E-004     3.07020952462010E+023    -3.83001223192165E+021     2.34399759437983E+019     3.11355818674718E+023     4.38950556252474E+010     1.23898656704979E+007     1.29220852698395E+016     1.32304635012205E+013     6.53104724836039E+004     0.00000000000000E+000
  1.07343690158024E-004     2.55689469525610E+023    -3.34066018779477E+021     2.34400011382461E+019     2.59422198064933E+023     4.38956968446501E+010     1.21758205908461E+007     1.29220352989336E+016     1.32932520873100E+013     6.53113089492824E+004     0.00000000000000E+000
  1.07343690166620E-004     2.06238019795160E+023    -2.77672587371016E+021     2.34400256119700E+019     2.09359588962137E+023     4.38964824959314E+010     1.19799448456793E+007     1.29219646977928E+016     1.33622351998122E+013     6.53122546944769E+004     0.00000000000000E+000
  1.07343690177715E-004     1.60195443498653E+023    -2.15594962869872E+021     2.34400486880822E+019     1.62708414834116E+023     4.38974577636670E+010     1.18040562561450E+007     1.29218668388869E+016     1.34342360324882E+013     6.53133536666633E+004     0.00000000000000E+000
  1.07343690192656E-004     1.19339597665450E+023    -1.51523675998271E+021     2.34400695719109E+019     1.21262820179206E+023     4.38986918061758E+010     1.16613201339808E+007     1.29217323399118E+016     1.35095277775260E+013     6.53146547402662E+004     0.00000000000000E+000
  1.07343690214067E-004     8.55446767996065E+022    -9.10496476479152E+020     2.34400874065385E+019     8.69192494322757E+022     4.39003011669596E+010     1.15778052453899E+007     1.29215469252029E+016     1.35909150562002E+013     6.53162331207214E+004     0.00000000000000E+000
  1.07343690247902E-004     6.03066794039696E+022    -3.81197239079705E+020     2.34401014144754E+019     6.12022229676775E+022     4.39025103420636E+010     1.16128091918201E+007     1.29212863544370E+016     1.36865349239120E+013     6.53182198737051E+004     0.00000000000000E+000
  1.07343690311156E-004     4.34933206206316E+022    -3.35539585675226E+019     2.34401111071601E+019     4.40110600799677E+022     4.39058340321848E+010     1.19488238282976E+007     1.29209036313362E+016     1.38201384123760E+013     6.53208547111303E+004     0.00000000000000E+000
  1.07343690437665E-004     3.22767522489999E+022     8.84526097525049E+019     2.34401157966447E+019     3.25549912137694E+022     4.39106490071405E+010     1.30204597791004E+007     1.29204041383335E+016     1.40285712030560E+013     6.53239396182605E+004     0.00000000000000E+000
