time_days,Nuclei:Sb128 top 6
1.1574074074074073e-05,4.92383503851528e-88
1.1576109151910821e-05,4.923835038472586e-88
1.157814458757678e-05,4.923835038429885e-88
1.158018038113487e-05,4.923835038387175e-88
1.1582216532648015e-05,4.923835038344459e-88
1.1584253042179158e-05,4.9238350383017347e-88
1.1586289909791249e-05,4.9238350382590027e-88
1.1588327135547246e-05,4.9238350382162635e-88
1.1590364719510128e-05,4.9238350381735164e-88
1.1592402661742875e-05,4.923835038130762e-88
1.1594440962308483e-05,4.923835038088e-88
1.1596479621269957e-05,4.9238350380452306e-88
1.1598518638690315e-05,4.923835038002454e-88
1.1600558014632583e-05,4.9238350379596695e-88
1.1602597749159803e-05,4.923835037916877e-88
1.1604637842335022e-05,4.923835037874078e-88
1.1606678294221306e-05,4.923835037831271e-88
1.1608719104881723e-05,4.923835037788457e-88
1.1610760274379357e-05,4.9238350377456345e-88
1.1612801802777306e-05,4.9238350377028054e-88
1.1614843690138673e-05,4.923835037659968e-88
1.1616885936526574e-05,4.923835037617124e-88
1.1618928542004138e-05,4.923835037574271e-88
1.1620971506634507e-05,4.923835037531412e-88
1.1623014830480826e-05,4.923835037488545e-88
1.162505851360626e-05,4.9238350374456695e-88
1.1627102556073979e-05,4.923835037402788e-88
1.1629146957947168e-05,4.923835037359898e-88
1.163119171928902e-05,4.923835037317e-88
1.1633236840162742e-05,4.923835037274096e-88
1.1635282320631548e-05,4.9238350372311825e-88
1.163732816075867e-05,4.923835037188263e-88
1.1639374360607345e-05,4.9238350371453356e-88
1.1641420920240822e-05,4.9238350371024e-88
1.1643467839722364e-05,4.9238350370594575e-88
1.1645515119115243e-05,4.923835037016508e-88
1.1647562758482743e-05,4.92383503697355e-88
1.1649610757888157e-05,4.9238350369305846e-88
1.1651659117394789e-05,4.923835036887611e-88
1.1653707837065959e-05,4.9238350368446306e-88
1.1655756916964996e-05,4.923835036801643e-88
1.1657806357155237e-05,4.923835036758647e-88
1.1659856157700035e-05,4.9238350367156444e-88
1.1661906318662747e-05,4.9238350366726333e-88
1.1663956840106745e-05,4.9238350366296156e-88
1.1666007722095419e-05,4.9238350365865895e-88
1.1668058964692159e-05,4.923835036543556e-88
1.1670110567960373e-05,4.9238350365005155e-88
1.1672162531963473e-05,4.923835036457467e-88
1.1674214856764896e-05,4.9238350364144114e-88
1.1676267542428077e-05,4.9238350363713473e-88
1.1678320589016465e-05,4.923835036328276e-88
1.1680373996593523e-05,4.9238350362851974e-88
1.1682427765222725e-05,4.923835036242111e-88
1.1684481894967554e-05,4.9238350361990174e-88
1.1686536385891505e-05,4.923835036155916e-88
1.1688591238058084e-05,4.9238350361128067e-88
1.1690646451530811e-05,4.9238350360696896e-88
1.1692702026373212e-05,4.923835036026565e-88
1.169475796264883e-05,4.923835035983433e-88
1.1696814260421214e-05,4.9238350359402943e-88
1.1698870919753925e-05,4.923835035897147e-88
1.170092794071054e-05,4.9238350358539926e-88
1.1702985323354636e-05,4.923835035810831e-88
1.1705043067749818e-05,4.923835035767661e-88
1.170710117395969e-05,4.9238350357244834e-88
1.1709159642047868e-05,4.923835035681298e-88
1.1711218472077982e-05,4.9238350356381064e-88
1.1713277664113672e-05,4.9238350355949056e-88
1.1715337218218593e-05,4.923835035551698e-88
