time_days,Te131 top 19
1.1574074074074073e-05,1.4796923544511576e-07
1.1576109151910821e-05,1.48735182215756e-07
1.157814458757678e-05,1.4950126366335887e-07
1.158018038113487e-05,1.5026747981160582e-07
1.1582216532648015e-05,1.5103383068417926e-07
1.1584253042179158e-05,1.5180031630476937e-07
1.1586289909791249e-05,1.5256693669706926e-07
1.1588327135547246e-05,1.5335775556257882e-07
1.1590364719510128e-05,1.541638377192449e-07
1.1592402661742875e-05,1.5497006160990655e-07
1.1594440962308483e-05,1.5577642725948602e-07
1.1596479621269957e-05,1.5658293469290757e-07
1.1598518638690315e-05,1.5738958393510254e-07
1.1600558014632583e-05,1.5819637501100437e-07
1.1602597749159803e-05,1.5900330794555242e-07
1.1604637842335022e-05,1.5984820720550533e-07
1.1606678294221306e-05,1.6069646262889598e-07
1.1608719104881723e-05,1.6154486720163792e-07
1.1610760274379357e-05,1.623934209499556e-07
1.1612801802777306e-05,1.6324212390008005e-07
1.1614843690138673e-05,1.640909760782442e-07
1.1616885936526574e-05,1.649399775106876e-07
1.1618928542004138e-05,1.6580541215624505e-07
1.1620971506634507e-05,1.6669872215664588e-07
1.1623014830480826e-05,1.6759218922837602e-07
1.162505851360626e-05,1.6848581339905366e-07
1.1627102556073979e-05,1.6937959469630175e-07
1.1629146957947168e-05,1.7027353314774852e-07
1.163119171928902e-05,1.7116762878102464e-07
1.1633236840162742e-05,1.7206188162376985e-07
1.1635282320631548e-05,1.7298750271225336e-07
1.163732816075867e-05,1.7392882979827411e-07
1.1639374360607345e-05,1.7487032239850243e-07
1.1641420920240822e-05,1.7581198054204054e-07
1.1643467839722364e-05,1.7675380425799647e-07
1.1645515119115243e-05,1.7769579357548294e-07
1.1647562758482743e-05,1.786379485236186e-07
1.1649610757888157e-05,1.7958596795388988e-07
1.1651659117394789e-05,1.8057744893171806e-07
1.1653707837065959e-05,1.8156910424234926e-07
1.1655756916964996e-05,1.825609339164359e-07
1.1657806357155237e-05,1.8355293798463513e-07
1.1659856157700035e-05,1.8454511647761293e-07
1.1661906318662747e-05,1.855374694260366e-07
1.1663956840106745e-05,1.8652999686058069e-07
1.1666007722095419e-05,1.875592124913319e-07
1.1668058964692159e-05,1.886034304485908e-07
1.1670110567960373e-05,1.8964783201143146e-07
1.1672162531963473e-05,1.9069241721213715e-07
1.1674214856764896e-05,1.9173718608299865e-07
1.1676267542428077e-05,1.9278213865631084e-07
1.1678320589016465e-05,1.9382727496437255e-07
1.1680373996593523e-05,1.948966779320172e-07
